年季,公司代號,公司名稱,現金及約當現金,存放央行及拆借金融同業,公平價變動列入損益之金融資產,附賣回票券及債券投資,備供出售金融資產-淨額,應收款項-淨額,待出售資產,貼現及放款-淨額,持有至到期日金融資產-淨額,採權益法之股權投資-淨額,不動產投資-淨額,固定資產-淨額,無形資產-淨額,其他金融資產-淨額,其他資產-淨額,資產總計,央行及金融同業存款,存款及匯款,應付商業本票-淨額,公平價值變動列入損益之金融負債,附買回票券及債券負債,應付款項,央行及同業融資,與待出售資產直接相關之負債,應付債券,其他借款,特別股負債,應計退休金負債,營業及負債準備,其他金融負債,其他負債,負債總計,股本,資本公積,保留盈餘,股東權益其他項目,少數股權,股東權益總計,預收股款（股東權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數(單位:股),每股淨值(元)
101/01,2880,華南金,         60640918,         99355917,         33536197,            609253,         71282598,         49782910,                  0,      1346498047,        258836613,             84451,            567457,         32134245,            515685,         21794348,         12688376,      1988327015,        102511003,      1588142815,          3282363,         21393654,         25684382,         46207668,                  0,                  0,         38350000,          3745000,                  0,          2117018,          9183676,  9574703.00,          8023248,      1858215530,         82143144,         17758992,         23879018,          6328906,              1425,        130111485,                  0,                  0,         15.84
101/01,2881,富邦金,        186059721,        104446175,         86243972,         49843518,        954838404,        113673374,                  0,      1210254204,        476334035,          3586678,         68986548,         31996073,         13732328,        494481571,         27299580,      3821776181,         62450454,      1397955336,          1799371,         30420003,         31918396,         83386656,                  0,                  0,        103667100,            701543,                  0,                  0,      1662261582,186066041.00,         16527429,      3577153911,         90242470,         55097463,         78243963,         21038374,                  0,        244622270,                  0,          1486000,         27.11
101/01,2882,國泰金,        762718848,        104471430,        107153265,         19980344,      1325314996,        133592728,                  0,      1496802642,         23320474,          1384812,        147162599,         38809491,          9619150,        925080968,        107969846,      5203381593,         61204218,      1442614260,          9500000,         10450223,         17412765,         93098955,          1476500,                  0,         75646552,                  0,                  0,                  0,      2921273799,316553392.00,         13606568,      4962837232,        103575097,         78508148,         30713214,         23645197,          4102705,        240544361,                  0,        200000000,         23.28
101/01,2883,開發金,          8040407,         44227417,         51224339,          6472676,         84190884,         16913514,                  0,         82653502,                  0,          6112918,                  0,          3959834,                  0,         37869230,          9446077,        351110798,          5386164,         71541050,          3598753,         11625952,         59842310,         10629125,                  0,                  0,         34942422,          7859476,                  0,                  0,                  0, 21343105.00,          1125647,        227894004,        112492660,          9301226,          5610918,         -4436056,            248046,        123216794,                  0,                  0,         10.93
101/01,2884,玉山金控,         22118494,         50947190,         60007743,          1310149,         44610601,         50932672,                  0,        662684828,        258202811,                  0,                  0,         15826508,          4071095,          6342368,          3560917,      1180615376,         46205530,        974917080,          1280469,         12876199,          7521208,         19954755,                  0,                  0,         46500000,             10000,                  0,                  0,            127330,  2314979.00,          1137273,      1112844823,         45750000,         13327677,          8798261,           -105385,                  0,         67770553,                  0,                  0,         14.81
101/01,2885,元大金,         30513012,        107106993,         75246675,            125496,         18048154,         82958321,                  0,        355989506,          2876967,            130567,                  0,         15443878,         26986280,         38758821,          8950802,        763549380,          9142417,        422333215,          6143941,          9689216,         30531374,         61044849,                  0,                  0,         33443181,          7235143,                  0,          1962545,            565408, 17232807.00,         10073886,        609398825,        100162105,         34553782,         18833293,         -2044934,          2646309,        154150555,                  0,          3612000,         15.13
101/01,2886,兆豐金,        313101693,        206119703,        185142836,          3654860,        165788904,         97720714,                  0,      1491065617,        150890243,          2564526,            335161,         22804183,            278904,         23454517,         13562046,      2676483907,        413313878,      1609521555,          4683053,         22359747,        184906660,         64165840,         59474224,                  0,         61413174,          5585000,                  0,          1570321,         14580821, 14250104.00,          9268054,      2465092431,        112806148,         43426403,         48622794,          6217500,            318631,        211391476,                  0,                  0,         18.71
101/01,2887,台新金控,         49872792,        107214075,         67341746,          5428826,        274336858,         95424175,                  0,      1758864356,        184929653,            256507,                  0,         42047697,         21886772,         15682358,         23736930,      2647022745,        185383194,      2030364789,                  0,          9921674,         58414302,         53033358,                  0,                  0,         97130555,                  0,                  0,                  0,            770995, 15597162.00,          9922435,      2460538464,         75163436,         19240513,         14710908,            588252,         76781172,        186484281,                  0,                  0,         14.60
101/01,2888,新光金,         70311814,        131113097,         40278656,         22182697,        324725686,         54267785,                  0,        569123672,        233912791,            156248,         95910086,         22194676,          5310842,        596006981,         30152757,      2195775865,          5928698,        471119732,          3899122,          4580642,         32973091,         25749696,                  0,                  0,         29832444,          7748619,          1654000,                  0,      1402122748,105294205.00,         11077092,      2101980089,         84363876,          8839562,         10460708,        -23108263,         13239893,         93795776,                  0,                  0,          9.55
101/01,2889,國票金控,          2083355,                 68,        123811148,            665002,         66205184,         11343587,                  0,                  0,                  0,          1410723,                  0,          2038618,            528821,          4342752,          2113413,        214542671,                  0,                  0,          3862034,            446531,        164753633,          1564877,          8313306,                  0,                  0,                  0,                  0,             81327,          1257360,  2036058.00,             53396,        182368522,         24547887,            351214,          2609927,            665383,          3999738,         32174149,                  0,                  0,         11.48
