公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產增加,　　 其他預付款項增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 發行公司債,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 取得採用權益法之投資,　　 存出保證金減少,　　 其他非流動資產減少,　　 舉借長期借款,　　 存出保證金增加,　　 現金增資
4532,2015年01月01日至2015年09月30日,,1099127,1099127,,,507040,5480,-10488,-2562,70998,-126585,-1218.0,6503,-50,-1587.0,0.0,0.0,13077,4671.0,465279.0,,,-644804,142351,-63276.0,118810,12201.0,43384,528089,-256912,-3461,-123618,,-4391.0,177904,40993.0,-260446,-32464.0,-117451,35384,-897,1384.0,-159984,-283602,181677,1280804,121524,-64058,-379296,958974,,-417688.0,322459.0,-448070.0,0.0,-15000.0,-440674,5321,-5337.0,-364776,-45254.0,1218.0,-1407801,,15069,0.0,0,-449913.0,1000000.0,0.0,0.0,-8430.0,-936809.0,-111191.0,-4500.0,-495774,-40846,-985447,4598024,3612577,3612577,,,,,,,,,,,,
4532,2015年01月01日至2015年06月30日,,807660,807660,,,340860,3601,30478,-2645,46323,-85832,,-3400,-522,-1416.0,,,60263,2893.0,390603.0,,,-656136,805006,-69863.0,-1059677,-21270.0,36033,482475,-29404,-1700,-514536,,-4379.0,221614,41561.0,-95158,12079.0,-94448,25200,47769,645.0,154883,-359653,30950,838610,83998,-42893,-203339,676376,,-299958.0,276135.0,-851923.0,0.0,,-235666,4344,-2081.0,-214603,52542.0,,-1271210,,375276,,50210,0.0,,,0.0,-1385.0,,,,424101,-204692,-375425,4598024,4222599,4222599,,,,,,,,,,,,
4532,2014年度,,1741916,1741916,,,706421,12394,-7208,-6963,101079,-196109,-836.0,-1502,-1293,0.0,1841.0,0.0,-40868,,,,,-146820,-1190618,9679.0,-692874,-7775.0,83489,-153039,435751,-1078,-1663285,,-2014.0,-478266,21330.0,-549060,38770.0,242546,226196,-6615,,-505275,-2168560,-1601604,140312,195323,-108766,-283866,-56997,,,,,,-15000.0,-1004896,114479,-7522.0,-83238,-76587.0,836.0,1068405,,106867,0.0,469876,0.0,,-303060.0,30238.0,,-682142.0,336000.0,,-42221,300354,1269541,3328483,4598024,4598024,,0.0,566956.0,1838.0,0.0,2140333.0,0.0,0.0,0.0,0.0,,
4532,2014年01月01日至2014年09月30日,,1404229,1404229,,,517138,5607,-4160,-5287,79701,-145256,-836.0,-1428,1021,0.0,0.0,0.0,-12529,3694.0,437665.0,,,-73205,-805909,-45445.0,-730367,483.0,113624,174971,270780,-7594,-1102662,,-2125.0,-417743,0.0,-631354,36364.0,136069,233377,-6384,1351.0,-650445,-1753107,-1315442,88787,144918,-84628,-279055,-129978,,0.0,0.0,0.0,1298559.0,-15000.0,-703203,96847,-5604.0,-55562,-76143.0,836.0,540730,,0,-56490.0,519739,0.0,0.0,0.0,28377.0,0.0,-682142.0,256000.0,0.0,65484,43521,519757,3328483,3848240,3848240,,,,,,,,,,,,
4532,2014年01月01日至2014年06月30日,,943684,943684,,,343973,3795,20996,-2463,53328,-101530,,-1188,75,0.0,,,-20962,1960.0,297984.0,,,-57446,301285,-36629.0,-1352977,-21842.0,136272,24310,282763,-14848,-739112,,0.0,-401576,0.0,-275107,57156.0,117770,182803,27715,643.0,-290596,-1029708,-731724,211960,98926,-53243,-183010,74633,,0.0,0.0,0.0,1240047.0,,-576473,50793,-4905.0,-34844,0.0,,674618,,243536,,0,-149622.0,,,25652.0,0.0,,,,119566,-61917,806900,3328483,4135383,4135383,,,,,,,,,,,,
4532,2014年01月01日至2014年03月31日,,466524,466524,,,178285,1763,9770,1259,28988,-46214,,-854,-12,,1287.0,-10702.0,-10725,986.0,,,,8915,369163,10787.0,-942955,-30501.0,-82863,-39993,69670,-5193,-642970,,,48075,,-163452,30196.0,-6501,109599,110036,,127896,-515074,-361243,105281,41794,-25790,-62308,58977,,,,,,0.0,-208747,4390,-4578.0,-1291,,,256562,,596485,0.0,35170,0.0,,0.0,19870.0,0.0,,,,651525,66413,1033477,3328483,4361960,4361960,,,153831.0,-57.0,471597.0,0.0,,-4809.0,,0.0,,
4532,2013年度,,1558741,1558741,,,708160,8887,-1226,-5620,79138,-130657,-473.0,4985,-13362,-968.0,2844.0,0.0,-10673,,,,,1475460,-196128,-7538.0,-94096,7607.0,14482,-501240,-406233,-22852,269462,,0.0,-794763,0.0,420147,53205.0,-36192,218681,14821,,-123384,146078,787113,2345854,137966,-76520,-344100,2063200,,,,,,0.0,-713866,87175,-9041.0,-12873,-4963.0,473.0,-2388182,,1892495,0.0,299564,0.0,,-641304.0,612.0,,-662274.0,384000.0,,1273093,450464,1398575,1929908,3328483,3328483,,0.0,641035.0,717.0,-1690379.0,0.0,-44708.0,0.0,0.0,0.0,,
4532,2013年01月01日至2013年12月31日,,1558741,1558741,,,708160,8887,-1226,-5620,79138,-130657,-473.0,4985,-13362,-968.0,2844.0,-156.0,-10673,,,,,1475460,-196128,-7538.0,-94096,7607.0,14482,-501084,-406233,-22852,269618,,,-794763,,420147,53205.0,-36192,218681,14821,,-123384,146234,787113,2345854,137966,-76520,-344100,2063200,,,,,,0.0,-713866,87175,-9041.0,-16002,-4963.0,473.0,-2388182,,1892495,0.0,299564,0.0,,-641304.0,612.0,,-662274.0,384000.0,,1273093,450464,1398575,1929908,3328483,3328483,,0.0,640879.0,717.0,-1690379.0,0.0,-44708.0,3129.0,0.0,0.0,,
4532,2013年01月01日至2013年09月30日,,1153090,1153090,,,511111,3248,9868,-8878,55485,-91891,-473.0,3855,-8269,,2112.0,1536.0,6410,2956.0,,,,1484824,-207915,0.0,-336358,0.0,14826,-375358,-261230,-46723,272066,,0.0,-148396,,-82264,0.0,151530,126504,3864,,51564,323630,810700,1963790,97429,-55187,-275815,1730217,,,,,,0.0,-303363,91634,-6788.0,-36382,-4952.0,473.0,-1612535,,1666091,0.0,729061,,,-642168.0,1751.0,,-662274.0,384000.0,,1476461,159825,1753968,1929908,3683876,3683876,,,487070.0,326.0,-1338157.0,0.0,,,,,-15000.0,
4532,2013年01月01日至2013年06月30日,,805338,805338,,,343492,2024,6150,-8363,38658,-50994,,2842,349,,1323.0,3436.0,-17017,1952.0,,,,1484476,146538,-70375.0,-878892,-35278.0,-179249,-295451,1223,-43575,129417,,,596598,,58389,2543.0,161101,103962,7338,,929840,1059257,1383109,2188447,57669,-37779,-159190,2049147,,,,,,,-259372,34273,-4108.0,-7613,,,-1418259,,1564253,,299514,0.0,,-640872.0,101.0,,,288000.0,,1510996,193305,2335189,1929908,4265097,4265097,,,323852.0,-91.0,-1166257.0,0.0,,,,,-15182.0,
