公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他應收款－關係人減少,　　 取得無形資產,　　 其他金融資產減少,　　 其他非流動資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 償還長期借款,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 未實現外幣兌換損失（利益）,　　 短期借款增加,　　 發放現金股利,　　 舉借長期借款,　　　　 股份基礎給付酬勞成本,　　　　　 其他營業負債增加（減少）,　　 現金增資,　　 其他籌資活動,　　 其他金融資產增加,　　 存出保證金增加,　　 非控制權益變動,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 應付短期票券增加
1568,2015年01月01日至2015年09月30日,,130660,-329,130331,,,122917,18648,2017,13610,-617,,177,,32596,,,,-33920,0.0,39958,468,1180,-55778,2598,-45494,,-1987,-63583,9048,-6153,,4728,,-60650,-106144,70303,200634,523,-14262,-35980,150915,,,-77497,542,,,-1154,3964.0,-24048,0,-99893,,,-95906.0,-57716,11336,4642,169051,173693,170611,3082,-12901.0,-121267.0,-51543.0,211000.0,0.0,,0.0,0.0,,-1700.0,,,176447.0,-2703.0,
1568,2015年01月01日至2015年06月30日,,65525,-323,65202,,,82441,12048,-1735,9385,-427,,308,,23179,,,,-24257,,12501,99,2027,-27329,-187,-37146,,-1922,-94166,1186,-15892,,-11263,,-123811,-160957,-36344,28858,368,-10233,-24885,-5892,,,-37851,79,,,-1154,0.0,-15650,0,-56057,,-107010.0,-92377.0,21613,-5672,-46008,169051,123043,120076,2967,-586.0,0.0,,211000.0,0.0,0.0,0.0,0.0,219.0,-1700.0,,,124613.0,-1754.0,10000.0
1568,2015年01月01日至2015年03月31日,,19759,-10,19749,,,41334,5911,2019,4366,-163,,206,,11730,,,,-17044,0.0,77659,111,1322,-71047,-832,-9831,,-1505,-43085,9045,-25400,-627.0,3699,,-58736,-68567,2812,22561,133,-4608,35,18121,,,-9280,79,,,-600,,-8538,0,-24579,,,,76250,-2780,67012,169051,236063,233334,2729,5976.0,76250.0,,,,,,,-4540.0,-1700.0,,,71379.0,-863.0,
1568,2014年度,,147595,-7418,140177,,,149755,19269,1574,19151,-1435,,1444,,56318,246907.0,,,8780,263.0,-146815,173,7143,-152413,-5023,-287892,,792,108506,5216,34838,125.0,11641,-3232.0,157886,-130006,116901,257078,1457,-21271,-4492,232772,,,-250346,1356,,,-4297,4731.0,-45987,-46818,-341362,,,-320450.0,50038,11870,-46682,215733,169051,166285,2766,-3379.0,142692.0,-51543.0,,4210.0,,258883.0,-3072.0,,-1.0,23528.0,,,,
1568,2014年01月01日至2014年09月30日,,101079,-6805,94274,,,111076,13693,2117,14825,-1177,,1196,,43145,190924.0,,,8420,-105.0,-75350,-223,4716,-130397,-15152,-208091,,-454,67680,1984,-498,-129.0,6086,-2401.0,72268,-135823,55101,149375,1096,-16134,-1504,132833,,,-35772,1003,,,-3857,,-14191,-174679,-232693,,,-269836.0,-22467,6002,-116325,215733,99408,96499,2909,1839.0,43101.0,-51543.0,,4210.0,,258883.0,-3072.0,-5197.0,,,,,,
1568,2014年01月01日至2014年06月30日,,65864,-5551,60313,,,74221,8515,4027,10986,-940,,-28,,26291,131672.0,,,-5156,143.0,-28716,649,1542,-96917,-6302,-134757,,-224,78469,-8211,-6334,-480.0,4363,-1589.0,63391,-71366,60306,120619,896,-11189,-971,109355,,,-10161,156,,,-3857,-8761.0,-20566,-70298,-113487,,,-269836.0,26922,1592,24382,215733,240115,238341,1774,4390.0,40947.0,,,4210.0,-2603.0,258883.0,-3072.0,,,,,,,
1568,2014年01月01日至2014年03月31日,,48357,-48,48309,,,37123,3968,1733,5724,-384,,-28,,8418,57228.0,,,-7898,263.0,30624,291,3662,-54560,-3308,-30926,,2717,51623,-3343,-21151,-193.0,4851,-785.0,33719,2793,60021,108330,372,-5323,-470,102909,,,-16248,154,,,-3277,-5325.0,-6852,-16908,-48456,,0.0,0.0,45405,2303,102161,215733,317894,315817,2077,674.0,45405.0,,,,,,,,,,,,,
1568,2013年度,,113826,-9239,104587,,,149025,17871,4199,22644,-895,,-567,,1297,188477.0,,,9953,-260.0,16505,-634,-5122,-62,-3237,17143,,-5620,29835,-1125,2747,-257.0,-6342,-3015.0,16223,33366,221843,326430,886,-23293,-12874,291149,,,-57597,1812,,,-1606,3268.0,-21943,-31047,-107113,,,-16180.0,-61224,1966,124778,90955,215733,213385,2348,-5097.0,772.0,-45816.0,,0.0,,0.0,0.0,,0.0,0.0,,,,
1568,2013年01月01日至2013年12月31日,,113826,-9239,104587,,,149025,17871,4199,22644,-895,0.0,-567,0.0,1297,188477.0,,,9953,-260.0,16505,-634,-5122,-62,-3237,17143,,-5620,29835,-1125,2747,-257.0,-6342,-3015.0,16223,33366,221843,326430,886,-23293,-12874,291149,,0.0,-57597,1812,0.0,,-1606,3268.0,-21943,-31047,-107113,,-118448.0,-16180.0,-61224,1966,124778,90955,215733,213385,2348,-5097.0,119220.0,-45816.0,0.0,,,,,,,,,,,
1568,2013年01月01日至2013年09月30日,,68668,-8474,60194,,,113279,13195,3782,18406,-582,0.0,-484,0.0,868,147469.0,,,9544,3.0,59987,-4270,-316,26721,-2018,89651,,-2633,18758,2161,-34458,391.0,4023,-2280.0,-14038,75613,223082,283276,561,-18554,-13016,252267,,0.0,-14813,1811,0.0,,-1606,-18279.0,-15785,-52495,-101167,,-43936.0,-11223.0,18007,2807,171914,90955,262869,260298,2571,-995.0,118982.0,-45816.0,,,,,,,,,,,,
