公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他應收款增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 收取之利息,　　 收取之股利,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 發放現金股利,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他營業資產（增加）減少,　　 其他金融資產增加,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　 預付投資款增加,　　 存入保證金減少,　　 短期借款減少,　　　　　 其他應收款－關係人（增加）減少,　　 取得以成本衡量之金融資產,　　 採用權益法之被投資公司減資退回股款,　　 償還公司債,　　 非控制權益變動,　　 其他非流動資產減少,　　　　 非金融資產減損損失,　　　　　 預付款項（增加）減少,　　 其他預付款項增加,　　 舉借長期借款
2354,2015年01月01日至2015年09月30日,,11155668,11155668,,,2383006,22090,0,218405,119965,-943958,-330953.0,171006.0,-112357,0.0,0.0,1527204.0,,,0,2479847,-7982543,6040,-874313,146249,-6224720,,-252922,1145682,-1317457,-171090.0,-1925,-597712,-6822432,-5295228,5860440,-1983868,3876572,,0.0,-760414.0,0.0,0.0,-422333.0,0.0,-578093,298251,0.0,4401028.0,-717838.0,877927,330953.0,2673,3432154,,6029801.0,-3441815.0,-115795,2472191,274201,10055118,35253120,45308238,45308238,,,,,,,,,,,,,,,,,,
2354,2015年01月01日至2015年03月31日,,3336948,3336948,,,871162,6782,0,177775,36609,-286142,,48619.0,-64615,0.0,0.0,790190.0,,,0,8017205,-1927643,-435127,557025,111764,6326986,,-822642,-4129272,307564,4950.0,6532,-4632868,1694118,2484308,5821256,-543178,5278078,,0.0,,,0.0,0.0,0.0,-230322,21113,0.0,,,215713,,-52705,-2546421,,1908758.0,0.0,-81163,1827595,-385988,4173264,35253120,39426384,39426384,3762.0,-2500220.0,,,,,,,,,,,,,,,,
2354,2014年度,,10967913,10967913,,,4009874,37247,0,-275437,89682,-876365,-102965.0,200711.0,-90985,233712.0,,,,,0,-2336211,-9705140,972799,-1649142,449846,-12267848,,311685,6713389,6605505,-179444.0,-26272,13424863,1157015,4382489,15350402,-1416879,13933523,,,-217170.0,9404.0,0.0,-326539.0,0.0,-1127165,449189,,,-41825.0,786071,102965.0,192938,-23738820,,4863428.0,-1306490.0,-91092,3465846,1663012,-4676439,39929559,35253120,35253120,0.0,-23566688.0,,0.0,3225474.0,0.0,0.0,,,,,,,,,,,
2354,2014年01月01日至2014年09月30日,,4744624,4744624,,,2949955,24640,0,43247,58915,-641943,-102698.0,122906.0,-38511,233712.0,0.0,2650223.0,,,0,4912188,-7630578,307090,-2238365,-59606,-4709271,,-828107,3700607,2726933,-153478.0,-11508,5434447,725176,3375399,8120023,-1039291,7080732,,-86603.0,-217170.0,9404.0,0.0,-326539.0,0.0,-148905,433033,0.0,-14319022.0,-26173.0,533855,102698.0,915596,-13129826,,4083320.0,-1306490.0,-70358,2706472,1007016,-2335606,39929559,37593953,37593953,,,,,,,,,,,,,,,,,,
2354,2014年01月01日至2014年06月30日,,1937022,1937022,,,1935291,16702,0,26583,37041,-380896,0.0,60549.0,-29252,242447.0,,,,,0,5937494,-1307784,-305547,142359,107170,4572840,,-705749,-1374064,-480599,-128422.0,-128740,-2817574,1755266,3663731,5600753,-914840,4685913,,-1877842.0,,,0.0,-326539.0,0.0,-317896,256300,,,-779.0,328719,0.0,142628,-2063297,,,0.0,-38918,132984,98957,2854557,39929559,42784116,42784116,-852.0,-267888.0,,0.0,1908465.0,,,171902.0,,,,,,,,,,
2354,2014年01月01日至2014年03月31日,,441922,441922,,,1055717,8619,0,-312832,16666,-159672,,6080.0,-19653,238017.0,0.0,832942.0,,,0,6358548,2308796,547636,477683,176382,9868498,,-622667,-3198848,-1758207,41551.0,-74627,-5612798,4255700,5088642,5530564,-220857,5309707,,276.0,,,0.0,-120219.0,0.0,-222022,209615,0.0,,,130114,,0,-200390,,-1626436.0,0.0,-25869,-1652305,807059,4264071,39929559,44193630,44193630,-547.0,-198154.0,,,,,,,,,,,,,,,,
2354,2013年度,,8176866,8176866,,,4203698,36698,0,-33414,161985,-376154,-101808.0,2646.0,-249285,-9994.0,,,,,0,11429808,7075453,801480,3759605,316446,23377136,,-1926796,-15377738,-2197671,14843.0,15485,-19471877,3905259,7523252,15700118,-1172501,14527617,,,0.0,0.0,10999.0,-229711.0,0.0,-1710938,629890,,,-21689.0,364530,101808.0,0,-7350967,,527247.0,-1237016.0,-153415,-872385,151820,6456085,33473474,39929559,39929559,-5656.0,-6197756.0,,-16379.0,3617993.0,-298100.0,-9201.0,,,,,,,,,,,
2354,2013年01月01日至2013年12月31日,,8176866,8176866,,,4203698,36698,0,-33414,161985,-376154,-101808.0,2646.0,-249285,-9994.0,,,,,0,11429808,7075453,801480,3759605,316446,23377136,,-1926796,-15377738,-2197671,14843.0,15485,-19471877,3905259,7523252,15700118,-1172501,14527617,,0.0,0.0,,10999.0,-229711.0,0.0,-1710938,629890,,,-21689.0,364530,101808.0,0,-7350967,,527247.0,-1237016.0,-153415,-872385,151820,6456085,33473474,39929559,39929559,-5656.0,-6197756.0,,-16379.0,3617993.0,-298100.0,-9201.0,,0.0,0.0,0.0,0.0,0.0,,,,,
2354,2013年01月01日至2013年09月30日,,5123916,5123916,,,3317071,75613,0,0,146209,-272014,-64227.0,0.0,-163292,-9994.0,,,,,0,880245,12746355,423604,3096055,143220,17289479,,-1022153,-11533880,-4496567,136990.0,-97236,-17012846,276633,3289620,8413536,-1548803,6864733,,0.0,0.0,0.0,10999.0,0.0,0.0,-1048713,448864,,,-174004.0,264062,64227.0,62357,-372208,,0.0,-1237016.0,-133249,-3922929,1693237,4262833,33473474,37736307,37736307,,0.0,,-16379.0,3012987.0,,,-2552664.0,,,,,,,,,,
2354,2013年01月01日至2013年06月30日,,4028659,4028659,,,2222195,14274,0,0,106555,-145727,-60006.0,0.0,-10508,-9994.0,,,,,0,7847779,9787266,68856,1153990,120216,18978107,,-866131,-15427317,-2267212,15975.0,-128025,-18672710,305397,2405807,6434466,-1478745,4955721,,0.0,,,10999.0,0.0,0.0,-967402,270847,,,-220418.0,236814,60006.0,39407,-937373,,,0.0,-45292,-1861553,377294,2534089,33473474,36007563,36007563,0.0,-367626.0,,-16379.0,2100410.0,,,-1816261.0,,,,,,,,,,
