公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資性不動產損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 取得投資性不動產,　　 處分投資性不動產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 預付設備款增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券減少,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 其他金融負債增加,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 應付短期票券增加,　　 其他金融資產減少,　　 其他金融負債減少,　　　 不影響現金流量之收益費損項目,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　　　　 其他流動資產（增加）減少,　　　　　 其他流動負債增加（減少）,　　 存出保證金增加,　　 存出保證金減少,　　 其他非流動負債減少
9907,2015年01月01日至2015年09月30日,,1134631,1134631,,,2132228,34258,-8658,0.0,495113,-21431.0,-65.0,29593,369.0,0.0,-452780.0,0.0,37241.0,2245868.0,,,15864,635357,-986169,6035,344878,481403,497368,,-1849,741881,82990,24065,112844.0,8887.0,-41402.0,806.0,928222,1425590,3671458,4806089,21431.0,65.0,-473817,-394814,3958954,,0.0,387937.0,-1674073,22976,-281,-785.0,0.0,-24472.0,-11440,-180745.0,0.0,-1480883,,168974,-99942.0,717242.0,29379557,-31824042,1284.0,-710615.0,0.0,-2367542,128674,239203,1571903,1811106,1811106,,,,,,,,,,,,
9907,2015年01月01日至2015年06月30日,,997575,997575,,,1419331,22834,5025,-142.0,335081,-13513.0,-65.0,9214,109.0,0.0,-452780.0,0.0,26535.0,1351629.0,,,101513,629464,-1271079,-13602,256058,437652,140006,,3212,895437,29236,73294,103650.0,-19439.0,-28195.0,-1142.0,1056053,1196059,2547688,3545263,13513.0,65.0,-327750,-290960,2940131,,0.0,387937.0,-1567343,21503,-270,-425.0,0.0,-14763.0,-6578,-128361.0,0.0,-1308300,,-760242,,717242.0,25609938,-26310161,-222.0,0.0,0.0,-843387,-100148,688296,1571903,2260199,2260199,-99942.0,,,,,,,,,,,
9907,2015年01月01日至2015年03月31日,,648819,648819,,,713038,11461,8777,53.0,167833,-5273.0,,801,8261.0,0.0,-452780.0,,71696.0,523867.0,,,-152989,447516,-1230273,15514,252306,218611,-449315,,-5597,718798,149334,-19180,170872.0,83665.0,-15548.0,-461.0,1081883,632568,1156435,1805254,5273.0,,-161143,-28176,1621208,,,275402.0,-1411833,20068,-544,-431.0,0.0,51.0,3055,-21365.0,0.0,-1125717,,260769,-99942.0,717242.0,9272169,-8460699,,0.0,0.0,1688525,-65345,2118671,1571903,3690574,3690574,,9880.0,-1014.0,,,,,,,,,
9907,2014年度,,988361,988361,,,2488351,46275,-17319,43.0,516436,-26625.0,-2380.0,15819,0.0,-632.0,,0.0,42475.0,,,,-185818,52429,192263,35103,-161671,-161392,-229086,,-3403,-685009,-36722,2166,51113.0,-2102.0,,48848.0,-683926,-913012,2149431,3137792,26625.0,2380.0,-515293,-447063,2204441,,0.0,14424.0,-2870694,21093,-14489,-7409.0,1094.0,15665.0,-160267,-385770.0,0.0,-3386353,,-97091,,,20173162,-17666534,6068.0,-1026444.0,-3362.0,1485741,463249,767078,804825,1571903,1571903,99942.0,,,,0.0,3062443.0,-58817.0,,,,,
9907,2014年01月01日至2014年09月30日,,922736,922736,,,1840954,34312,-27282,43.0,377878,-20058.0,-1287.0,4313,0.0,-632.0,0.0,0.0,46794.0,2255035.0,,,138227,320023,-316477,7245,-424640,115994,-159628,,-2390,-56477,17781,63628,69351.0,-107243.0,-40848.0,47332.0,-8866,-168494,2086541,3009277,20058.0,1287.0,-382862,-397711,2250049,,0.0,0.0,-1338005,5890,-14392,-7179.0,1094.0,46742.0,-154136,-365800.0,-3666.0,-1829452,,1239627,1699220.0,0.0,10866550,-12226261,19797.0,-1026444.0,0.0,572489,25899,1018985,804825,1823810,1823810,,,,,,,,,,,,
9907,2014年01月01日至2014年06月30日,,707677,707677,,,1210635,22712,-12908,43.0,250820,-12407.0,-1287.0,1059,0.0,-632.0,0.0,0.0,61961.0,1519996.0,,,285691,250283,-611862,22897,-236554,63128,-226417,,-5928,-5768,-51530,-1770,119456.0,-82057.0,-28097.0,46152.0,-9542,-235959,1284037,1991714,12407.0,1287.0,-256200,-301309,1447899,,0.0,0.0,-911496,6178,-13265,-7000.0,1094.0,31227.0,-96728,-226521.0,8357.0,-1208154,,1054516,,0.0,17934688,-18342384,7457.0,0.0,0.0,1104088,-31001,1312832,804825,2117657,2117657,449811.0,,,,,,,,,,,
9907,2014年01月01日至2014年03月31日,,438011,438011,,,595099,11459,-7766,43.0,128667,-6136.0,,1127,0.0,-632.0,0.0,,-65.0,721796.0,,,74081,461376,-462370,18507,262334,12758,366686,,-1381,235696,-75977,-123117,103616.0,-66203.0,-15309.0,47009.0,104334,471020,1192816,1630827,6136.0,,-127985,-68177,1440801,,,0.0,-521803,3689,-9131,-7130.0,1094.0,44951.0,-73992,-91525.0,2400.0,-650420,,946302,0.0,0.0,3380067,-3474850,,0.0,0.0,860716,-12328,1638769,804825,2443594,2443594,,1027.0,9197.0,,,,,,,,,
9907,2013年度,,1621113,1621113,,,2075999,41393,19760,-43.0,415275,-19674.0,-2811.0,45148,300.0,0.0,,0.0,-45637.0,,,,25862,-363361,-298608,-54325,-59016,-982530,-1731978,,-4061,436637,177678,572428,0.0,105726.0,,0.0,1238558,-493420,2035357,3656470,19674.0,2811.0,-443337,-193333,3042285,,0.0,0.0,-5608018,44015,-85401,0.0,0.0,-96893.0,-116088,-2147062.0,0.0,-8009447,,1011616,,,10182646,-6852273,6463.0,-236872.0,0.0,4111580,-362037,-1217619,2022444,804825,804825,0.0,,,,-933.0,2528777.0,-49850.0,,,,,
9907,2013年01月01日至2013年12月31日,,1621113,1621113,,,2075999,41393,19760,-43.0,415275,,-2811.0,45148,300.0,,,0.0,-45637.0,,,,25862,-363361,-298608,-54325,-59016,-982530,-1731978,,-4061,436637,177678,572428,,105726.0,,,1238558,-493420,2055031,3676144,,2811.0,-443337,-193333,3042285,,0.0,,-5641385,44015,-85401,,,-96893.0,-116088,-2113695.0,,-8009447,,1011616,,,10182646,-6852273,4740.0,-236872.0,0.0,4111580,-362037,-1217619,2022444,804825,804825,0.0,,1723.0,,-933.0,2548451.0,-49850.0,,,,,
9907,2013年01月01日至2013年09月30日,,1307412,1307412,,,1497434,30314,40547,0.0,293043,-11622.0,-1479.0,-28464,1403.0,0.0,,0.0,12424.0,,,,161506,-258434,-645198,-106755,-354503,-522226,-1725610,,5534,609229,348605,391631,0.0,7098.0,,0.0,1321863,-403747,1429853,2737265,11622.0,1479.0,-314490,-133661,2302215,,0.0,,-4626052,30309,-77647,0.0,0.0,-76411.0,-98268,-1701722.0,0.0,-6549791,,1581995,,,6937404,-3635944,6266.0,-236872.0,0.0,4801306,169813,723543,2022444,2745987,2745987,149958.0,,-1501.0,,,1833600.0,-40234.0,,,,,
9907,2013年01月01日至2013年06月30日,,877604,877604,,,959079,19658,12508,0.0,185564,-9493.0,-1479.0,1293,299.0,0.0,,0.0,-40858.0,,,,137137,-130951,-256870,7567,-471310,-469286,-1183713,,-3203,438504,272906,101341,0.0,12723.0,,0.0,794879,-388834,737737,1615341,9493.0,1479.0,-191802,-87255,1347256,,0.0,,-3387010,616,-31173,0.0,0.0,-49782.0,-42526,-396899.0,0.0,-3906774,,358027,,,5532756,-3534005,6341.0,0.0,0.0,2361346,48294,-149878,2022444,1872566,1872566,0.0,,-1773.0,,,1126571.0,-27392.0,,,,,
