公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 取得投資性不動產,　　 其他金融資產減少,　　 其他非流動資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他金融資產增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 處分無活絡市場之債券投資,　　 非控制權益變動,　　　　　 預付款項（增加）減少,　　 取得以成本衡量之金融資產,　　 處分持有至到期日金融資產
6286,2015年01月01日至2015年09月30日,,1421419,1421419,,,374994,23386,-1077.0,614,-15623,100,-1397,0,97861,0.0,-18146,53053,513765.0,,,-23510,-255352,-38184.0,7021,-310025,,83420,256385,-52858,39002,-1810.0,83793,407932,97907,611672,2033091,16412,-616,-259260,1789627,,-672351,686593,0.0,-955151,58.0,-11049,15018,-4816,-48679.0,785574.0,-231,-30810.0,-235844,,5000,0.0,7342,-1284.0,-1113880.0,-1102822,20278,471239,1272283,1743522,1743522,,,,,,,,,,
6286,2015年01月01日至2015年06月30日,,904746,904746,,,247917,17507,-984.0,420,-10716,121,-1736,0,21446,0.0,-11801,39795,301969.0,,,155139,-35220,25641.0,6823,152383,,94814,155743,-39795,20588,-1200.0,3099,233249,385632,687601,1592347,11505,-421,-107233,1496198,,-664351,370770,0.0,-853973,10.0,-10715,12843,-1274,,,-111,-50228.0,-681121,,5000,0.0,3110,-146.0,,7964,-5379,817662,1272283,2089945,2089945,515908.0,,,,,,,,,
6286,2015年01月01日至2015年03月31日,,469250,469250,,,122359,9210,-1357.0,181,-5023,83,-1391,0,34345,,-6876,15844,167375.0,,,-125013,65405,-21308.0,6987,-73929,,-58737,89316,-15844,7727,-604.0,-27793,-5935,-79864,87511,556761,5787,-183,-432,561933,,-3003,39420,0.0,-417622,,-3646,5313,-408,,,-61,-25933.0,-424795,,15000,,1875,-146.0,,16729,-1473,152394,1272283,1424677,1424677,-18855.0,,,,,,,,,
6286,2014年度,,1797681,1797681,,,473734,42342,,649,-19234,-100813,-9380,33897,44169,,-5400,61838,,,,-286498,-235484,-6186.0,-4172,-531305,,166636,43612,-61838,1200,,43168,189270,-342035,179767,1977448,17835,-659,-323610,1671014,,-1099227,1259167,7782.0,-900495,225195.0,-5037,9618,-38569,,,-3679,-136749.0,-766066,,-15000,,5369,-2300.0,-965362.0,-977293,10302,-62043,1334326,1272283,1272283,-106072.0,,521802.0,1035.0,-3508.0,22000.0,0.0,,,
6286,2014年01月01日至2014年09月30日,,1311676,1311676,,,351990,30470,1900.0,492,-14067,407,-9378,2000,0,-14901.0,-7197,42413,384129.0,,,-528042,-243914,-23222.0,-399,-795577,,223285,245443,-40625,-13664,-1102.0,-12581,400756,-394821,-10692,1300984,13596,-507,-325259,988814,,-1097225,1258164,7782.0,-717000,853.0,-3567,9392,-37137,0.0,235885.0,-10715,-48817.0,-402385,,0,-19000.0,4564,-1113.0,-965362.0,-980911,1625,-392857,1334326,941469,941469,,,,,,,,,,
6286,2014年01月01日至2014年06月30日,,820708,820708,,,231556,22156,-149.0,354,-9765,407,-9079,1000,0,-6342.0,975,33951,265064.0,,,-306221,-314637,3721.0,-1424,-618561,,281863,149744,-33951,-9801,-761.0,-43377,343717,-274844,-9780,810928,9322,-370,-199989,619891,,-577225,499140,7782.0,-579019,853.0,-2121,7182,-18311,,,-914,-54481.0,-454765,,0,-21000.0,2384,-660.0,,-19276,727,146577,1334326,1480903,1480903,262349.0,,,,,,,,,
6286,2014年01月01日至2014年03月31日,,404923,404923,,,113715,13259,464.0,219,-4524,82,-5741,1000,10366,,2283,7426,138549.0,,,-201387,-185666,-41875.0,2492,-426436,,249932,80699,-7426,5475,-367.0,-53278,275035,-151401,-12852,392071,4358,-233,-367,395829,,0,0,7782.0,-392054,,-1946,6532,-10020,,,-64,-27712.0,-725092,,-20000,,784,0.0,,-19216,9010,-339469,1334326,994857,994857,-307610.0,,,,,,,,,
6286,2013年度,,1632409,1632409,,,388016,25508,,758,-20895,-83947,-2247,22494,67207,,-8109,56230,,,,135384,-245529,58047.0,-11674,-64112,,23370,-72345,-59229,-6802,,-2619,-125558,-189670,255345,1887754,20721,-755,-221193,1686527,,-1305136,1586985,0.0,-871901,200502.0,-15025,10306,-31790,,,9042,-118608.0,-481982,,16000,,3450,-12292.0,-1113880.0,-1102843,13181,114883,1219443,1334326,1334326,53643.0,,445015.0,-340.0,-7933.0,0.0,3879.0,,,
6286,2013年01月01日至2013年12月31日,,1632409,1632409,,,388016,25508,,758,-20895,-83947,-2247,22494,67207,,-8109,56230,,,,135384,-245529,58047.0,-11674,-64112,,23370,-72345,-59229,-6802,,-2619,-125558,-189670,255345,1887754,20721,-755,-221193,1686527,,-1305136,1586985,0.0,-871901,200502.0,-15025,10306,-31790,,,9042,-118608.0,-481982,,16000,,3450,-12292.0,-1113880.0,-1102843,13181,114883,1219443,1334326,1334326,53643.0,,445015.0,-340.0,-7933.0,,3879.0,,0.0,
6286,2013年01月01日至2013年09月30日,,1265797,1265797,,,286004,15560,-386.0,511,-15628,171,-1366,0,49847,0.0,3010,49256,,,,-227233,-293494,38152.0,-9288,-491863,,135615,231538,-45645,-8994,,-42376,262478,-229385,157594,1423391,15601,-510,-220382,1218100,,-1305136,1584139,0.0,-242955,0.0,-14485,2779,-12764,,,-62,-460871.0,-274927,,10000,,1449,-9651.0,-1113880.0,-1112082,9396,-159513,1219443,1059930,1059930,174428.0,,386979.0,,-7660.0,,,,,
