公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 備供出售金融資產減資退回股款,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他投資活動,　　 短期借款減少,　　 存入保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 應付短期票券減少,　　 存出保證金增加,　　　　 處分投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 存出保證金減少
2009,2015年01月01日至2015年09月30日,,-330450,-330450,,,83691,17,121494,10722,-35.0,-176.0,2.0,-468,215247.0,,,-2905,-6722,9460,24645,256365,7390,288233,,-880,-4370,-8454,-8939,-25711,-9544.0,-57898,230335,445582,115132,35.0,176.0,-11522,0.0,103821,,0,0.0,0.0,-61781,468,-29.0,0.0,-3000.0,-64342,,-217688.0,300000.0,0,-142920,-60608,-21129,119157,98028,98028,,,,,,,,,,,,,,
2009,2015年01月01日至2015年06月30日,,-180673,-180673,,,58169,10,77861,7196,-35.0,0.0,8.0,0,143209.0,,,717,695,5717,19580,93481,13322,133512,,-4403,5722,-3233,-3149,-27627,-4337.0,-37027,96485,239694,59021,35.0,0.0,-7915,0.0,51141,,0,,0.0,-33929,0,,,,-33929,,,250000.0,0,-3,47382,64594,119157,183751,183751,0.0,-202700.0,85.0,,,,,,,,,,,
2009,2015年01月01日至2015年03月31日,,-134567,-134567,,,30208,5,48567,3737,,,10.0,0,82527.0,,,2138,-73445,8740,17511,94019,323,49286,,-3851,18809,-8454,-372,-18552,-1211.0,-13631,35655,118182,-16385,,,-4403,,-20788,,0,,0.0,-28255,0,,0.0,,-28255,,,200000.0,0,-1,71192,22149,119157,141306,141306,,-128807.0,,,,,,,,,,,,
2009,2014年度,,147101,147101,,,138140,25,-30836,13949,-70.0,-153343.0,3192.0,-402,,,,951,-24753,66991,37175,-413905,4024,-329517,,1448,-33305,-85,-72,22665,,-21969,-351486,-369232,-222131,70.0,153395.0,-13359,-14247.0,-96272,,-31270,6133.0,-165.0,-37456,459,-40.0,1255.0,,-61084,,327728.0,,-94,-179770,147864,-9492,128649,119157,119157,,,0.0,,11599.0,-17746.0,-12620.0,0.0,0.0,,,,,
2009,2014年01月01日至2014年09月30日,,149194,149194,,,107645,20,-34691,9942,-34.0,-153343.0,3184.0,-420,-67697.0,,,2945,-55187,67722,1444,-453502,-12542,-449120,,-1877,-9582,15,5097,-491,-3927.0,-10765,-459885,-527582,-378388,34.0,153395.0,-9505,-14240.0,-248704,,-31270,6133.0,-165.0,-32019,457,-40.0,1255.0,0.0,-55649,,310975.0,200000.0,-94,-179737,331144,26791,128649,155440,155440,,,,,,,,,,,,,,
2009,2014年01月01日至2014年06月30日,,139207,139207,,,73769,16,-38545,6006,-34.0,-146251.0,98.0,-428,-105369.0,,,3033,-23062,76451,10186,-214294,11538,-136148,,-2207,-16886,-8375,5443,-2234,-2430.0,-26689,-162837,-268206,-128999,34.0,52.0,-5911,-14240.0,-149064,,-31271,,-165.0,-9549,456,,,,-39274,,,200000.0,-94,-3,177731,-10607,128649,118042,118042,1255.0,-22172.0,0.0,,,,,,,,,,,
2009,2014年01月01日至2014年03月31日,,-42325,-42325,,,37068,9,17731,2887,,,51.0,-450,57296.0,,,886,-37231,6001,25964,-19804,16895,-7289,,-2406,-24551,1128,-3493,4143,-1855.0,-27034,-34323,22973,-19352,,,-2887,,-22239,,-30153,,-165.0,-4783,450,,1255.0,,-33396,,,200000.0,-94,0,15510,-40125,128649,88524,88524,,-184396.0,,,,,,,,,,,,
2009,2013年度,,28531,28531,,,146888,84,-41517,11386,-55.0,-148551.0,113.0,758,,,,3322,62976,-76451,-10395,146448,-5555,120345,,411,38017,8539,8348,-1186,,37614,157959,127065,155596,55.0,148551.0,-11314,3257.0,296145,,-292473,0.0,0.0,-42629,226,0.0,0.0,,-340017,,80517.0,,0,-102,30449,-13423,142072,128649,128649,,,34.0,,0.0,-30894.0,-16515.0,-5141.0,-50000.0,,,,,
2009,2013年01月01日至2013年12月31日,,28531,28531,,,146888,84,-41517,11386,-55.0,-148551.0,113.0,758,,,,3322,62976,-76451,-10395,146448,-5555,120345,,411,38017,8539,8348,-1186,,37614,157959,127065,155596,55.0,148551.0,-11314,3257.0,296145,,-292473,,,-42629,226,0.0,,0.0,-340017,,80517.0,,0,-102,30449,-13423,142072,128649,128649,,0.0,34.0,,,-30894.0,-16515.0,-5141.0,-50000.0,,0.0,0.0,0.0,0.0
2009,2013年01月01日至2013年09月30日,,103146,103146,,,109747,69,-73895,8676,-26.0,-148551.0,-3.0,791,,,,4223,88375,-339,-6400,25532,7365,118756,,-1857,19191,11907,5752,1234,,22796,141552,38360,141506,26.0,148551.0,-8655,3263.0,284691,,-189451,0.0,0.0,-35261,97,0.0,0.0,,-229756,,0.0,0.0,-25,-45,-69689,-14754,142072,127318,127318,,-69619.0,,,,-103192.0,-13431.0,-5141.0,,,,,,
