公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 對子公司之收購（扣除所取得之現金）,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 長期應收租賃款減少,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 原始認列時指定為透過損益按公允價值衡量之金融負債減少,　　 存入保證金增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 取得子公司股權,　　 處分子公司股權（未喪失控制力）,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 未實現外幣兌換損失（利益）,　　 其他非流動資產減少,　　 存入保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 買回應付公司債損失（利益）,　　　　 逾期未領股利及董監酬勞轉列其他收入,　　　　 不影響現金流量之收益費損項目合計,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 處分採用權益法之投資,　　 存出保證金增加,　　 其他金融資產增加,　　 償還公司債,　　 其他應付款－關係人減少,　　 現金增資,　　 預付投資款增加,　　 其他應付款－關係人增加,　　　　 非金融資產減損迴轉利益,　　　　 股份基礎給付酬勞成本,　　 取得採用權益法之投資,　　 預付設備款增加
8070,2015年01月01日至2015年09月30日,,1049553,-16.0,1049537,,,467443,41239,58333,-467.0,63939,-16626,-16057,-110942,1876,-8343,-898619.0,84797.0,208869,-9011.0,-133569.0,,,41594,314927,-24435,-44550,-127775,-7585,152176,,-259,-25352,-135371,193280,11804,-2924,-680.0,40498,192674,59105,1108642,16483,112492,-62026,-41761,1133830,,-1757.0,2094.0,-312349,166541,0.0,240957.0,-654043,10591,40941.0,-1130,91661,189938.0,-89031.0,0.0,-315587,,3284713,-3068415,0,-5.0,1905742,-2441254,0.0,3500.0,-269422.0,-190702.0,0.0,254190.0,355966,-165687,40985,693541,1189846,1883387,1883387,,,,,,,,,,,,,,,,,,,,,
8070,2015年01月01日至2015年06月30日,,999488,-17.0,999471,,,356307,32243,31682,,44315,-11558,-1470,-54496,938,-6545,-898626.0,,176313,-6937.0,-339347.0,,,27484,696116,-26243,-8222,-18947,-17658,652530,,-259,-253365,-127665,83080,8102,-2301,-446.0,-292854,359676,20329,1019800,11275,25384,-44568,-13718,998173,,-1757.0,,-193471,84287,0.0,240957.0,-377620,9032,44800.0,-986,60668,162271.0,,0.0,639,,1294325,-1926029,9,,0,-368500,,,,-27184.0,0.0,254190.0,355867,-413822,10838,595828,1189846,1785674,1785674,-1513.0,-27542.0,3500.0,,,,,,,,,,,,,,,,,,
8070,2015年01月01日至2015年03月31日,,262072,-6.0,262066,,,160729,16376,5097,-333.0,23431,-5505,0,-29245,492,-6545,-7.0,,101,-7380.0,152460.0,,,-18964,268617,216,10800,-81427,423,179665,,3041,-239259,-99573,-66283,16155,-3204,-217.0,-389340,-209675,-57215,204851,5214,0,-24199,-1455,184411,,,,-60793,43568,0.0,,-251450,1488,64408.0,-190,30117,164876.0,,,-5170,,1004708,-1328631,0,,0,-3000,,,,-27184.0,,254190.0,375866,275949,34565,489755,1189846,1679601,1679601,-4751.0,2806.0,,,,,,,,,,,,,,,,,,,
8070,2014年度,,301624,-12326.0,289298,,,618877,63180,178126,2838.0,83003,-15718,-13790,-150559,10399,-41301,-25379.0,,150917,21140.0,,,,-9139,-481946,43551,-6838,-21588,-91032,-566992,,99,163955,-2665,73235,12363,-2651,,239383,-327609,569722,859020,17066,35962,-80292,-193983,637773,,-5000.0,5408.0,-77389,183882,-292087.0,,-664463,7025,,-38537,-150806,,-4664.0,,-1141938,,1543038,-2062589,69880,,1562240,-830620,,,-246186.0,-133850.0,-240.0,442956.0,271351,615980,18044,129859,1059987,1189846,1189846,15598.0,,0.0,,0.0,0.0,897331.0,-3246.0,-1707.0,0.0,16767.0,-122074.0,0.0,0.0,0.0,,,,,,
8070,2014年01月01日至2014年09月30日,,126996,-12238.0,114758,,,446963,48281,155420,1871.0,59477,-8945,-13790,-104283,10834,-40779,-25379.0,0.0,116355,27550.0,673575.0,,,16865,-618152,36832,-24265,129,-73296,-661887,,-70,135622,-46704,27704,20716,-3678,-869.0,132721,-529166,144409,259167,9168,13790,-57725,-180548,43852,,-5000.0,0.0,-55218,147584,-233225.0,0.0,-445313,3376,18930.0,-35081,-180492,6829.0,-675.0,-59057.0,-837342,,4307156,-3841735,270000,0.0,500640,-510280,-1814.0,0.0,-246186.0,0.0,-240.0,231994.0,130509,840044,61127,107681,1059987,1167668,1167668,,,,,,,,,,,,,,,,,,,,,
8070,2014年01月01日至2014年06月30日,,143970,-12984.0,130986,,,278302,29957,30148,,38708,-6479,-1550,-67118,12629,-26133,-25379.0,,71886,14688.0,349659.0,,,49013,-342024,38800,-376,51700,-74621,-277508,,-25,-21222,4502,-55117,53534,-3406,-625.0,-22359,-299867,49792,180778,6751,1550,-36749,-119565,32765,,0.0,,-45180,130366,-233225.0,0.0,-198141,6409,15595.0,-33836,63559,58939.0,,-60841.0,-295096,,1842364,-1745796,149965,,500935,-307870,,,,0.0,-180.0,0.0,-116,439302,-10622,166349,1059987,1226336,1226336,0.0,1259.0,0.0,,,,,,,,,,,,,,,,,,
8070,2014年01月01日至2014年03月31日,,122096,-3470.0,118626,,,104855,14492,18196,0.0,18021,-2767,-1550,-31982,-437,-11755,-25379.0,,3940,-969.0,84665.0,,,43026,256868,33025,-11333,64702,-4027,382261,,41,-187039,-77103,-16580,12353,-4280,-336.0,-272944,109317,193982,312608,3455,1550,-17587,-4873,295153,,,,-20080,84857,-282954.0,,-57826,1209,-5028.0,-3275,31551,58923.0,,,-188684,,1136291,-999308,249986,,350000,-305700,,,,0.0,,0.0,0,431269,31435,569173,1059987,1629160,1629160,0.0,3939.0,,,,,,,,,,,,,,,,,,,
8070,2013年度,,692348,-8103.0,684245,,,360278,55318,17270,-1404.0,71394,-20105,-7190,-109313,862,-7996,-2510.0,,156913,-22576.0,,,,28596,-817612,125790,-24266,-201194,17189,-871497,,71,-6518,28283,59157,-116889,6097,,-31553,-903050,-426378,257867,20096,27537,-68912,-182585,54003,,0.0,17478.0,-101499,68956,-425547.0,,-764023,27141,,-1615,121777,,-2907.0,,-1278939,,2407194,-1493685,-229751,,425504,-235410,,,-216742.0,0.0,-13657.0,4359.0,429006,1202912,20737,-1287,1061274,1059987,1059987,1706.0,,-397.0,,3625.0,-19600.0,476672.0,0.0,-1754.0,10000.0,25869.0,-254569.0,-206586.0,-15883.0,348960.0,,,,,,
8070,2013年01月01日至2013年12月31日,,684245,,684245,,,360278,55318,17270,-1404.0,71394,-20105,-7190,-109313,862,-7996,-2510.0,,158845,-26201.0,,,,28596,-817612,125790,-24266,-201194,17189,-871497,,71,-6518,28283,59157,-116889,6097,,-31553,-903050,-428084,256161,20096,27537,-68912,-182585,52297,,,17478.0,-101499,68956,-425547.0,,-762865,27141,,-1615,121777,,-4065.0,,-1278939,,2408900,-1480687,-229751,,425504,-235410,,-397.0,-216742.0,,-13657.0,4359.0,429006,1217616,7739,-1287,1061274,1059987,1059987,-428.0,,,,3625.0,-19600.0,474966.0,,-1754.0,10000.0,25869.0,-254569.0,-206586.0,-15883.0,348960.0,,,0.0,2121.0,0.0,
8070,2013年01月01日至2013年09月30日,,691720,-5954.0,685766,,,256194,40520,12837,-1405.0,54558,-15463,-7190,-81517,-1845,-5094,-2510.0,,47300,1956.0,,,,15727,-622205,107756,-76131,-153064,24481,-703436,,4326,47123,-61930,144774,-100164,1469,,34327,-669109,-386743,299023,16218,16670,-52107,-166238,113566,,0.0,17478.0,-89006,53966,0.0,,-632839,19914,,-1086,90675,,,0.0,-890225,,2018050,-868609,-229751,,423154,-232410,0.0,,-216742.0,,-13597.0,0.0,304915,959671,47153,230165,1061274,1291439,1291439,,-5270.0,-2870.0,,3625.0,-19600.0,282366.0,,-1271.0,10000.0,36388.0,-244302.0,-206586.0,-15883.0,,-146143.0,,,,,
