公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 長期應收租賃款減少,　　 其他非流動資產增加,　　 收取之股利,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 其他應付款－關係人增加,　　 應付租賃款減少,　　 發放現金股利,　　 員工執行認股權,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他流動負債增加（減少）,　　 預收款項增加－處分資產,　　　　 非金融資產減損損失,　　　 不影響現金流量之收益費損項目,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得採用權益法之投資,　　 現金增資,　　 處分子公司股權（未喪失控制力）,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　　 其他營業資產（增加）減少,　　 採用權益法之被投資公司減資退回股款,　　 償還公司債,　　　　 金融資產減損迴轉利益,　　　　　 持有供交易之金融負債增加（減少）
2408,2015年01月01日至2015年09月30日,,15792773,0.0,15792773,,,4224887,108177,665284,-174422,-3601.0,3577,-4296181,-812,0.0,4204.0,-126756,404357.0,,,467657,111873,-860860,-533593.0,-814923,,158005,-603547.0,-2648.0,1269,-446921,-1261844,-857487,14935286,175821,-682597,-77698,14350812,,-181280.0,-9340.0,0.0,-3067004,1966,-91422.0,321997,-21381,3601.0,0.0,-3042863,,3605000,-300000.0,500000.0,-3700000,-10493067,-5846,-4852022.0,393633.0,7301.0,-14845001,16144,-3520908,7267855,3746947,3746947,,,,,,,,,,,,,,,,
2408,2015年01月01日至2015年06月30日,,11058794,0.0,11058794,,,2780380,72162,448901,-121472,,3177,-2890498,-668,0.0,1758.0,-45901,247839.0,,,184756,97360,-315308,-541155.0,-574347,,24902,-723351.0,-1656.0,13152,-613034,-1187381,-939542,10119252,122318,-463078,-49745,9728747,,,,,-1746753,1328,-84874.0,214665,-27185,,0.0,-1642819,,3602000,0.0,0.0,-3650000,-8486863,-3870,,393633.0,,-8145100,-20131,-79303,7267855,7188552,7188552,73919.0,0.0,,,,,,,,,,,,,,
2408,2015年01月01日至2015年03月31日,,6303920,0.0,6303920,,,1361774,36196,242966,-59523,,3052,-1772544,356,,,63638,-124793.0,,,-28563,22722,-30943,66536.0,29752,,145146,,-1241.0,4337,-661024,-631272,-756065,5547855,59352,-249661,-46918,5310628,,,,0.0,-964406,308,-58498.0,107332,-4958,,0.0,-920222,,3602000,0.0,0.0,-3650000,-4493467,-1920,,366297.0,,-4177090,-52581,160735,7267855,7428590,7428590,-809266.0,,-708.0,,,,,,,,,,,,,
2408,2014年度,,31731906,-1056131.0,30675775,,,5416077,191434,1207899,-262270,,18278,-13294580,-53604,13005.0,,-173335,,,,759103,239897,2568251,234812.0,3802063,,-692932,,,-23798,77550,3879613,-2648229,28027546,261069,-1242110,-35602,27010903,,,,1700000.0,-5795646,77976,-291163.0,429330,-361681,,-69750.0,-4310934,,-90000,,11975000.0,-7300000,-25373682,-7404,-22104.0,1282281.0,,-19513805,86189,3272353,3995502,7267855,7267855,939046.0,,395254.0,,14000.0,-6527842.0,-144766.0,0.0,0.0,22104.0,,,,,,
2408,2014年01月01日至2014年09月30日,,21571960,-1073424.0,20498536,,,4091109,162056,934813,-200676,0.0,14862,-8547835,111500,13005.0,228387.0,-103014,-3295793.0,,,792960,37700,2581227,1047022.0,4458909,,-958388,-249816.0,-142632.0,-23840,-1374676,3084233,-211560,20286976,200324,-964129,-31339,19491832,,0.0,0.0,1700000.0,-4545314,55908,-236393.0,321997,-310955,0.0,-69750.0,-3084507,,90600,-180600.0,10025000.0,-7300000,-19469916,-6179,-14879.0,576577.0,0.0,-16279397,43403,171331,3995502,4166833,4166833,,,,,,,,,,,,,,,,
2408,2014年01月01日至2014年06月30日,,13237035,-1077863.0,12159172,,,2762588,123242,642206,-135898,,11449,-5688976,-48767,19.0,411750.0,48690,-1873697.0,,,925254,112894,1836916,202902.0,3077966,,-743481,1020086.0,-970.0,309124,216824,3294790,1421093,13580265,133618,-662333,-20600,13030950,,,,,-612588,48779,-213451.0,214665,-199453,,-69750.0,-506798,,90600,-180000.0,6375000.0,-3650000,-11706464,-4089,,10428.0,,-9064525,-33377,3426250,3995502,7421752,7421752,-367935.0,325000.0,,,,,,,,,,,,,,
2408,2014年01月01日至2014年03月31日,,6816015,-743958.0,6072057,,,1418160,84563,326909,-65724,,8032,-2972155,-863,,,-77761,-867070.0,,,1206209,63460,924377,353556.0,2547602,,-547190,,164.0,16978,-373695,2173907,1306837,7378894,65382,-335843,-12589,7095844,,,,325000.0,-127634,3150,-190509.0,107332,-8160,,-69750.0,39429,,90000,-90000.0,6375000.0,-3650000,-6790719,-2030,,863.0,,-4066886,45197,3113584,3995502,7109086,7109086,156353.0,,411769.0,,,,,,,,,,,,,
2408,2013年度,,9059834,-910038.0,8149796,,,6064107,687022,1484285,-260458,,50831,-5045424,44797,0.0,,-98467,,,,-1787828,400523,6990593,-162503.0,5440785,,-341136,,,29081,-2104457,3336328,6430664,14580460,260259,-1488107,-17304,13335308,,,,0.0,-5877523,138048,-29406.0,429330,2759,,0.0,-7336790,,90000,,0.0,-18083334,4495238,-7199,-6064.0,10829.0,,-13350530,39133,-7312879,11308381,3995502,3995502,-1771435.0,,151976.0,,15667.0,3094336.0,-20967.0,-1999998.0,150000.0,0.0,,,,,,
2408,2013年01月01日至2013年12月31日,,8149796,,8149796,,,6064107,687022,1484285,-260458,,50831,-5045424,44797,,151976.0,-98467,,,,-1787828,400523,6990593,,5440785,,-341136,,,29081,-2104457,3336328,6430664,14580460,260259,-1488107,-17304,13335308,,,,,-5877523,138048,-29406.0,429330,2759,,,-7336790,,90000,,,-18083334,4495238,-7199,,10829.0,-6064.0,-13350530,39133,-7312879,11308381,3995502,3995502,-1771435.0,,,,15667.0,3094336.0,-20967.0,-1999998.0,150000.0,,0.0,-162503.0,0.0,0.0,,
2408,2013年01月01日至2013年09月30日,,4770057,-584935.0,4185122,,,4513967,515332,1136868,-195318,,42221,-2176265,68166,0.0,,43869,,,,-1293072,276044,3625187,239024.0,2847183,,-348803,,,55894,-1993347,853836,4950654,9135776,195796,-1147740,-5120,8178712,,,,0.0,-5580003,55491,-29406.0,321997,-11111,,0.0,-7243030,,90000,0.0,0.0,-17750000,8356403,-5827,0.0,10830.0,,-9148594,-45325,-8258237,11308381,3050144,3050144,-1684382.0,,134562.0,,13416.0,4096818.0,-16056.0,-1999998.0,150000.0,,,,,,,
