公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分其他資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 預收款項增加－處分資產,　　 處分投資性不動產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 償還長期借款,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 投資性不動產公允價值調整損失(利益),　　　　 不影響現金流量之收益費損項目合計,　　 備供出售金融資產減資退回股款,　　 以成本衡量之金融資產減資退回股款,　　 收取之股利,　　 發放現金股利,　　 取得備供出售金融資產,　　 其他非流動負債增加,　　 存入保證金減少,　　 其他非流動負債減少
2305,2015年01月01日至2015年09月30日,,67491,67491,,,55995,6817,-7893,150.0,0.0,0.0,-21004.0,0.0,-551,33514.0,,,-306655,-18111,-58551,-1199,-384516,,5354,-28937,-23583,-408099,-374585,-307094,5167,-7299,-38866,-348092,,30452.0,-50160,161,576300.0,0.0,0.0,378640.0,-3591.0,0.0,0.0,931802,,0.0,-328762.0,199545.0,0.0,0,4481.0,-124736,37891,496865,243332,740197,740197,,,,,,,,,,,
2305,2015年01月01日至2015年06月30日,,55371,55371,,,34148,5037,-5053,,0.0,,-21004.0,0.0,3267,16395.0,,,-576668,-22274,-18757,-113,-617812,,-1669,-23978,-25647,-643459,-627064,-571693,1769,-5059,-5101,-580084,,30452.0,-46881,149,576300.0,0.0,0.0,267559.0,,5299.0,,832878,,,-113762.0,0.0,,0,4013.0,-109749,-32962,110083,243332,353415,353415,,,,,,,,,,,
2305,2015年01月01日至2015年03月31日,,30246,30246,,,16598,2771,-2674,,,,-12340.0,,971,5326.0,,,-58639,-27911,-23220,-2440,-112210,,24688,-34387,-9699,-121909,-116583,-86337,772,-2789,-6591,-94945,,17898.0,-2665,149,,,,249234.0,0.0,2428.0,,267044,,9823.0,0.0,0.0,,0,3861.0,13684,-13040,172743,243332,416075,416075,,,,,,,,,,,
2305,2014年度,,162574,162574,,,61281,16302,-18070,-14592.0,-17836.0,-114332.0,-950.0,23068.0,5594,,,,-235296,-4453,5577,-3903,-238075,,33673,-8147,25526,-212549,-284180,-121606,17857,-16055,-15883,-135687,,9752.0,-25706,22015,,220793.0,-167117.0,,-1795.0,,124127.0,182069,,70331.0,,,-169747.0,-14437,,-113853,27260,-40211,283543,243332,243332,,-12096.0,-71631.0,0.0,0.0,0.0,0.0,,,,
2305,2014年01月01日至2014年09月30日,,140456,140456,,,44407,13369,-14205,-23970.0,-17836.0,-114332.0,-950.0,23068.0,5424,-85025.0,,,-225882,-10418,10862,890,-224548,,36599,-26779,9820,-214728,-299753,-159297,8976,-13138,-14321,-177780,,9752.0,-20782,26011,0.0,220793.0,-130105.0,0.0,0.0,2671.0,124127.0,232467,,93613.0,0.0,0.0,-169747.0,-14437,0.0,-90571,-10964,-46848,283543,236695,236695,,,,,,,,,,,
2305,2014年01月01日至2014年06月30日,,9863,9863,,,28641,9610,-11404,,-17836.0,,-950.0,23068.0,-103,31026.0,,,-96308,-15172,37113,10075,-64292,,34547,-21740,12807,-51485,-20459,-10596,7981,-9793,-5287,-17695,,9752.0,-15094,0,0.0,220793.0,-119339.0,0.0,,3555.0,,99667,,,-26584.0,29841.0,,-14437,0.0,-11180,-37566,33226,283543,316769,316769,,,,,,,,,,,
2305,2014年01月01日至2014年03月31日,,9072,9072,,,13393,5473,-6775,,,,-950.0,,-1016,10125.0,,,-48,-6070,28468,5314,27664,,12083,-21879,-9796,17868,27993,37065,3724,-5624,-56,35109,,9752.0,-7103,0,,,,12889.0,-1060.0,0.0,,14478,,0.0,-29143.0,29868.0,,-2184,0.0,-1459,-5099,43029,283543,326572,326572,,,,,,,,,,,
2305,2013年度,,62994,62994,,,59004,18593,-5758,1002.0,0.0,0.0,2286.0,0.0,6122,,,,121475,19283,9902,783,151443,,-28691,-8958,-37649,113794,91527,154521,5758,-17967,-12481,129831,,0.0,-57096,302,,0.0,-125135.0,,-648.0,,0.0,-178933,,105169.0,,,-61317.0,-10025,,26454,45654,23006,260537,283543,283543,,-103516.0,-22267.0,583.0,2747.0,314.0,-7373.0,,,,
2305,2013年01月01日至2013年12月31日,,-44043,-44043,,,62525,18593,-5758,1002.0,,,2286.0,,6122,,,,121475,19283,9902,783,151443,,-28691,-8958,-37649,113794,198564,154521,5758,-17967,-12481,129831,,,-57096,302,,,-125135.0,,-648.0,,0.0,-178933,,105169.0,,-61317.0,,-10025,,26454,45654,23006,260537,283543,283543,,,84770.0,583.0,2747.0,314.0,-7373.0,,,0.0,
2305,2013年01月01日至2013年09月30日,,-34323,-34323,,,44585,14622,-3627,329.0,0.0,0.0,0.0,0.0,1179,,,,97140,-32883,-19094,-2005,43158,,42275,-21462,20813,63971,121059,86736,3627,-14033,-3981,72349,,0.0,-5552,271,,0.0,-123043.0,,-40314.0,0.0,0.0,-165603,,102379.0,,,-61367.0,-7781,,28316,25199,-39739,260537,220798,220798,,,57088.0,,2747.0,288.0,-4915.0,,,,
2305,2013年01月01日至2013年06月30日,,-16026,-16026,,,29637,10131,-3428,,0.0,,0.0,0.0,-3538,,,,96805,-6553,-29484,-59,60709,,32420,-11725,20695,81404,114206,98180,3428,-10044,-3981,87583,,,-2712,271,,0.0,-13505.0,,-16434.0,0.0,,-29345,,12806.0,0.0,8094.0,,-5606,,10379,36519,105136,260537,365673,365673,,,32802.0,,2747.0,288.0,-4915.0,0.0,,,
2305,2013年01月01日至2013年03月31日,,-9391,-9391,,,15824,5093,-2749,,,,0.0,,-2645,,,,73009,4306,-9338,-8004,59973,,9700,-18811,-9111,50862,66385,56994,2749,-4885,-27,54831,,0.0,-1539,136,,,-33065.0,0.0,-2192.0,,,-33625,,57294.0,0.0,0.0,-29782.0,-3088,,25051,22801,69058,260537,329595,329595,,,15523.0,,2747.0,288.0,,,627.0,,
2305,2012年01月01日至2012年12月31日,,-16716,-16716,,,65589,18549,-6808,339.0,,,0.0,,9280,,,,-120958,-33865,47995,13130,-93698,,-14337,-29348,-43685,-137383,-50434,-67150,6808,-18288,-18199,-96829,,,-41553,764,,,-180366.0,,-234.0,,-683.0,-221623,,151550.0,,12160.0,,-11745,,141882,-8137,-184707,445244,260537,260537,,,86949.0,0.0,352.0,97.0,-7961.0,,,-2122.0,
2305,2012年01月01日至2012年09月30日,,-28117,-28117,,,45739,14350,-4051,,,,,,11206,,,,-111446,-41621,49106,-7686,-111647,,9563,-33907,-24344,-135991,-68747,-96864,4051,-13109,-9322,-115244,,,-30294,930,,,-82558.0,,,238.0,-2458.0,-114142,,142482.0,,620.0,0.0,-9699,,129476,-19345,-119255,445244,325989,325989,,,67244.0,,0.0,0.0,-3927.0,,,,
2305,2012年01月01日至2012年06月30日,,-28512,-28512,,,31449,9190,-3156,,,,,,3592,,,,-102932,-46678,51155,-6890,-105345,,7329,-26505,-19176,-124521,-83446,-111958,3156,-8878,-8942,-126622,,,-21592,506,,,-46914.0,,-5864.0,,-649.0,-74513,,77289.0,,291.0,,-6795,,70785,-5345,-135695,445244,309549,309549,,,41075.0,,0.0,0.0,0.0,,,,
2305,2012年01月01日至2012年03月31日,,-22945,-22945,,,16170,4533,-2168,,,,,,487,,,,-60539,-7845,27406,-8987,-49965,,5523,-25161,-19638,-69603,-50581,-73526,2168,-4687,-647,-76692,,,-14736,0,,,-65775.0,,0.0,20.0,,-80491,,69234.0,,39900.0,0.0,-5780,0.0,102243,-8281,-63221,474051,410830,410830,,,19022.0,,0.0,0.0,,,,,-1111.0
