公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　　　 非金融資產減損迴轉利益,　　 存出保證金減少
2399,2015年01月01日至2015年09月30日,,-52601,-52601,,,12422,-4921,24,-15751,7185.0,1436,-1135,-26508,-27248.0,,,-3716,147504,-9840,176367,13812,-2171,321956,,4739,-151839,-24789,-8121,-2439.0,-182449,139507,112259,59658,-24,-6619,53015,,-528777,514017,-234114.0,256393.0,-14978,8017.0,89632,17995,108185,,-42.0,0.0,-42.0,14657,175815,386445,562260,562260,,,,,,,,,
2399,2015年01月01日至2015年06月30日,,-67591,-67591,,,8712,-2358,21,-10537,6835.0,-115,6613,13694,22865.0,,,-3586,227119,-5865,-883,13604,134,230523,,9532,-197170,-26056,-5968,-1515.0,-221177,9346,32211,-35380,-21,-6471,-41872,,-349510,352162,-194436.0,211159.0,-12195,7437.0,89634,13642,117893,,1.0,,1.0,-2236,73786,386445,460231,460231,,,,,,,,,
2399,2015年01月01日至2015年03月31日,,-10351,-10351,,,5464,-1202,18,-5564,0.0,740,4759,-12013,-7798.0,,,154,53522,2694,-218666,-12711,-7908,-182915,,5130,22104,-31237,-7365,-603.0,-11971,-194886,-202684,-213035,-18,-579,-213632,,-188624,226352,-105036.0,206379.0,-1728,0.0,89453,8791,235587,,0.0,,0.0,-602,21353,386445,407798,407798,,,,,,,,,
2399,2014年度,,-39257,-39257,,,13130,9532,15,-23171,6.0,-8708,34644,-20957,,,,24,226068,8611,-360172,-10083,-2731,-138283,,-309,-340234,-15950,5771,,-353356,-491639,-352239,-391496,-15,-8824,-400335,,-1071178,1019224,,,-4588,294.0,-89355,21207,-144586,,-696.0,-106860.0,-107556.0,23566,-628911,1015356,386445,386445,,134909.0,139400.0,-2634.0,0.0,-198212.0,178022.0,,
2399,2014年01月01日至2014年09月30日,,99696,99696,,,17159,1637,11,-17841,7.0,-7766,4759,-8135,-10169.0,,,83,-150603,11104,-287233,-3918,-432,-430999,,13216,-149895,-1708,4567,-1980.0,-135800,-566799,-576968,-477272,-11,-8487,-485770,,-920437,863276,-127970.0,81964.0,-1890,293.0,-94,15953,-88905,,0.0,-106860.0,-106860.0,6005,-675530,1015356,339826,339826,,,,,,,,,
2399,2014年01月01日至2014年06月30日,,79236,79236,,,11812,1219,8,-12501,7.0,-5964,5054,-2115,-2480.0,,,-735,-20310,-94570,-158846,-2698,-310,-277469,,5701,-66506,-19583,7678,-1318.0,-74028,-351497,-353977,-274741,-8,-2122,-276871,,-422495,366924,-127970.0,59359.0,-1517,291.0,-32,11101,-114339,,0.0,,0.0,409,-390801,1015356,624555,624555,,,,,,,,,
2399,2014年01月01日至2014年03月31日,,67967,67967,,,5765,2164,5,-6805,36.0,-802,2903,-8266,-5000.0,,,12,-67935,7873,-65974,-4684,6,-130702,,5376,128894,-28576,1103,-1048.0,105749,-24953,-29953,38014,-5,-306,37703,,-225950,148150,-127970.0,59359.0,-531,143.0,-75,6988,-139886,,399.0,,399.0,6117,-95667,1015356,919689,919689,,,,,,,,,
2399,2013年度,,157920,157920,,,17104,-3635,30,-21942,17.0,-8555,9610,-2860,,,,-33,-48654,50863,31764,-6750,737,27927,,4337,29497,19297,-816,,49257,77184,66953,224873,-30,-35549,189294,,-577435,566564,,,-33857,5.0,3862,19135,-174215,,8.0,-89050.0,-89042.0,8661,-65302,1080658,1015356,1015356,,0.0,-10231.0,-2744.0,-314.0,-242526.0,90037.0,,
2399,2013年01月01日至2013年12月31日,,157920,157920,,,17104,-3635,30,-21942,17.0,-8555,9610,-2860,,,,-33,-48654,50863,31764,-6750,737,27927,,4337,29497,19297,-816,,49257,77184,66953,224873,-30,-35549,189294,,-577435,566564,,,-33857,5.0,3862,19135,-174215,,8.0,-89050.0,-89042.0,8661,-65302,1080658,1015356,1015356,,,-10231.0,-2744.0,-314.0,-242526.0,90037.0,,
2399,2013年01月01日至2013年09月30日,,122404,122404,,,10732,-3516,26,-15877,15.0,-3141,-4632,507,,,,-302,-70930,50726,129683,-4545,787,105419,,3794,37632,5800,217,,45177,150596,134710,257114,-26,-34485,222603,,-495940,427168,,,-3730,0.0,-358,12115,-142036,,5.0,-89050.0,-89045.0,4954,-3524,1080658,1077134,1077134,,,-15886.0,-2046.0,-220.0,-114991.0,33700.0,,
2399,2013年01月01日至2013年06月30日,,114961,114961,,,7884,-3028,20,-9620,7.0,-3643,0,-10822,,,,69,-151318,74826,132886,-1677,297,55083,,7022,-39382,-9136,-2410,,-45372,9711,-10856,104105,-20,-21623,82462,,-376904,220791,,,-1259,0.0,-358,7453,-206945,,,,,7140,-117343,1080658,963315,963315,,,-20567.0,-674.0,-792.0,-90368.0,33700.0,-1365.0,
2399,2013年01月01日至2013年03月31日,,67557,67557,,,4060,-138,9,-4402,0.0,-1271,0,-11697,,,,-131,-109602,-21352,106077,-3719,1174,-27553,,-1738,46966,-9115,-3034,,32347,4794,-14423,53134,-9,-786,52339,,-255263,75275,,,-159,0.0,-358,2858,-234315,,0.0,,0.0,5843,-176133,1080658,904525,904525,,,-19217.0,-674.0,-58.0,-56668.0,0.0,-5778.0,
2399,2012年01月01日至2012年12月31日,,143371,143371,,,19172,-5630,745,-15872,1628.0,-6614,11033,5372,,,,427,81650,-69023,460400,12373,1874,487701,,-293,-115848,-51070,5448,,-164039,323662,333496,476867,-745,-81660,394462,,-1244461,1339301,,,-70441,7814.0,18096,17176,452329,,-311.0,-267150.0,-267461.0,-9333,569997,510661,1080658,1080658,,,9834.0,-2590.0,314.0,-160325.0,545169.0,,
2399,2012年01月01日至2012年09月30日,,127016,127016,,,14272,1479,686,-12338,1056.0,-2855,9768,-4811,,,,163,63969,-26307,505594,-28768,2514,517165,,-465,-227051,-19655,13609,,-235514,281651,288908,415924,-686,-74520,340718,,-1100913,1127053,,,-65535,8506.0,17646,12424,318833,,-311.0,-267150.0,-267461.0,-2104,389986,510661,900647,900647,,,7257.0,-1952.0,0.0,-160325.0,479977.0,0.0,
2399,2012年01月01日至2012年06月30日,,116794,116794,,,10522,-2391,7,-8139,1299.0,-1769,8983,-3452,,,,477,143560,-89806,271049,-693,-74,324513,,1744,-149018,-27753,3511,,-172825,151688,156748,273542,-7,-41287,232248,,-677074,555392,,,-65370,7468.0,0,8878,-35939,,-311.0,,-311.0,-2696,193302,510661,703963,703963,,,5060.0,-1309.0,0.0,-160325.0,294844.0,0.0,248.0
2399,2012年01月01日至2012年03月31日,,48498,48498,,,5661,853,3,-3772,,-533,2621,3503,,,,510,-48508,-908,227745,-6766,545,172618,,-854,-141891,-19102,-426,,-162930,9688,18024,66522,-3,0,66519,,-235348,197949,,,-5863,,0,3658,164672,,-312.0,,-312.0,-5638,225241,510661,735902,735902,,,8336.0,-657.0,0.0,-50000.0,253660.0,0.0,616.0
