公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現銷貨利益（損失）,　　　　 已實現銷貨損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 處分無活絡市場之債務工具投資,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 處分採用權益法之投資,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 預付設備款增加,　　 其他預付款項增加,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 發放現金股利,　　 員工執行認股權,　　 庫藏股票買回成本,　　 庫藏股票處分,　　 處分子公司股權（未喪失控制力）,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 持有供交易之金融負債增加（減少）,　　 取得無活絡市場之債務工具投資,　　 預付投資款增加,　　 其他非流動資產減少,　　 短期借款增加,　　 應付短期票券減少,　　 存入保證金增加,　　 現金增資,　　 取得子公司股權,　　 按攤銷後成本衡量之金融資產到期還本,　　 其他非流動資產增加,　　　 不影響現金流量之收益費損項目,　　　　 不動產、廠房及設備轉列費用數,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 取得以成本衡量之金融資產,　　 現金減資,　　 非控制權益變動,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　　 其他應收款－關係人（增加）減少,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　　 處分無活絡市場之債券投資,　　 存出保證金增加,　　　　 非金融資產減損迴轉利益,　　 對子公司之收購（扣除所取得之現金）
5305,2015年01月01日至2015年09月30日,,1024506,1024506,,,561451,11402,2410,-10828,56898,-76158,-23125.0,5488,-145808,-364,0.0,-117130,75344,542,-979,18040,-477302,-120119.0,,,14836,-390,-160794,52911,-45606,-56874,-685,-196602,,0,189868,59163,6803,4377.0,-21265,1070.0,240016,43414,-76705,947801,-56134,-263154,628513,,0.0,179557.0,95071.0,1600.0,180394.0,238762.0,-227087,1614,3404.0,-10630,-184871,0.0,74938,23893.0,376645,,190892.0,99921.0,0.0,-205000.0,-5000,-574030.0,39968,-273639,0.0,92572.0,-634316,-30724,340118,2576863,2916981,2916981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5305,2015年01月01日至2015年06月30日,,828269,828269,,,409153,7280,1938,-14647,38088,-54582,-573.0,5259,-140353,-415,0.0,-118948,84285,542,-979,43360,-478125,-218717.0,,,12089,-2983,-85168,10049,-18257,60891,-22600,-45979,,0,113730,17767,37980,2443.0,-51674,543.0,120789,74810,-143907,684362,-37798,-242970,403594,,0.0,0.0,95071.0,0.0,177106.0,238762.0,-143350,1558,3842.0,-5999,-96950,0.0,48702,1341.0,315442,,-130877.0,,0.0,-205000.0,-5000,,19809,0,0.0,92572.0,-209129,-142335,367572,2576863,2944435,2944435,0.0,-4641.0,0.0,0.0,0.0,-28.0,0.0,19395.0,0.0,,,,,,,,,,,,,,,,,,,,
5305,2015年01月01日至2015年03月31日,,229683,229683,,,186731,3694,-543,-6526,19068,-27471,-573.0,2582,-64184,-32,0.0,-98788,20280,782,-979,41717,1559,77317.0,,,7059,-2170,42864,91502,1062,37020,-7652,169685,,9,-111050,-6340,-139469,,-41507,-13.0,-298370,-128685,-51368,178315,-19201,-52734,106380,,0.0,136464.0,95071.0,,105969.0,,-74397,937,2805.0,-768,-28945,,26288,573.0,263997,,,,,,-5000,,19672,0,,92158.0,50121,-56095,364403,2576863,2941266,2941266,0.0,0.0,,,-69420.0,20.0,,12691.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
5305,2014年度,,1083510,1083510,,,738355,19292,-15619,-8595,71933,-82665,-23334.0,17211,-344589,-3650,-23255.0,-96791,95870,979,-2030,-31602,55038,,,,12977,2609,-15307,7091,10487,-107261,-564,-89968,,-1227,-70101,-11266,61041,,-29441,,-62975,-152943,244198,1327708,-71590,-141017,1115101,,8978.0,,,1709.0,273901.0,,-351943,13522,9.0,-14006,-292182,-721.0,82050,24059.0,-650644,,,113.0,600000.0,-1010000.0,-1882,-133423.0,59452,0,143716.0,1513564.0,-173344,229166,520279,2056584,2576863,2576863,0.0,,,0.0,194009.0,0.0,,31543.0,0.0,,,,30593.0,0.0,397141.0,-11981.0,-396020.0,0.0,-1344231.0,-226205.0,0.0,,,,,,,,
5305,2014年01月01日至2014年09月30日,,930627,930627,,,553908,14390,-3717,-4050,53087,-60635,-23334.0,13986,-257275,-2542,-3184.0,-82181,70919,1044,-2030,-12100,52469,308755.0,,,8283,2060,-192474,-42646,-2698,-220152,-2312,-449939,,-1226,142385,11489,-13513,2845.0,-25505,-12718.0,103757,-346182,-37427,893200,-53763,-107469,731968,,8978.0,73391.0,0.0,1709.0,248247.0,0.0,-303235,6952,594.0,-8664,-204952,-3124.0,60670,24059.0,-95375,,-973577.0,55.0,600000.0,-805000.0,-1882,-359628.0,88771,0,143716.0,1441627.0,134082,50728,821403,2056584,2877987,2877987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5305,2014年01月01日至2014年06月30日,,548599,548599,,,368591,9332,1503,828,37216,-41673,-2661.0,10318,-149991,-2126,-3184.0,-2816,53628,958,-2030,19511,9724,307128.0,,,3156,-1090,-288004,15764,-14795,-188526,895,-472600,,-1225,87933,-5249,-57075,2291.0,-10014,-10930.0,5731,-466869,-159741,388858,-38200,-92573,258085,,8978.0,79477.0,0.0,1709.0,17833.0,0.0,-144515,2183,813.0,-8155,-103077,-62.0,39547,3386.0,-101883,,-1042197.0,,600000.0,-805000.0,-1882,,46515,0,58473.0,1441627.0,211185,-16698,350689,2056584,2407273,2407273,0.0,0.0,0.0,0.0,0.0,-99865.0,0.0,13514.0,0.0,,,,,,,,,,,,,,,,,,,,
5305,2014年01月01日至2014年03月31日,,212440,212440,,,185477,4359,827,4874,19862,-20927,0.0,5295,-57527,-287,-1795.0,-3107,21783,1916,-2030,1183,2653,162556.0,,,2480,-624,-57801,58844,-26106,-182381,-17828,-223416,,-1224,58450,-15119,-146134,,29711,-463.0,-71443,-294859,-132303,80137,-19580,-57835,2722,,2810.0,108389.0,0.0,,11740.0,,-89416,345,574.0,-1145,-49657,,22414,0.0,6054,,,,,,-1882,,4370,0,,830398.0,470017,56558,535351,2056584,2591935,2591935,3336.0,0.0,,,-420659.0,50025.0,,7765.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
5305,2013年度,,610173,610173,,,705667,16971,2291,-15955,76605,-58483,-16066.0,30471,-148851,-3855,0.0,2870,80607,2030,-1891,-19517,13281,,,,9413,866,-74704,-61322,-22548,-399345,1706,-545934,,-1714,197115,-10241,131555,,66801,,369822,-176112,501070,1111243,-75471,-98405,937367,,0.0,,,6078.0,0.0,,-639771,15191,14051.0,-23758,-533137,-5231.0,60710,16532.0,-1398038,,,0.0,0.0,-125000.0,-1755,-133319.0,16657,-51135,0.0,329315.0,482565,195587,217481,1839103,2056584,2056584,-1122.0,,,4876.0,651269.0,-99982.0,,1434.0,-535.0,,,,0.0,11007.0,677182.0,-12572.0,-234251.0,-79328.0,0.0,-104384.0,0.0,,,,,,,,
5305,2013年01月01日至2013年09月30日,,487894,487894,,,526861,12608,11164,-11068,56927,-40480,-13156.0,24317,-113831,-2668,0.0,2626,58256,1880,-1891,8788,9705,,,,6950,-2642,-209681,-117710,1948,-251885,-15188,-586930,,-2941,263590,-2885,-738,6168.0,36944,,295517,-291413,249632,737526,-56862,-89327,591337,,0.0,,,5020.0,0.0,,-590694,4174,11854.0,-20383,-401648,-4766.0,42709,13622.0,-1004040,,0.0,0.0,0.0,0.0,0,-237703.0,16657,-51135,0.0,0.0,414270,130753,132320,1839103,1971423,1971423,-1122.0,,,997.0,683948.0,-8.0,3046.0,,-535.0,,,,,11007.0,541045.0,-3499.0,,-76418.0,,,,1278.0,,,591337.0,11493.0,,,
5305,2013年01月01日至2013年06月30日,,240700,240700,,,346493,8049,6759,-7954,36180,-25424,0.0,15983,-40012,-2575,0.0,2215,18307,1731,-1891,-12082,6728,,,,5692,-2196,-228249,-62925,8364,-167728,-25591,-472633,,-2677,240170,174,9496,995.0,5178,,251780,-220853,142661,383361,-35984,-42545,304832,,0.0,,,3953.0,0.0,,-446906,4111,11493.0,-18760,-377314,-4562.0,28657,466.0,-819263,,0.0,,0.0,0.0,0,,4032,-51135,0.0,0.0,411618,160964,58151,1839103,1897254,1897254,-1122.0,,-1418.0,655.0,456129.0,-16.0,3109.0,0.0,-501.0,,,,,11007.0,363514.0,-434.0,-19638.0,,,,,,,,,0.0,,,
