公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他金融資產增加,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 發行公司債,　　 發放現金股利,　　 現金增資,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他營業資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他金融負債增加（減少）,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 取得備供出售金融資產,　　 取得無形資產,　　 償還長期借款,　　 預付設備款增加,　　 其他非流動資產減少,　　　　　 應收票據（增加）減少,　　 舉借長期借款
2228,2015年01月01日至2015年09月30日,,600239,600239,,,90599,1953,-11507,2883,1451,85379.0,,,-15482.0,-81683,17450,8588,-2722,1040,-72809,,-159.0,5569,20772,-25818,-12390,1421,-10605,-83414,1965,602204,-315.0,-126167,475722,,-140246.0,-178711,2185,-199322.0,-86066.0,-602160,,0.0,0.0,300000.0,-250968.0,209735.0,258767,-6549,125780,528517,654297,654297,,,,,,,,,,,,
2228,2015年01月01日至2015年06月30日,,347419,347419,,,58020,893,-10996,316,1288,49521.0,,,22.0,2779,10591,52086,-1184,-2191,62103,,11716.0,-1260,-24461,-33947,12365,947,-34640,27463,76984,424403,-315.0,-71967,352121,,-140246.0,-108621,3080,-133714.0,-22556.0,-402057,,0.0,0.0,300000.0,,0.0,300000,-50865,199199,528517,727716,727716,0.0,,,,,,,,,,,
2228,2015年01月01日至2015年03月31日,,179602,179602,,,27473,-831,-15191,67,288,11806.0,,,,55924,10670,45961,-11597,-994,108903,,,-1264,2722,-46014,-14613,475,-62176,46727,58533,238135,,-14615,223520,,-140246.0,-83417,1468,,10507.0,-211688,,150000.0,0.0,,,0.0,150000,-55530,106302,528517,634819,634819,,8939.0,-3482.0,,,,,,,,,
2228,2014年度,,624326,624326,,,101955,4385,1291,0,2187,,,,,-149997,-14799,-55910,13561,2067,-203451,,,866,17956,51316,10586,1687,83423,-120028,-10210,614116,0.0,-91373,522743,,,-98339,3596,,-84223.0,-244414,,,0.0,,-250968.0,0.0,-250968,7888,35249,493268,528517,528517,,1627.0,1012.0,,109818.0,-25000.0,-40448.0,0.0,,,,
2228,2014年01月01日至2014年09月30日,,482802,482802,,,74988,3139,454,0,667,79248.0,,,954.0,-116461,13576,23943,8268,3511,-66209,,244.0,-340,1123,19677,-8178,1274,13800,-52409,26839,509641,0.0,-97229,412412,,-25000.0,-132627,2472,0.0,-17051.0,-172206,,0.0,0.0,0.0,-250968.0,0.0,-250968,-8691,-19453,493268,473815,473815,,,,,,,,,,,,
2228,2014年01月01日至2014年06月30日,,302882,302882,,,49105,2065,1803,0,667,53640.0,,,3081.0,-12864,1185,-38581,8112,1121,-37946,,671.0,560,23401,-53,-4985,860,20454,-17492,36148,339030,0.0,-67170,271860,,-25000.0,-63572,2034,0.0,-6249.0,-92787,,0.0,0.0,0.0,,0.0,0,-6378,172695,493268,665963,665963,0.0,,,,,,,,,,,
2228,2014年01月01日至2014年03月31日,,166691,166691,,,24417,-194,3270,0,323,27816.0,,,,-52876,-2963,42982,3499,665,-5612,,,-343,-16107,-25673,-770,441,-44312,-49924,-22108,144583,,-12475,132108,,-25000.0,-42703,1208,,4890.0,-61605,,0.0,0.0,,,0.0,0,8619,79122,493268,572390,572390,,3081.0,-1860.0,,,,,,,,,
2228,2013年度,,456770,456770,,,92613,103,-2720,4941,720,,,,,-64255,-3348,-55065,-5362,-2228,-129870,,,-8128,25201,3855,3548,1826,26302,-103568,-7911,448859,-5318.0,-85454,358087,,,-92913,2463,,-35186.0,-125636,,,-125492.0,,-143073.0,487055.0,-81510,36564,187505,305763,493268,493268,,388.0,0.0,,95657.0,0.0,0.0,-300000.0,,,,
2228,2013年01月01日至2013年12月31日,,456770,456770,,,92613,103,-2720,4941,720,,,,,-64255,-3348,-55065,-5362,-2228,-129870,,,-8128,25201,3855,3548,1826,26302,-103568,-7911,448859,-5318.0,-85454,358087,,,-92913,2463,,-35186.0,-125636,,0.0,-125492.0,,-143073.0,487055.0,-81510,36564,187505,305763,493268,493268,,388.0,,,95657.0,,,-300000.0,,,0.0,0.0
2228,2013年01月01日至2013年09月30日,,345956,345956,,,69108,317,-4489,3954,114,,,,,-63537,1721,-66181,-3492,1408,-128954,,,-8300,56339,-14661,-3530,1364,31212,-97742,-28738,317218,-4331.0,-79020,233867,,0.0,-25304,130,,,-83524,,174508.0,,,0.0,,-125492,21277,46128,305763,351891,351891,,1127.0,0.0,,69004.0,,,-300000.0,-58350.0,,,
2228,2013年01月01日至2013年06月30日,,232206,232206,,,45428,587,-3356,2501,85,,,,,-3859,-10665,-43439,8616,-4472,-55485,,,-8384,5466,-27481,769,910,-28720,-84205,-38960,193246,-2715.0,-44744,145787,,0.0,-18748,67,,-40363.0,-59044,,174508.0,0.0,,,0.0,-125492,20855,-17894,305763,287869,287869,,-1666.0,0.0,,45245.0,,,-300000.0,,,,
2228,2013年01月01日至2013年03月31日,,111879,111879,,,22649,-177,535,2407,12,,,,,43834,-278,19502,10652,-2146,71188,,,-5572,-20018,-36743,6318,1240,-54775,16413,41839,153718,-2506.0,-12371,138841,,0.0,-28246,61,,,-35151,,52079.0,,,,,-47921,7525,63294,305763,369057,369057,,-376.0,0.0,,25426.0,,,-100000.0,,-6966.0,,
2228,2012年01月01日至2012年12月31日,,357979,357979,,,86746,-622,128,3976,3709,,,,,-85234,-6459,-42862,8328,-2277,-116165,,,6009,57862,27944,-9323,2090,84582,-31583,62354,420333,-1934.0,-174304,244095,,,-149376,197,,14175.0,-135004,,0.0,-14508.0,,-481864.0,168000.0,-28372,-28166,52553,253210,305763,305763,,1417.0,,,93937.0,,,0.0,,,10922.0,300000.0
2228,2012年01月01日至2012年09月30日,,256920,256920,,,65340,-532,-1166,1923,1267,,,,,-67680,-16709,-70907,4829,-4481,-151469,,,-348,78724,24014,4595,1565,108550,-42919,23913,280833,-2005.0,-171962,106866,,,-55165,159,,-67009.0,-122015,,0.0,-63833.0,,,168000.0,104167,-20553,68465,253210,321675,321675,,3389.0,,,66832.0,,,0.0,,,90.0,
2228,2012年01月01日至2012年06月30日,,161187,161187,,,43194,-231,1215,1694,820,,,,,-58966,5657,-19470,-3420,-10337,-88587,,,5680,86131,-1948,-5089,1081,85855,-2732,43960,205147,-953.0,-136307,67887,,,-30305,109,,,-58891,,0.0,,,,,0,-15621,-6625,253210,246585,246585,,1130.0,,,46692.0,,,0.0,-28695.0,,-3181.0,
