公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 以成本衡量之金融資產減資退回股款,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他應收款減少,　　 取得無形資產,　　 取得投資性不動產,　　 處分投資性不動產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 預付設備款增加,　　 其他預付款項減少,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 其他應付款－關係人增加,　　 其他應付款－關係人減少,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　 其他非流動資產減少,　　 短期借款增加,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 處分子公司,　　 其他應收款－關係人增加,　　 長期應收租賃款減少
9940,2015年01月01日至2015年09月30日,,617026,617026,,,113622,31344,11534,52040,-37593,-30300.0,-254.0,1085,0.0,-63466,0,78012.0,,,-230001,-3521,44848,-35644,-963458.0,-123468,-4908,-1316152,,-3613,-106505.0,-608096,-11447,-9957,1269404.0,-63818,46238,115149,627355,-688797,-610785,6241,86116,-64360,-260637,-232640,,0.0,112311,8400.0,0.0,-75063,35.0,718.0,179000.0,-37084,-7359.0,0.0,-749129,0.0,-623.0,9984.0,10733.0,30661.0,-517416,,-4420.0,0.0,2187872,-1191180,0,-26952.0,0,-6224.0,-613437.0,-36294.0,309365,93092,-347599,2865766,2518167,2518167,,,,,,,,,,,
9940,2015年01月01日至2015年06月30日,,471825,471825,,,74521,19926,9934,35611,-26769,-14778.0,4.0,265,0.0,-26288,0,72426.0,,,11904,-3233,-29054,41695,-565723.0,-35083,-3344,-582838,,-1566,-94227.0,-539341,-15534,-2893,,-13902,265018,89541,-312904,-895742,-823316,-351491,63415,-48719,-104198,-440993,,0.0,37215,0.0,0.0,-40388,12.0,3622.0,0.0,-29257,-3854.0,0.0,-83575,0.0,-245.0,1448.0,,15139.0,-99883,,-20963.0,0.0,1431031,-700000,1664,,0,-7036.0,,-36294.0,668402,-141522,-13996,2865766,2851770,2851770,,,,,,,,,,,
9940,2015年01月01日至2015年03月31日,,131923,131923,,,37131,9319,9644,18291,-12211,-153.0,,147,,-26248,0,35920.0,,,11863,-4209,5764,33161,-432412.0,2215,-3885,-387503,,8796,-157605.0,-701231,-20242,-1653,,-57542,-27700,53859,-903318,-1290821,-1254901,-1122978,7797,-18267,-4597,-1138045,,,37215,,,-16966,,2853.0,,-6750,-6843.0,,-125121,0.0,-49.0,,,153.0,-115508,,-5476.0,,1177978,-100000,0,-2013.0,0,-4011.0,,,1066478,-57136,-244211,2865766,2621555,2621555,0.0,0.0,0.0,,,,,,,,
9940,2014年度,,1382676,1382676,,,129586,26396,11302,71847,-60338,-21603.0,-405.0,4154,-2053.0,-33676,2954,,,,215180,37179,383214,15031,-1213210.0,-8766,-10464,-581836,,-2445,165361.0,-1085319,23766,-21513,,79361,-27896,-47880,-916565,-1498401,-1369133,13543,46052,-69124,-609524,-619053,,-19145.0,23617,2333.0,-15533.0,-180013,396.0,709.0,21000.0,-53925,-74199.0,24926.0,0,749048.0,-456.0,13025.0,,21822.0,508510,,-540799.0,3000000.0,4608958,-4550000,3894,,8236,,-1307324.0,-29111.0,1193854,176481,1259792,1605974,2865766,2865766,0.0,0.0,0.0,,1104.0,129268.0,-5095.0,0.0,0.0,,
9940,2014年01月01日至2014年09月30日,,905035,905035,,,93368,17394,-7964,55664,-42564,-21522.0,-416.0,1187,-1259.0,-7548,2539,88879.0,,,187313,37752,367207,1926,-654334.0,-30657,-8420,-99213,,-190,3109.0,-1177563,-6526,-19344,-1698.0,-66872,-73015,40206,-1301893,-1401106,-1312227,-407192,32790,-53360,-601761,-1029523,,-19145.0,23618,2334.0,-7668.0,-152055,14.0,3620.0,21000.0,-57897,-20013.0,8505.0,0,420983.0,-3358.0,12620.0,0.0,21740.0,254298,,-534634.0,3000000.0,3989811,-4550000,2431,0.0,6074,0.0,-1307324.0,-29111.0,577247,37901,-160077,1605974,1445897,1445897,,,,,,,,,,,
9940,2014年01月01日至2014年06月30日,,717749,717749,,,60981,9936,-9806,35312,-32924,-16579.0,3.0,308,-1259.0,-7339,1830,40463.0,,,177104,31313,273433,-16455,-520524.0,-16294,-5581,-77004,,3830,-343.0,-1161795,-6944,-8701,,-15173,-41968,-44891,-1275985,-1352989,-1312526,-594777,32162,-33857,-424111,-1020583,,-19145.0,23618,2333.0,-7668.0,-43336,6.0,1393.0,21000.0,-30695,-16474.0,8505.0,0,106999.0,-3273.0,12416.0,,16579.0,72258,,-101237.0,3000000.0,3210000,-4345000,418,,3391,0.0,,-29111.0,1738461,-27202,762934,1605974,2368908,2368908,,,,,,,,,,,
9940,2014年01月01日至2014年03月31日,,325726,325726,,,33453,3774,1556,14774,-18327,0.0,,31,,-74,1603,36790.0,,,186793,20481,125790,-2544,-236913.0,-25619,-2645,65343,,9690,3848.0,-1420999,392,-8079,,15281,-48733,-138252,-1586852,-1521509,-1484719,-1158993,13395,-14305,-70039,-1229942,,,0,,,-20065,,0.0,,-24063,-16474.0,,0,195868.0,0.0,,,0.0,134971,,0.0,,1030000,0,781,0.0,4875,0.0,,,1067041,61399,33469,1605974,1639443,1639443,-368.0,73.0,31385.0,,,,,,,,
9940,2013年度,,3112960,3112960,,,129124,16957,-9342,41907,-53231,-17923.0,-232.0,753,-95.0,-82174,-10565,,,,-128179,-8424,-315733,244018,-3704171.0,-10578,-14657,-3937724,,6226,0.0,811369,6568,7112,,19959,29656,99354,980244,-2957480,-2938783,174177,33231,-38230,-331293,-162115,,0.0,17380,13071.0,0.0,-396972,4300.0,0.0,0.0,-15843,-11542.0,62624.0,-780739,0.0,0.0,0.0,,18161.0,-1185327,,0.0,0.0,7567206,-6695000,27894,,7045,,-698357.0,-30052.0,696061,62921,-588460,2194434,1605974,1605974,-6693.0,804.0,517325.0,,3518.0,18697.0,-168763.0,73122.0,5763.0,,
9940,2013年01月01日至2013年12月31日,,3112960,3112960,,,129124,16957,-9342,41907,-53231,-17923.0,-232.0,753,-95.0,-82174,-10565,,,,-128179,-8424,-315733,244018,-3704171.0,-10578,-14657,-3937724,,6226,,811369,6568,7112,,19959,29656,99354,980244,-2957480,-2938783,174177,33231,-38230,-331293,-162115,,,17380,13071.0,0.0,-396972,4300.0,0.0,,-15843,-11542.0,62624.0,-780739,,0.0,,,18161.0,-1185327,,,,7567206,-6695000,27894,,7045,,-698357.0,-30052.0,696061,62921,-588460,2194434,1605974,1605974,-6693.0,804.0,517325.0,,3518.0,18697.0,-168763.0,73122.0,5763.0,0.0,
9940,2013年01月01日至2013年09月30日,,2402767,2402767,,,102699,13082,-2243,39548,-40569,-17763.0,-242.0,610,123.0,-84915,-10152,,,,-136120,-4497,-495358,242748,-3596269.0,-20901,-11085,-4021482,,6536,,454159,5379,3411,,-21834,-8440,15254,454465,-3567017,-3566839,-1164072,24866,-36742,-318863,-1494811,,0.0,17380,7433.0,0.0,-336623,3700.0,0.0,0.0,-9052,0.0,48909.0,-631647,0.0,,0.0,,18001.0,-971368,,0.0,0.0,6860044,-4365000,0,-3222.0,0,,-698357.0,-30052.0,2244383,13035,-208761,2194434,1985673,1985673,-833.0,921.0,480970.0,,,178.0,-168555.0,73235.0,5763.0,,
