公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 預付投資款減少,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他應收款增加,　　 其他應收款減少,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付租賃款減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 現金增資,　　 現金減資
5225,2015年度,,300979,300979,,,204631,20771,78.0,3324.0,26064.0,-3844.0,2227.0,11331,19223.0,-13888,269917.0,,,614187,0,26825,191138,832150,,-11503,-673835,-685338,146812,416729,717708,3844.0,-26064.0,-39696.0,655792,,0,-15560.0,-22887.0,54105.0,-314413,6853,0.0,53282,-10214.0,-248834,,5753375,-5520428.0,-1339.0,-301485,-16652.0,-86529,-92335,228094,636374,864468,864468,,,,
5225,2015年01月01日至2015年09月30日,,231966,231966,,,149740,1727,77.0,4992.0,18634.0,-3039.0,1272.0,6994,18085.0,-19466,179016.0,,,126364,0,-215646,128814,39532,,-10627,-166671,-177298,-137766,41250,273216,3039.0,-18634.0,-22448.0,235173,,0,-15340.0,-22048.0,54105.0,-215344,8806,,24397,-4298.0,-169722,,4220987,-3808253.0,-1087.0,-301485,,110162,-43417,132196,636374,768570,768570,,,,
5225,2015年01月01日至2015年06月30日,,81129,81129,,,100495,1142,0.0,2924.0,11442.0,-2505.0,,2806,,-26957,89347.0,,,418985,25066,-97303,96364,443112,,0,-552808,-552808,-109696,-20349,60780,2505.0,-11442.0,-37699.0,14144,,0,-15186.0,-22257.0,54105.0,-112245,3910,,19748,-4582.0,-76507,,2917343,-2434807.0,-537.0,-301485,,180514,-55149,63002,636374,699376,699376,,,,
5225,2015年01月01日至2015年03月31日,,62370,62370,,,50061,576,0.0,496.0,5976.0,-1222.0,,194,,-36019,20062.0,,,238136,0,-144832,2673,95977,,-4048,-232660,-236708,-140731,-120669,-58299,1222.0,-5976.0,-18254.0,-81307,,0,,-22666.0,54105.0,-35190,415,,-71041,-1706.0,-76083,,405165,,-548.0,0,,404617,-21351,225876,636374,862250,862250,,,,
5225,2014年度,,317559,317559,,,84693,13321,1673.0,1947.0,3275.0,-3503.0,0.0,3463,0.0,25537,130406.0,,,-242675,-19954,-15104,-75310,-353043,,2978,226623,229601,-123442,6964,324523,3503.0,-3275.0,-75807.0,248944,,3001,0.0,0.0,-158593.0,-107519,4807,-4537.0,0,-4345.0,-267186,,14528,0.0,-1994.0,-303750,0.0,-291216,32139,-277319,913693,636374,636374,,,,
5225,2014年01月01日至2014年09月30日,,255321,255321,,,62033,284,1703.0,2634.0,2412.0,-3020.0,0.0,1660,8237.0,12667,88610.0,,,-464498,-67558,-83790,-23031,-638877,,16707,386614,403321,-235556,-146946,108375,3020.0,-2412.0,-42302.0,66681,,3117,0.0,0.0,-158593.0,-83782,4531,,-3635,-3475.0,-241837,,7707,0.0,-2030.0,-303750,,-298073,1815,-471414,913693,442279,442279,,,,
5225,2014年01月01日至2014年06月30日,,108863,108863,,,40518,191,0.0,5828.0,1314.0,-2781.0,,3444,,14588,63102.0,,,-192150,-10637,-61589,-17732,-282108,,0,115365,115365,-166743,-103641,5222,2781.0,-1314.0,-30845.0,-24156,,4213,0.0,0.0,-158593.0,-29695,2087,,-530,-2208.0,-184726,,1978,0.0,-425.0,-303750,,-302197,5092,-505987,913693,407706,407706,,,,
5225,2014年01月01日至2014年03月31日,,13118,13118,,,19831,94,0.0,6021.0,0.0,-1832.0,,39,,2196,26349.0,,,-79045,6337,-47640,10009,-110339,,0,62652,62652,-47687,-21338,-8220,1832.0,0.0,-22884.0,-29272,,4228,,0.0,0.0,-13904,74,,-159042,0.0,-168644,,0,,0.0,0,,0,13487,-184429,913693,729264,729264,,,,
5225,2013年度,,377653,377653,,,67707,376,0.0,,,,,8187,,-184052,,,,177223,44454,-2429,76135,295383,,-34678,19121,-15557,279826,172044,549697,,,,549697,,7258,,,0.0,-127218,4239,,269,0.0,-115452,,0,,0.0,-303750,,-303750,37543,168038,745655,913693,913693,,-107782.0,,
5225,2013年01月01日至2013年12月31日,,377653,377653,,,67707,376,,,,,,8187,,-184052,,,,177223,44454,-2429,76135,295383,,-34678,19121,-15557,279826,172044,549697,,,,549697,,7258,,,,-127218,4239,,269,,-115452,,0,,,-303750,,-303750,37543,168038,745655,913693,913693,,-107782.0,0.0,
