公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他非流動資產減少,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他營業資產（增加）減少,　　　　　 應付帳款－關係人增加（減少）,　　 存出保證金增加,　　 短期借款增加,　　 應付短期票券增加,　　 其他非流動資產增加,　　 應付短期票券減少,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 其他籌資活動,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分子公司
2367,2015年01月01日至2015年09月30日,,463189,463189,,,1016045,6709,-1540,688.0,65742,-10097,-46718,18528,-139.0,-8753.0,114471.0,1154936.0,,,-5637.0,-2667,138067,345,-227707,10000,7238,-40514,-120875,,3409,-138972,101262,125.0,2060,5212.0,-1245,-28149,-149024,1005912,1469101,10181,-65505,-61290.0,1352487,,-15811.0,2117.0,-93636.0,-1572166,244268,-8.0,163916.0,12492.0,-1258828,,351555.0,591987.0,-682473,-396423.0,-106942.0,0,-242296,-7255,-155892,1241265,1085373,1085373,,,,,,,,,,,,,,,,,
2367,2015年01月01日至2015年06月30日,,114578,114578,,,690942,4430,228,199.0,43644,-7753,-20206,10529,-139.0,-29999.0,108803.0,800678.0,,,-8034.0,-17816,844170,340,-325624,-64733,882,-519,428666,,2448,-190720,220131,-80.0,4977,3538.0,-578,39716,468382,1269060,1383638,8177,-44082,0.0,1347733,,-10895.0,2117.0,,-923545,715,0.0,2794.0,0.0,-928822,,,445698.0,-682473,,-28437.0,0,-162284,-3115,253512,1241265,1494777,1494777,0.0,0.0,-8.0,102928.0,0.0,,,,,,,,,,,,
2367,2015年01月01日至2015年03月31日,,167172,167172,,,355271,2182,45,-1585.0,22514,-3874,-9022,6321,,,,371852.0,,,2694.0,17836,385649,334,20836,-38278,36173,-7547,417697,,-51,-258125,-88452,,-1018,1692.0,81,-345908,71789,443641,610813,3572,-23029,,591356,,,,,-327867,237,0.0,0.0,,-325672,,-99284.0,491326.0,-682473,,,0,-290431,-3139,-27886,1241265,1213379,1213379,0.0,-35.0,-8.0,0.0,0.0,1966.0,0.0,,,,,,,,,,
2367,2014年度,,525313,525313,,,1406924,7589,19494,-959.0,108864,-10696,-9279,14366,0.0,0.0,0.0,,,,-818.0,-19443,-975027,-155,16682,-31581,-10294,29215,-991421,,0,412432,110871,188.0,-5557,,589,501037,-490384,1089190,1614503,10963,-109425,10117.0,1526158,,,,-46949.0,-1027789,1639,6044.0,3450.0,9323.0,-1054282,,0.0,952503.0,-1195273,-226527.0,0.0,-5918,-383307,-5089,83480,1157785,1241265,1241265,0.0,,0.0,91908.0,,0.0,0.0,,43271.0,1579574.0,-17486.0,0.0,0.0,0.0,0.0,,
2367,2014年01月01日至2014年09月30日,,241835,241835,,,1043492,5779,11701,-1167.0,83501,-7096,2575,11989,0.0,0.0,0.0,1150774.0,,,-8622.0,502,-912550,199,-128754,-44961,11976,31340,-1050870,,449,419261,-22899,63.0,-1681,-18457.0,-1446,375290,-675580,475194,717029,7597,-84283,3149.0,643492,,0.0,0.0,0.0,-784301,962,6107.0,-1583.0,9321.0,-769494,,262285.0,1023169.0,-1195273,-226527.0,0.0,-8832,-145178,-4829,-276009,1157785,881776,881776,,,,,,,,,,,,,,,,,
2367,2014年01月01日至2014年06月30日,,14590,14590,,,681372,4139,1941,-1722.0,57755,-5382,6128,9082,0.0,0.0,0.0,753313.0,,,2880.0,1065,-407081,-9155,-114510,-35939,-3900,34100,-532540,,-51,136832,-123289,6.0,-11308,-22722.0,-961,-21493,-554033,199280,213870,6172,-58280,-120.0,161642,,0.0,0.0,,-394025,353,6107.0,-4116.0,9326.0,-382355,,,651088.0,-1195273,,0.0,2,-17528,-4027,-242268,1157785,915517,915517,0.0,0.0,0.0,376855.0,149800.0,,,,,,,,,,,,
2367,2014年01月01日至2014年03月31日,,-59658,-59658,,,360242,2179,1539,-535.0,30866,-3289,6153,4401,,,,401556.0,,,3996.0,-2274,352843,187,-99787,-33947,15852,9581,245842,,-51,-216660,-161576,,-4963,-26999.0,-478,-410659,-164817,236739,177081,3096,-30547,,149630,,,,,-200688,320,6859.0,0.0,,-193509,,0.0,858563.0,-1195273,,,1305,44254,-4859,-4484,1157785,1153301,1153301,-609.0,68.0,0.0,179962.0,199697.0,0.0,0.0,,,,,,,,,,
2367,2013年度,,286022,286022,,,1398405,8994,18013,992.0,119703,-6768,-7357,13622,0.0,-28952.0,0.0,,,,-6378.0,4496,-7337,532,148076,14931,39073,55109,248502,,0,-424265,120501,78.0,-11649,,9904,-291955,-43453,1473199,1759221,6122,-119573,-6158.0,1639612,,,,0.0,-998442,2844,0.0,0.0,0.0,-1019700,,-50514.0,799841.0,-1200270,0.0,-25265.0,-7952,-564078,-5367,50467,1107318,1157785,1157785,0.0,,-3306.0,0.0,,-3043.0,-79918.0,,0.0,1516652.0,13476.0,0.0,-17753.0,0.0,0.0,,
2367,2013年01月01日至2013年12月31日,,286022,286022,,,1398405,8994,18013,992.0,119703,-6768,-7357,13622,0.0,-28952.0,0.0,,,,-6378.0,4496,-7337,532,148076,14931,39073,55109,245459,,0,-424265,120501,78.0,-11649,,9904,-291955,-46496,1470156,1756178,6122,-119573,-6158.0,1636569,,,,,-998442,2844,0.0,,0.0,-1016657,,-50514.0,799841.0,-1200270,0.0,-25265.0,-7952,-564078,-5367,50467,1107318,1157785,1157785,-3043.0,,-3306.0,,,,-79918.0,,,1516652.0,13476.0,0.0,-17753.0,0.0,0.0,,
2367,2013年01月01日至2013年09月30日,,263480,263480,,,1041773,6341,10597,386.0,88141,-4251,-16668,6615,501.0,,,,,,-6882.0,-13479,-274997,563,9971,-13505,739,38549,-259041,,-51,-148015,103923,54.0,14870,,5231,17881,-241160,892275,1155755,3728,-88057,-169.0,1071257,,,,,-779826,2343,426.0,-8114.0,0.0,-776223,,84828.0,6857238.0,-7081178,0.0,-25265.0,-8938,-253778,-10482,30774,1107318,1138092,1138092,,,,,,,-80463.0,,,1133435.0,41869.0,,-2363.0,,,11311.0,
2367,2013年01月01日至2013年06月30日,,197394,197394,,,684543,3304,1107,0.0,56669,-2929,-17679,6720,-26.0,,,,,,-6045.0,3352,-221025,582,10143,-51888,14726,31017,-219138,,1205,-246565,102897,98.0,-3327,,5478,-143472,-362610,369099,566493,2820,-56909,-127.0,512277,,,1838.0,,-516876,735,514.0,5543.0,0.0,-508246,,315174.0,798585.0,-1200270,,-25265.0,-8832,-70601,-18050,-84620,1107318,1022698,1022698,0.0,0.0,0.0,,,,50007.0,,,731709.0,-3258.0,,,,,,
