公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他金融資產減少,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 員工執行認股權,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他非流動資產減少,　　　　　 應付票據－關係人增加（減少）,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　 發行公司債,　　 現金增資,　　 其他籌資活動,　　 處分備供出售金融資產,　　 其他金融資產增加,　　　　 攤銷費用
4164,2015年01月01日至2015年09月30日,,157573,157573,,,294839,-583,33020.0,40574,-1862,12563,304.0,13808.0,392663.0,,,137571,-113695.0,-49398,-50492.0,-429,-1556.0,6746,-25635,7900,-70598,-159586,,-19576,-27573,2618.0,12327,7528,107594,-9332,73586,-86000,306663,464236,1862,-40190,-61607,364301,,0.0,-1134428.0,-216511,48.0,-57733.0,56166.0,10619.0,-38579.0,-1380418,,3681812.0,-3029179,-1020040.0,1529023,-190768,34343.0,-260692.0,2598.0,405000.0,1152097,2080,138060,558333,696393,696393,,,,,,,,,,,
4164,2015年01月01日至2015年06月30日,,63366,63366,,,196359,3776,18100.0,24389,-1692,8375,304.0,11775.0,261386.0,,,129556,-142738.0,5974,-33278.0,-10838,-758.0,-51463,-11184,3514,-80882,-192097,,-22131,-12034,2147.0,13583,8486,14073,-7064,-2940,-195037,66349,129715,1692,-24021,-23611,83775,,0.0,-1134428.0,-207500,48.0,-49828.0,46932.0,5289.0,,-1351870,,2568036.0,-1522509,,42474,-88846,26344.0,,1544.0,405000.0,1432043,-2653,161295,558333,719628,719628,-12383.0,,,,,,,,,,
4164,2015年01月01日至2015年03月31日,,-62289,-62289,,,97174,407,2800.0,10107,-489,4187,304.0,5886.0,120376.0,,,-854,-12795.0,148753,12443.0,-476,-51.0,-174029,-35382,-7047,5813,-63625,,-11475,-18913,-5283.0,-2974,-2857,14222,-3123,-30403,-94028,26348,-35941,489,-8866,-36,-44354,,,-1134428.0,-58115,,-21174.0,35752.0,5212.0,-116008.0,-1288761,,1579692.0,-447264,,0,-32636,26012.0,,1130.0,405000.0,1531934,-1882,196937,558333,755270,755270,,0.0,,,,,,,,,
4164,2014年度,,324408,324408,,,353329,447,1000.0,23013,-1653,28534,3126.0,23551.0,,,,-27676,,-88652,,295,,-22140,37044,-618,77338,-24409,,-8883,-27287,,-902,6376,45463,-14129,638,-23771,407576,731984,1653,-24459,-74945,634233,,-353400.0,,-881112,1000.0,-128180.0,101322.0,102908.0,,-1236284,,2065114.0,-2138468,,836111,-71433,3471.0,-260000.0,14324.0,0.0,449119,6645,-146287,704620,558333,558333,-78822.0,,,0.0,431347.0,0.0,0.0,0.0,,,
4164,2014年01月01日至2014年09月30日,,185924,185924,,,263731,123,1200.0,16420,-1079,21525,-1000.0,17662.0,318582.0,,,-5103,-298.0,131116,-4649.0,-1232,0.0,-135066,24256,-3241,28141,33924,,-3797,-93162,0.0,-2515,-3132,18197,-10526,-94935,-61011,257571,443495,1079,-23503,-74861,346210,,-314400.0,0.0,-701794,1000.0,-76434.0,52272.0,100911.0,-150716.0,-1089161,,2774454.0,-2647907,0.0,762693,-50346,3180.0,-260000.0,10941.0,0.0,593015,3233,-146703,704620,557917,557917,,,,,,,,,,,
4164,2014年01月01日至2014年06月30日,,141613,141613,,,175177,-244,-4800.0,9685,-916,14350,0.0,11775.0,205027.0,,,-5865,-39.0,20405,-2745.0,275,0.0,-80717,1689,-426,8032,-59391,,-8371,-51169,0.0,-1605,-1015,22910,-3985,-43235,-102626,102401,244014,916,-11087,-39463,194380,,-312000.0,0.0,-681085,0.0,-65770.0,27323.0,106470.0,,-920308,,6061.0,0,,676671,-32982,0.0,,0.0,0.0,649750,-5118,-81296,704620,623324,623324,4754.0,,,,,,,,,,
4164,2014年01月01日至2014年03月31日,,45672,45672,,,85944,-485,-800.0,4596,-287,7175,0.0,5887.0,102030.0,,,-2492,0.0,86919,-1050.0,-1237,0.0,60645,5267,-92183,2732,58601,,-4933,-96781,0.0,-3284,-1252,57312,-3103,-52036,6565,108595,154267,287,-3663,206,151097,,,0.0,-463587,,-17683.0,19260.0,43826.0,-2123.0,-420307,,295792.0,-330018,,390000,-20725,0.0,,0.0,0.0,335049,-354,65485,704620,770105,770105,,5.0,,,,,,,,,
4164,2013年度,,377486,377486,,,338632,-498,1200.0,45972,-3761,39249,0.0,9813.0,,,,23123,,106360,,22951,,-89238,21763,-6594,75754,154119,,4716,75058,,6677,14309,-447723,387324,40361,194480,628392,1005878,3761,-45725,-96935,866979,,-28215.0,,-324395,0.0,-73976.0,121055.0,-52019.0,,-1043779,,1952095.0,-2201799,,425888,-1779425,0.0,-360000.0,0.0,0.0,-167891,7105,-337586,1042206,704620,704620,-686229.0,,,3305.0,433912.0,1000000.0,800000.0,-4650.0,,,
4164,2013年01月01日至2013年12月31日,,377486,377486,,,338632,-498,1200.0,45972,-3761,39249,0.0,9813.0,,,,23123,,106360,,25283,,-89238,21763,-6594,75754,156451,,4716,75058,,6677,14309,-447723,387324,40361,196812,630724,1008210,3761,-45725,-96935,869311,,-28215.0,,-324395,0.0,,,,-641482.0,-1046111,,0.0,-249704,,425888,-1779425,,-360000.0,,0.0,-167891,7105,-337586,1042206,704620,704620,,,,3305.0,433912.0,1000000.0,800000.0,-4650.0,0.0,-52019.0,
4164,2013年01月01日至2013年09月30日,,270447,270447,,,254980,64,-3800.0,42806,-2713,33327,0.0,3925.0,,,,21312,,76975,,23092,,-103746,8664,-11519,54754,69532,,1932,-17672,,6063,12350,-8492,-49454,-55273,14259,342848,613295,2713,-43813,-96842,475353,,-28215.0,,-319021,0.0,-102615.0,41908.0,42437.0,,-380581,,0.0,-341522,,388818,-1248737,0.0,-360000.0,0.0,0.0,233909,4063,332744,1042206,1374950,1374950,-15075.0,,,,328589.0,1000000.0,800000.0,-4650.0,0.0,,
