公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 現金增資,　　 庫藏股票買回成本,　　 取得子公司股權,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 未實現外幣兌換損失（利益）,　　 其他金融資產增加,　　 短期借款減少,　　 存入保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 股利收入,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 存出保證金減少,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　　 持有供交易之金融資產（增加）減少
8150,2015年01月01日至2015年09月30日,,2330434,0.0,2330434,,,2243311,2203,1049,97717,-44120,32053,-20766.0,-1528,-11221,-42147,2256551.0,,,-247,918863,71000,-2781,-46315,42897,128561,1111978,,-243517,-124111,421,3767,-46718,8722,-8586.0,-410022,701956,2958507,5288941,42398,0.0,-97917,-1170733,4062689,,11221.0,0,0.0,-116000.0,-3619094,6592,-580.0,-7803.0,-3725664,,-428344.0,2000000,-1508153,64.0,-1999225.0,0.0,-633737.0,-1444224.0,0.0,-4013619,27019,-3649575,13311902,9662327,9662327,,,,,,,,,,,,,
8150,2015年01月01日至2015年06月30日,,1623888,0.0,1623888,,,1483911,1468,-10,66516,-31302,42437,-12459.0,-1465,0,-28095,1565629.0,,,1423,752487,98452,349,-62283,-1634,202386,991180,,-236196,-80140,-272,10927,24686,-5525,-3491.0,-290011,701169,2266798,3890686,29231,0.0,-67002,-849994,3002921,,,0,,-116000.0,-2522241,4193,-525.0,,-2642354,,,2000000,-788153,,,0.0,,-1444224.0,,-801947,-64695,-506075,13311902,12805827,12805827,44628.0,-7781.0,-569532.0,-38.0,,,,,,,,,
8150,2015年01月01日至2015年03月31日,,882624,0.0,882624,,,730660,740,60,33413,-13797,45776,-4118.0,26,0,-14052,792512.0,,,1208,628254,87159,80,-60354,-20794,161979,797532,,-189534,-129135,1322,-32865,25898,-2544,-1474.0,-328332,469200,1261712,2144336,9975,,-34015,-774,2119522,,,0,,-116000.0,-1715168,0,-606.0,4673.0,-1827101,,-510197.0,2000000,-777506,,,,,,,712278,-22364,982335,13311902,14294237,14294237,13804.0,,,-19.0,,,,,,,,,
8150,2014年度,,4785336,,4785336,,,2906085,2880,-10542,132652,-42687,228792,,-39394,-812654,-56147,,,,-167,-761759,61650,-1377,-185262,-158611,-85933,-1131459,,118126,275747,636,-16820,22509,13725,,410089,-721370,1401240,6186576,41749,1266.0,-132554,-254751,5842286,,,1110073,-209114.0,,-3119020,3974,,-467.0,-2215345,,981590.0,6000000,-6695575,,-1037544.0,576746.0,,,-80876.0,-256157,223041,3593825,9718077,13311902,13311902,-186375.0,,,-498.0,,0.0,0.0,0.0,2122610.0,-3834.0,-791.0,,
8150,2014年01月01日至2014年09月30日,,3509798,0.0,3509798,,,2195346,2147,-9218,100285,-30067,190901,0.0,-1248,-812654,-42099,1593393.0,,,-356,-621818,98125,-1561,-188921,-185844,-86041,-986416,,132209,75252,212,46152,25102,3036,-7820.0,274143,-712273,881120,4390918,29638,1266.0,-100438,-253644,4067740,,0.0,1110073,-209114.0,0.0,-2503515,6496,-612.0,5401.0,-1591271,,473464.0,6000000,-6266361,-6.0,-1037544.0,576746.0,0.0,0.0,-80876.0,-334577,8750,2150642,9718077,11868719,11868719,,,,,,,,,,,,,
8150,2014年01月01日至2014年06月30日,,2319528,0.0,2319528,,,1475117,1434,-41122,69373,-19522,162550,0.0,143,-812654,-28069,791163.0,,,-579,-227373,86722,-773,-59001,-36371,-91866,-329241,,44309,100862,10851,-9935,9809,1428,-4423.0,152901,-176340,614823,2934351,19743,1266.0,-67052,-162654,2725654,,,1110073,,0.0,-1780021,5971,-579.0,,-682592,,,0,-1580931,,,576746.0,,0.0,,-758028,3959,1288993,9718077,11007070,11007070,-16087.0,-18036.0,246138.0,19.0,,,,,,,,,
8150,2014年01月01日至2014年03月31日,,1525022,0.0,1525022,,,747711,727,-19723,37451,-7129,84856,0.0,-497,-812616,-14043,-71134.0,,,-1303,-48654,74329,-1488,15861,-64454,-98968,-124677,,-28801,5407,1768,-51384,1174,8244,-1404.0,-64996,-189673,-260807,1264215,7159,,-36053,-504,1234817,,,1110035,,0.0,-1096523,5971,0.0,4612.0,24095,,175552.0,0,-1532516,,,,,,,-1356904,90155,-7837,9718077,9710240,9710240,-87871.0,,,60.0,,,,,,,,,
8150,2013年度,,3351120,,3351120,,,3292144,2804,-110473,180425,-33130,191678,,-122027,-723914,-56084,,,,2752,-4680,66062,211,168486,-136,62516,295211,,66722,-169102,-28776,20264,4464,3682,,-112308,182903,2576623,5927743,35162,31813.0,-180525,-51658,5762535,,,1062075,0.0,,-3251283,151093,,93955.0,-1943549,,420199.0,23801,-2227800,,-421427.0,0.0,,,-462316.0,-2667829,241509,1392666,8325411,9718077,9718077,-214688.0,,,-286.0,,-16947.0,3041.0,891.0,2393720.0,-9562.0,611.0,,
8150,2013年01月01日至2013年12月31日,,3351120,,3351120,,,3292144,2804,-110473,180425,-33130,191678,,-122027,-723914,-56084,,,,2752,-4680,66062,211,168486,-136,62516,295211,,66722,-169102,-28776,20264,4464,3682,,-112308,182903,2576623,5927743,35162,31813.0,-180525,-51658,5762535,,,1062075,,,-3251283,151093,,93955.0,-1943549,,420199.0,23801,-2227800,-286.0,-421427.0,,,,-462316.0,-2667829,241509,1392666,8325411,9718077,9718077,-214688.0,,,,,-16947.0,3041.0,891.0,2393720.0,-9562.0,611.0,,
8150,2013年01月01日至2013年09月30日,,2114717,,2114717,,,2544980,2100,-49574,141024,-23350,115717,,-142413,-91520,-42058,,,,3888,-215899,131522,-944,201032,-14721,63560,168438,,119241,-254534,713,-24788,-6804,3340,,-168337,101,2304334,4419051,25351,15499.0,-137971,-36614,4285316,,,145572,0.0,,-2580398,174188,609.0,-23231.0,-2283260,,1143033.0,18893,-2177800,,-421427.0,0.0,,,-248659.0,-1686262,170354,486148,8325411,8811559,8811559,-151344.0,,,-302.0,,,671.0,,2304233.0,-5505.0,,,
