公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他應收款－關係人增加,　　 取得投資性不動產,　　 處分投資性不動產,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 償還長期借款,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他應收款－關係人減少,　　　　　 其他應收款－關係人（增加）減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 短期借款增加,　　 舉借長期借款,　　 其他非流動資產增加,　　　　 處分採用權益法之投資損失（利益）,　　　　　 其他應付款－關係人增加（減少）,　　 處分採用權益法之投資,　　 應付短期票券減少,　　 其他非流動資產減少
1906,2015年01月01日至2015年09月30日,,103394,103394,,,119,-79,0,13684,-2960,-139870.0,30904,205.0,0.0,0.0,-97997.0,,,0,0.0,3652,2747,-9046,-102,-48,-822,-3619,,0,0,-24626,2835,11,-3,-21783,-25402,-123399,-20005,-13799,-6326.0,-40130,,-8970.0,0.0,0,0,1524.0,-801.0,0.0,-7907.0,0,0.0,2960,139870.0,126676,,-126500.0,49915,-175000,-251585,-165039,227573,62534,62534,,,,,,,,,,,,,,
1906,2015年01月01日至2015年06月30日,,109883,109883,,,79,-70,0,9195,-1944,-139870.0,15501,205.0,0.0,0.0,-116904.0,,,0,-2600.0,4416,4362,-2139,-148,-41,-530,3320,,0,0,-39461,1464,34,15,-37948,-34628,-151532,-41649,-9219,-6526.0,-57394,,,0.0,0,0,1524.0,,0.0,,0,0.0,1944,0.0,4786,,-98200.0,119,-61000,-159081,-211689,227573,15884,15884,1318.0,,,,,,,,,,,,,
1906,2015年01月01日至2015年03月31日,,-21554,-21554,,,65,-15,0,4599,-975,,14968,201.0,0.0,0.0,18843.0,,,0,0.0,-2638,2688,754,-137,-35,-285,816,,0,0,-29799,1943,63,-53,-27846,-27030,-8187,-29741,-4518,,-34259,,,0.0,0,0,1524.0,,,,0,0.0,975,,2499,,-100000.0,49932,-115000,-165068,-196828,227573,30745,30745,,469.0,,,,,,,,,,,,
1906,2014年度,,203032,203032,,,264,-60,-12,18378,-3905,-119056.0,64746,,-137680.0,-21330.0,,,,9203,2854.0,-6257,-3834,6256,-3,38,-538,95,,-29,-71770,116757,325,-2,-20,45261,45356,-153299,49733,-18738,-4200.0,26795,,-88818.0,79214.0,-163035,-168200,249.0,1050.0,,,-18336,158969.0,3905,119056.0,-77746,,,249777,-30000,260277,209326,18247,227573,227573,,-7624.0,,-198655.0,0.0,-1800.0,10500.0,30000.0,,,,,,
1906,2014年01月01日至2014年09月30日,,222703,222703,,,150,-45,-11,13888,-2933,-119055.0,44557,0.0,-137680.0,-21330.0,-222459.0,,,9202,2854.0,-9200,-2511,-1377,-367,51,-403,-1751,,-29,-71770,128054,1825,39,-29,58090,56339,-166120,56583,-14061,-4198.0,38324,,-88817.0,79214.0,-163035,-168200,249.0,0.0,1048.0,-5366.0,-18336,158969.0,2933,119055.0,-82286,,-39500.0,199794,0,160294,116332,18247,134579,134579,,,,,,,,,,,,,,
1906,2014年01月01日至2014年06月30日,,240048,240048,,,110,-30,-11,9215,-1987,-119055.0,26019,0.0,-137680.0,-19886.0,-243305.0,,,9202,2854.0,-9387,-108085,351,-477,-17,-269,-105828,,-29,-33716,68264,3178,84,-38,37743,-68085,-311390,-71342,-9276,0.0,-80618,,,76049.0,-163035,-168200,249.0,,1049.0,,-18336,158969.0,1987,103411.0,-9970,,-74000.0,199731,-25000,100731,10143,18247,28390,28390,-2113.0,,,,,,,,,,,,,
1906,2014年01月01日至2014年03月31日,,131316,131316,,,63,-16,-41,4548,-944,,25689,0.0,-137680.0,-19886.0,-128267.0,,,9232,2854.0,-11801,-2092,-5456,-453,9,-133,-192817,,24,11027,6443,44064,0,-67,61491,-131326,-259593,-128277,-4564,,-132841,,,76049.0,-163035,-14329,0.0,,,,-12756,158969.0,944,,45842,,-71000.0,149807,0,78807,-8192,18247,10055,10055,,-184977.0,,,,,,,,,,,,
1906,2013年度,,4319,4319,,,252,-60,-39,11846,-3741,-47040.0,40012,,0.0,-394.0,,,,-8483,-2854.0,7503,5808,996,96,-45,-770,-4022,,-21,-60317,977,497,64,64,-58736,-62758,-61922,-57603,-11417,-10.0,-69030,,-346779.0,0.0,-3095,-211138,0.0,-700.0,,,-26864,0.0,3741,47040.0,-527989,,,50040,-533334,307706,-289313,307560,18247,18247,,-6273.0,,836.0,9806.0,0.0,291000.0,500000.0,,,,,,
1906,2013年01月01日至2013年12月31日,,4319,4319,,,252,-60,-39,11846,-3741,-47040.0,40012,0.0,,-394.0,,,,-8483,-2854.0,7503,5808,996,96,-45,-770,-4022,,-21,-60317,977,497,64,64,-58736,-62758,-61922,-57603,-11417,-10.0,-18249,,-346779.0,,-3095,-211138,0.0,-700.0,,,-26864,,3741,47040.0,-578770,,,50040,-33334,307706,-289313,307560,18247,18247,,-6273.0,,836.0,9806.0,0.0,291000.0,0.0,0.0,0.0,0.0,0.0,0.0,
1906,2013年01月01日至2013年09月30日,,11228,11228,,,189,-45,-28,7894,-2736,-47040.0,35278,,0.0,0.0,,,,-8482,0.0,-5495,2942,2141,-985,-766,-667,-11312,,315,-13176,657,669,311,29,-11195,-22507,-28995,-17767,-8058,-6.0,-25831,,0.0,0.0,-3095,-5460,0.0,-2801.0,0.0,-4793.0,-22017,0.0,2736,47040.0,11610,,-175000.0,-49922,-53334,-278256,-292477,307560,15083,15083,,,,-6488.0,,,,,,,,,,
