公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他非流動資產增加,　　 預付設備款增加,　　 其他預付款項增加,　　 其他預付款項減少,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　 短期借款減少,　　　 不影響現金流量之收益費損項目,　　　　 處分投資性不動產損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得備供出售金融資產,　　 處分子公司,　　 處分投資性不動產,　　 存入保證金增加,　　 發放現金股利,　　 非控制權益變動,　　 其他籌資活動
8940,2015年01月01日至2015年09月30日,,-53828,-53828,,,144020,15599,9261,-5363,0.0,225,0.0,5880.0,91.0,169713.0,,,-242,19248,62888,26023,-3388,-647,3364,107246,,-30142,-10091,-5489,-3257,-1740,-342.0,-51061,56185,225898,172070,-9320,-9224.0,153526,,0.0,-98109,24.0,3886.0,-9625.0,-1640.0,-24000.0,0.0,5363,0.0,-124101,,-20000.0,0.0,390000,-410000,0.0,-40000,2349,-8226,205196,196970,196970,,,,,,,,,,,,,
8940,2015年01月01日至2015年06月30日,,37851,37851,,,94162,10299,6327,-3982,,132,,439.0,91.0,107468.0,,,190,-2454,3989,26012,-2912,-1160,1675,25340,,-1411,-9621,-8138,-15501,-992,-352.0,-36015,-10675,96793,134644,-6490,-4878.0,123276,,,-84998,24.0,,-8497.0,,-24000.0,,3982,,-108762,,10000.0,,220000,-310000,0.0,-80000,-3020,-68506,205196,136690,136690,4727.0,,,,,,,,,,,,
8940,2015年01月01日至2015年03月31日,,51447,51447,,,46223,4993,2476,-1808,,83,,,,51967.0,,,-449,-27644,4796,27649,40,-1528,1680,4544,,10236,-24555,-17029,-12267,-938,-203.0,-44756,-40212,11755,63202,-2266,,60936,,,-52175,,4795.0,-8279.0,,,,1808,,-53851,,50000.0,,130000,-100000,0.0,-20000,-1513,-14428,205196,190768,190768,,-100000.0,,,,,,,,,,,
8940,2014年度,,-92741,-92741,,,161865,17302,8296,-4951,-824.0,20736,-844.0,5565.0,,,,,1968,5511,-13821,-10711,-4219,877,5978,-14417,,-3289,-9815,12782,-15614,-3437,,-22660,-37077,170068,77327,-9014,-1950.0,66363,,12273.0,-218398,,,-15180.0,-2937.0,,,4951,824.0,-229503,,140197.0,,430000,-460000,,110193,4499,-48448,253644,205196,205196,-11036.0,,,0.0,207145.0,-3287.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0
8940,2014年01月01日至2014年09月30日,,-119220,-119220,,,119727,12768,8766,-6931,-824.0,20259,-844.0,0.0,0.0,152921.0,,,572,13686,-19296,-10844,-2039,-3975,2090,-19806,,-11717,-10680,-6332,-2289,-2402,-742.0,-34162,-53968,98953,-20267,-9515,-1923.0,-31705,,12273.0,-140818,0.0,-8155.0,-5547.0,-967.0,0.0,0.0,6931,824.0,-135459,,143659.0,50000.0,280000,-360000,-4.0,113655,-115,-53624,253644,200020,200020,,,,,,,,,,,,,
8940,2014年01月01日至2014年06月30日,,-25915,-25915,,,78019,8567,3688,-2649,,16053,,0.0,0.0,103678.0,,,2271,17110,-37612,21165,6971,321,11549,21775,,-6156,-13918,-147,-25329,464,-490.0,-45576,-23801,79877,53962,-1980,0.0,51982,,,-73463,0.0,,-4153.0,,0.0,,2649,,-75767,,0.0,,280000,-360000,-4.0,-80004,-1704,-105493,253644,148151,148151,-800.0,,,,,,,,,,,,
8940,2014年01月01日至2014年03月31日,,20904,20904,,,34912,4257,1948,-1906,,36,,,,39247.0,,,892,10732,-66598,19369,4396,132,10553,-20524,,-6878,-18762,-2282,-10193,-1607,-254.0,-39976,-60500,-21253,-349,-1045,,-1394,,,-59538,,475.0,-3726.0,,,,1906,,-60883,,0.0,,30000,-60000,-4.0,-30004,913,-91368,253644,162276,162276,,0.0,,,,,,,,,,,
8940,2013年度,,-29149,-29149,,,114174,9582,5382,-6123,-948.0,120,-26.0,0.0,,,,,2,3591,-50197,-3599,7158,1413,-4637,-46269,,-1109,21287,3041,42771,-2728,,60292,14023,125350,96201,-4056,-15101.0,77044,,24813.0,-465193,,,-26663.0,-731.0,,,6123,948.0,-410726,,145770.0,,520000,-340000,,250298,13977,-69407,323051,253644,253644,-1411.0,,,-10834.0,111327.0,-2970.0,-19786.0,0.0,71174.0,4.0,-67491.0,0.0,-7985.0
8940,2013年01月01日至2013年12月31日,,-29149,-29149,,,114174,9582,5382,-6123,-948.0,120,-26.0,,,,,,2,3591,-50187,-3599,7158,1413,-31038,-72660,,-1109,21287,8429,42771,-2728,,65680,-6980,104347,75198,-4056,-15101.0,56041,,24813.0,-470581,0.0,-2414.0,,,,,6123,948.0,-389723,,145770.0,,520000,-340000,,250298,13977,-69407,323051,253644,253644,,,,-10834.0,111327.0,-2970.0,-19786.0,0.0,71174.0,4.0,-67491.0,0.0,-7985.0
8940,2013年01月01日至2013年09月30日,,-30482,-30482,,,80700,9479,2968,-5262,-948.0,112,-26.0,,,,,,1195,18359,-58850,2419,14482,981,-6254,-27668,,-18179,-1737,-8369,13401,-583,,-15428,-43096,33093,2611,-2822,-15083.0,-15294,,24813.0,-383438,,-988.0,-34947.0,,,,5262,948.0,-336962,,205607.0,0.0,310000,-130000,0.0,310131,9905,-32220,323051,290831,290831,,,,-10834.0,76189.0,39.0,-19786.0,,71174.0,,-67491.0,0.0,-7985.0
