公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 未實現銷貨利益（損失）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得採用權益法之投資,　　　　　 其他應付款－關係人增加（減少）,　　 處分不動產、廠房及設備,　　 應付短期票券減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 支付之股利,　　　　 其他項目,　　　　　 其他營業負債增加（減少）,　　　　 已實現銷貨損失（利益）,　　　　　 應付建造合約款（增加）減少
5534,2015年01月01日至2015年09月30日,,431676,431676,,,713,1836,1877,41982,-435.0,13654,1812.0,61439.0,,,17936,-8109,-36575.0,2794,158,-6901.0,283,-789331,33563,-20363,-18947.0,-825492,,-41015,0,93984,104391.0,-44245,2211402,7606.0,2332123,1506631,1568070,1999746,435.0,-180179,-45069,1774933,,-28570.0,-1143.0,-103681,1210.0,-4139,-136323,,1019000.0,-2575293,-199947.0,25815.0,-716,0.0,-1731141,-92531,1225146,1132615,1132615,,,,,,,,,,,
5534,2015年01月01日至2015年06月30日,,69112,69112,,,476,1258,-400,27712,-419.0,6379,1301.0,36307.0,,,20936,31164,-69010.0,-322,-62715,19694.0,1492,-777132,11227,-16308,-7697.0,-848671,,-42827,0,116486,119249.0,-52312,521932,261.0,662789,-185882,-149575,-80463,419.0,-120104,-28435,-228583,,,,-3925,870.0,-4580,-36205,,569000.0,-596431,-199967.0,25615.0,-716,,-202499,-467287,1225146,757859,757859,-28570.0,,,,,,,,,,
5534,2015年01月01日至2015年03月31日,,30667,30667,,,237,625,-459,9609,-18.0,3653,301.0,13948.0,,,20568,-43357,10450.0,-69,-26,2953.0,406,-550783,-1529,-5204,-2820.0,-569411,,-43168,0,126661,10118.0,-41318,187761,-1623.0,238431,-330980,-317032,-286365,18.0,-59594,-2160,-348101,,,,0,870.0,-5180,-4310,,439000.0,-494000,0.0,23750.0,0,,-231221,-583632,1225146,641514,641514,,0.0,0.0,-199971.0,,,,,,,
5534,2014年度,,1979861,1979861,,,1410,3151,-7073,47046,-982.0,13856,2338.0,,,,109991,-142479,-10450.0,49140,-280,-19694.0,6875,-1618027,-18204,-68251,134721.0,-1576658,,146200,0,149516,-985.0,124046,893122,9568.0,1321467,-255191,-195445,1784416,982.0,-239396,-230073,-301364,,,,-163499,,-1786,-165285,,4492294.0,-3304505,378.0,,3825,,1191992,725343,499803,1225146,1225146,0.0,,,,,59746.0,-1617293.0,,,,
5534,2014年01月01日至2014年09月30日,,714009,714009,,,1351,2375,-7329,25199,-482.0,14337,1443.0,36894.0,,,111601,-32490,0.0,24121,-275,-4551.0,8519,-2522514,17712,-90176,137570.0,-2350483,,251548,0,206480,-264.0,70635,1375043,18866.0,1922308,-428175,-391281,322728,482.0,-176918,-210454,-64162,,0.0,0.0,-180144,0.0,-1587,-181731,,2905000.0,-2506766,350.0,3033.0,-672,0.0,400945,155052,499803,654855,654855,,,,,,,,,,,
5534,2014年01月01日至2014年06月30日,,225285,225285,,,901,1589,-6424,16104,-451.0,8856,1049.0,21624.0,,,63848,-50316,0.0,49411,-269,0.0,8257,-2124987,1410,-69894,141800.0,-1980740,,389379,0,74074,-473.0,710,883945,11446.0,1359081,-621659,-600035,-374750,451.0,-115684,-169452,-659435,,,,-366964,52080.0,-685,-315569,,2375000.0,-1343000,336.0,416.0,-672,,1032080,57076,499803,556879,556879,0.0,,,,,,,,,,
5534,2014年01月01日至2014年03月31日,,-28504,-28504,,,641,793,-4557,13641,-75.0,3525,617.0,14585.0,,,-5000,-13450,0.0,47627,-118,0.0,5362,-1411210,-28802,-23997,145456.0,-1284132,,27443,0,-4850,-2412.0,36748,383248,1593.0,441770,-842362,-827777,-856281,75.0,-56602,-15225,-928033,,,,-164827,51980.0,-648,-108458,,2125000.0,-1093000,6.0,0.0,-272,,1031734,-4757,499803,495046,495046,,0.0,5037.0,0.0,,,,,,,
5534,2013年度,,5320844,5320844,,,3337,3364,2381,25864,-8766.0,14387,921.0,,,,-161838,41160,0.0,664731,578,0.0,-1479,-7114034,130915,-161453,-154763.0,-6756183,,126315,0,-227758,6206.0,3467,-1443191,-5925.0,-1540886,-8297069,-8255581,-2934737,8766.0,-116094,-343023,-5866591,,,,-320158,,-1266,-349994,,6805505.0,-1470000,399564.0,,-2441,,5732628,-483957,983760,499803,499803,-28570.0,,,,,41488.0,-2481503.0,,,,
5534,2013年01月01日至2013年12月31日,,5320844,5320844,,,3337,3364,2381,25864,-8766.0,14387,,,,,-161838,41160,,664731,578,,-1479,-7114034,130915,-161453,-154763.0,-6756183,,126315,0,-227758,,3467,-1443191,-5925.0,-1540886,-8297069,-8255581,-2934737,8766.0,-116094,-343023,-5866591,,,0.0,-320158,,-1266,-349994,,6805505.0,-1470000,399564.0,,-2441,,5732628,-483957,983760,499803,499803,-28570.0,,,,,41488.0,-2481503.0,,,921.0,6206.0
5534,2013年01月01日至2013年09月30日,,5090798,5090798,,,2506,2510,7130,7904,-8086.0,13192,630.0,,,,-159905,4450,,712474,581,0.0,2777,-5894237,126868,-283752,0.0,-5490744,,39276,0,-201409,5062.0,16019,-1363471,5590.0,-1498933,-6989677,-6963891,-1873093,8086.0,-66137,-342427,-2273571,,,0.0,-21660,,-1042,-51272,,4819505.0,-480000,0.0,0.0,-2058,-2481503.0,1855944,-468899,983760,514861,514861,-28570.0,,,,,25786.0,,,,,
