證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他非流動資產減少,　　 其他預付款項增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券減少,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 應付租賃款增加,　　 應付租賃款減少,　　 發放現金股利,　　 現金增資,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 其他項目,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 其他非流動資產增加,　　 預付設備款減少,　　　　　 應計退休金負債增加（減少）,　　 存出保證金減少,　　 預付設備款增加
5259,2015年01月01日至2015年09月30日,,               -268711,               -268711,,,                 68737,                 89367,                  5473,                 22505,                   -117,                              0,                              0,                    774,                 14088,                  5125,                   -100,                205852,,,                  6719,                              0,               -141905,                              0,                 -2139,                 -7119,                -11860,                -29201,               -185505,,                              0,                              0,                 -9242,                              0,                 14703,                              0,                -54040,                    121,                -48458,               -233963,                -28111,               -296822,                    117,                -13271,                   -204,               -310180,,                              0,                    138,                -57052,                764665,                  1413,                  3572,                 -5337,                707399,,                422447,               -438380,                              0,                290685,                              0,               -713400,                 45057,                -87891,                              0,                              0,                              0,               -481482,                -84263,                101795,                 17532,                 17532,,,,,,,,
5259,2015年01月01日至2015年06月30日,,                -86717,                -86717,,,                 45075,                    141,,                  8222,                   -100,                              0,                              0,                    774,                  7484,,                   -100,                 61496,,,                  6856,                              0,               -238642,                              0,                 -2463,                -39192,                 -6704,                -16151,               -296296,,                              0,                              0,                199947,                              0,                 15522,                              0,                -59280,                      4,                156193,               -140103,                -78607,               -165324,                    100,                 -8159,                   -204,               -173587,,                              0,                    138,                -34224,                764665,                -10976,                    803,                    182,                720588,,                302131,               -330277,                              0,                291785,,               -713400,                 45057,                -52985,                              0,                              0,                              0,               -457689,                 89312,                101795,                191107,                191107,,,,,,,,
5259,2015年01月01日至2015年03月31日,,                -42756,                -42756,,,                 21648,                    171,,                  5051,                              0,                              0,                              0,,                              0,,                   -100,                 26770,,,                  1456,                              0,                -72436,                              0,                 -1404,                -10597,                 -6418,                    885,                -88514,,                              0,                              0,                 46393,                              0,                 17201,                              0,                -59679,                  5979,                  9894,                -78620,                -51850,                -94606,                              0,                 -5093,                   -204,                -99903,,                              0,,                -16356,                764665,                 -8976,                  2193,                 -4611,                736915,,                124762,               -178029,                              0,,                              0,               -619199,                 22011,                -29641,                              0,                              0,                              0,               -680096,                -43084,                101795,                 58711,                 58711,                              0,,,,,,,
5259,2014年度,,               -196884,               -196884,,,                 91655,                  9112,,                 23072,                   -138,                              0,                              0,                              0,                              0,                 25847,,,,,                  7216,                              0,                -11724,                              0,                  1326,                 63517,                  9361,                  2735,                 72431,,                              0,                              0,                 26001,                              0,                              0,                 -5236,                 60446,                   -213,                 80998,                153429,                302977,                106093,                    138,                -22911,                              0,                 83320,,                -15000,                              0,                -70747,                              0,                -12399,,,               -108056,,                605878,               -444376,                 -9994,,                 60000,               -309125,                 69438,,                              0,                              0,                  4746,                -23433,                -48169,                149964,                101795,                101795,,,                149548,                 -9910,                              0,,,
5259,2014年01月01日至2014年09月30日,,               -117038,               -117038,,,                 68239,                  5488,                              0,                 17635,                    -64,                              0,                              0,                              0,                              0,                              0,                              0,                 91298,,,                  5868,                              0,                -26120,                              0,                   -876,                 65608,                 11090,                -15047,                 40523,,                              0,                              0,                -12528,                              0,                 -3857,                              0,                  1804,                   -161,                -14742,                 25781,                117079,                     41,                     64,                -16848,                              0,                -16743,,                -15000,                              0,                -52050,                              0,                    -19,                    127,                -17882,                -84824,,                517915,               -315563,                 -9994,                              0,                 60000,               -241510,                              0,                              0,                              0,                              0,                  4746,                 15594,                -85973,                149964,                 63991,                 63991,,,,,,,,
5259,2014年01月01日至2014年06月30日,,                -78829,                -78829,,,                 45124,                   -427,,                 11206,                    -63,                              0,                              0,                              0,                              0,,                              0,                 55840,,,                  4436,                              0,                -41581,                              0,                   -901,                 60284,                  9316,                 -1676,                 29878,,                              0,                              0,                -14611,                              0,                 -1667,                              0,                     27,                   -109,                -16360,                 13518,                 69358,                 -9471,                     63,                -11064,                              0,                -20472,,                -15000,                              0,                -38478,                              0,                    300,                    477,                -18835,                -71536,,                295993,               -142864,                 -9994,                              0,,               -122749,                              0,                              0,                              0,                              0,                  4746,                 25132,                -66876,                149964,                 83088,                 83088,,,,,,,,
5259,2014年01月01日至2014年03月31日,,                -39449,                -39449,,,                 22377,                   -617,,                  5456,                     -7,                              0,                              0,,                              0,,                              0,                 27209,,,                  2317,                              0,                 11889,                              0,                   -683,                 17088,                  4808,                -12844,                 22575,,                  3413,                              0,                -21868,                              0,                 -7045,                              0,                   -279,                    -55,                -25834,                 -3259,                 23950,                -15499,                      7,                 -5456,                              0,                -20948,,                -15000,,                -37900,                              0,                              0,                  1867,                 -1929,                -52962,,                129155,                -53905,                 -9994,,                              0,                -61526,                              0,                              0,                              0,                              0,                              0,                  3730,                -70180,                149964,                 79784,                 79784,                              0,,,,,,,
5259,2013年度,,                -77165,                -77165,,,                 67145,                    687,,                 14321,                   -206,                  1436,                    740,                    823,                  1775,                              0,,,,,                103679,                              0,                 88209,                     91,                  2602,                -52825,                 -6040,                  6101,                141817,,                    -62,                              0,                -12475,                 -1227,                              0,                -12181,                     59,                   -384,                -26270,                115547,                202268,                125103,                    206,                -21067,                -12367,                 91875,,                 -6150,                  5327,               -602676,                     80,                    205,,,               -407901,,                464685,               -589464,                -20006,,                473000,                -63907,                              0,,                -12949,                100950,                  5694,                358003,                 41977,                107987,                149964,                149964,,,                 86721,                  6127,                189186,,,
5259,2013年01月01日至2013年12月31日,,                -77165,                -77165,,,                 67145,                    687,,                 14321,                   -206,                  1436,                    740,                    823,                  1775,,,,,,                103679,                              0,                 88209,                     91,                  2602,                -52825,                 -6040,                  6101,                141817,,                    -62,                              0,                -12475,                 -1227,                -11859,                   -322,                     59,,                -26270,                115547,                202268,                125103,                    206,                -21067,                -12367,                 91875,,                 -6150,                  5327,               -602676,                     80,                    205,,,               -407901,,                464685,               -589464,                -20006,,                473000,                -63907,,,                -12949,                100950,                  5694,                358003,                 41977,                107987,                149964,                149964,,,                 86721,                  6127,                189186,                   -384,,
5259,2013年01月01日至2013年09月30日,,                -21914,                -21914,,,                 46217,                    594,,                  8837,                   -104,                  1321,                    740,,                  1775,,,,,,                 91729,                              0,                -32891,                     91,                   -349,                -46121,                 -6389,                 -1932,                  4138,,                    -23,                              0,                  9614,                 -1227,                              0,                  7697,                    -32,,                 15709,                 19847,                 79227,                 57313,                    104,                 -8730,                -12377,                 36310,,                              0,,               -578344,                     80,                    205,,,               -388146,,                402872,               -450171,                    -24,,                423000,                -48732,,,                              0,,                  5694,                332639,                -19197,                107987,                 88790,                 88790,,,                 59380,                    727,                189186,                   -320,,
