證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 備供出售金融資產之淨損失（利益）,　　　　 無活絡市場之債務工具投資損益之淨損失（利益）,　　　　 利息收入,　　　　 股利收入,　　　　 各項保險負債淨變動,　　　　 處分投資性不動產損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 其他應收款（增加）減少,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 再保險合約資產（增加）減少,　　　　　 其他資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得透過損益按公允價值衡量之金融資產,　　 處分透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 無活絡市場之債務工具投資到期還本,　　 取得不動產及設備,　　 處分不動產及設備,　　 取得無形資產,　　 取得投資性不動產,　　 其他金融資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 無活絡市場之債券投資損益之淨損失（利益）,　　　　 處分及報廢不動產及設備損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 無活絡市場之債務商品投資到期還本,　　　　 其他各項負債準備淨變動,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　　 應收票據（增加）減少,　　　　　 應付再保往來款項增加（減少）
2851,2015年01月01日至2015年09月30日,,                710848,                710848,,,                  6750,                  1092,                 53609,                -48302,                -19323,               -290136,                -58662,               -236073,                              0,                -47850,               -638895,,,                254086,                295808,                -31575,                -28929,                489390,,               -117586,                   -148,                -20083,               -137817,                351573,               -287322,                423526,                287161,                 56979,               -164874,                602792,,                 -8040,                  8012,            -13232188,             14089930,             -1972921,                521238,                 -4629,                              0,                   -313,                   -289,                -58977,               -658177,,               -674730,               -674730,                -44122,               -774237,             18430910,             17656673,             17656673,,,,,,,,,,,,
2851,2015年01月01日至2015年06月30日,,                636130,                636130,,,                  4519,                    783,                 -3356,               -173000,                -19323,               -215706,                -21060,               -457022,,                 70106,               -814059,,,                 48814,                273656,                 18906,                -37712,                303664,,                 35087,                   -103,                 -1927,                 33057,                336721,               -477338,                158792,                204568,                 13399,               -152607,                224152,,                 -8040,                  8012,             -8695668,              7880070,             -1315018,                473339,                 -2258,,                   -313,                              0,                  5391,             -1654485,,,,                -15129,             -1445462,             18430910,             16985448,             16985448,,,,,,,,,,,,
2851,2015年01月01日至2015年03月31日,,                365098,                365098,,,                  2265,                    387,                -76377,               -102175,                -19323,                -72034,                 -3063,               -310659,,                 52498,               -528481,,,                -37678,                -12487,                -48377,                 35549,                -62993,,                123184,                    -59,                 -7001,                116124,                 53131,               -475350,               -110252,                 56427,                  2956,                 -4210,                -55079,,                 -3015,,             -3815428,              3020136,               -206456,                423249,                 -2241,,                   -313,                              0,                262000,               -322068,,,,                -22795,               -399942,             18430910,             18030968,             18030968,,,,,,,,,,,,
2851,2014年度,,              1001011,              1001011,,,                  8046,                  1350,                 57549,                    216,,               -332334,               -105481,                246829,,               -101928,,,,               -215876,                 13470,                 52783,                 -5650,               -155273,,                184139,                   -751,                  5968,                189356,                 34083,               -191685,                809326,                336729,                104792,                -55690,              1195157,,                -20506,                 18516,            -11546277,             11924846,,,                -16189,                     15,                   -739,                 -2113,               -276736,                233252,,               -674730,               -674730,                  3344,                757023,             17673887,             18430910,             18430910,,                              0,                    -15,               -225768,               -117118,                              0,                269553,,,,,
2851,2014年01月01日至2014年09月30日,,                806109,                806109,,,                  5834,                    971,                 70408,                -42072,                              0,               -249898,                -94380,                237810,                    -15,                 -6384,                -77726,,,               -436442,                 27069,               -246016,                  5430,               -649959,,                 34733,                   -563,                 27431,                 61601,               -588358,               -666084,                140025,                258148,                 87640,                -48666,                437147,,                -17000,                 12784,             -7871773,              8472329,                -11855,                244591,                -14819,                     15,                              0,                 -2113,               -294136,                518023,,               -674730,               -674730,                 -3478,                276962,             17673887,             17950849,             17950849,,,,,,,,,,,,
2851,2014年01月01日至2014年06月30日,,                520480,                520480,,,                  3725,                    647,                -51676,                -20938,                              0,               -176672,                -30172,                170641,,                 61216,                -43229,,,               -170589,                -63233,               -471605,                 -6442,               -711869,,                 61285,                   -377,                 21186,                 82094,               -629775,               -673004,               -152524,                169950,                 22603,                -39156,                    873,,                              0,                              0,             -4740083,              4070150,                 -8933,                230426,                 -5253,,                              0,                 -1528,               -182140,               -637361,,,,                -21192,               -657680,             17673887,             17016207,             17016207,,,,,,,,,,,,
2851,2014年01月01日至2014年03月31日,,                262389,                262389,,,                  1854,                    324,                -29894,                 -1119,                              0,                -76420,                -21110,                141619,,                 -9430,                  5824,,,                -46475,                -16945,               -252113,                 -6123,               -321656,,                161569,                   -188,                 14279,                175660,               -145996,               -140172,                122217,                 58102,                 19689,                 -4663,                195345,,                              0,,             -2281414,              2039234,                 -5196,                 34266,                 -5174,,                              0,                 -1528,               -262000,               -481812,,,,                  1700,               -284767,             17673887,             17389120,             17389120,,,,,,,,,,,,
2851,2013年度,,                944800,                944800,,,                  7036,                  1296,               -118778,                201674,,               -313718,                -74432,                413183,,               -119445,,,,                167829,                541080,               -507813,                 72499,                273595,,               -459114,                   -803,                    358,               -459559,               -185964,               -460582,                484218,                303269,                 75754,               -129902,                733339,,                              0,                642027,             -8523215,              9540085,,,                 -1436,                              0,                              0,                 -1953,               -247560,                191102,,               -275625,               -275625,                 16889,                665705,             17008182,             17673887,             17673887,,               -271434,                              0,               -274618,             -2302298,                500362,                585090,,,,,
2851,2013年01月01日至2013年12月31日,,                944800,                944800,,,                  7036,                  1296,               -118778,                201674,,               -313718,                -74432,,,               -119048,,,,                167829,                540683,               -507813,                 72499,                273198,,               -459114,                   -803,                    358,               -459559,               -186361,               -460582,                484218,                303269,                 75754,               -129902,                733339,,                              0,                642027,             -8523215,              9540085,,,                 -1436,,                              0,                 -1953,               -247560,                191102,,               -275625,               -275625,                 16889,                665705,             17008182,             17673887,             17673887,,               -271434,,               -274221,             -2302298,                500362,                585090,                413183,                              0,,,
2851,2013年01月01日至2013年09月30日,,                860594,                860594,,,                  5262,                    972,                -85640,                 12535,,               -232713,                -68998,                348809,,                -57545,,,,                218684,                397204,               -617242,                 52381,                 51027,,               -388816,                              0,                 -1602,               -390418,               -339391,               -688143,                172451,                214497,                 65596,               -121764,                330780,,                              0,                642027,             -6013909,              6655945,,,                 -1183,                              0,,                 -1953,               -124700,                135572,,               -275625,               -275625,                 -6853,                183874,             17008182,             17192056,             17192056,,               -271434,                              0,               -348752,             -2056802,                500362,                535785,,,,,
