證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分待出售非流動資產損失（利益）,　　 其他非流動資產減少,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損損失,　　　　 買回應付公司債損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　 取得投資性不動產,　　 償還公司債,　　 存入保證金增加,　　 庫藏股票買回成本,　　　　 股份基礎給付酬勞成本,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分投資性不動產,　　 員工購買庫藏股,　　　　　 其他應收款－關係人（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 預付設備款增加,　　 其他非流動負債減少,　　　　 其他項目,　　　　　 其他應付款－關係人增加（減少）
5469,2015年01月01日至2015年09月30日,,                362919,                362919,,,              1942548,                 27383,                -28570,               -108018,                371178,               -311002,                -16835,                 -1506,                -71680,                -18563,                -14033,              1770902,,,             -2387711,                -26104,              2171311,                -29377,                127310,               -344272,                 -9482,               -784210,             -1282535,,                  9364,               -735993,                -23791,               -503854,                 49865,                 -1105,             -1205514,             -2488049,               -717147,               -354228,                236192,               -370046,               -109870,               -597952,,             -4733194,              6582805,               -181837,                    960,                -10862,                484310,               -760496,                 80508,                              0,                 30252,                 -2130,                              0,              4312469,               -303385,                 23510,              5522910,,                              0,             -3246086,                445762,                              0,              2601824,             -2594316,                -54318,               -270262,                 -7386,             -3124782,                384578,              2184754,              8071906,             10256660,             10256660,,,,,,,,,,,,,,,,,,,,,
5469,2015年01月01日至2015年06月30日,,                 49908,                 49908,,,              1306822,                 17408,                -28707,               -102550,                253738,               -214554,                              0,                   -136,                -16096,                 -4761,                -12680,              1149225,,,             -1667976,                -23635,              3498622,                  1491,                 77555,               -172982,                -21722,               -694181,                997172,,                -10966,             -1202886,                -21782,               -711508,                 -1980,                     -3,             -1949125,               -951953,                197272,                247180,                147128,               -252868,               -100256,                 41184,,             -3567899,              3789362,               -124721,                    960,                -10862,                484310,               -486145,                 32446,                              0,                  3499,                 -1582,                              0,              5319251,               -139438,                              0,              5299181,,                              0,             -3102014,                447722,,              1648541,             -1317391,                -52942,,                              0,             -2376084,               -329635,              2634646,              8071906,             10706552,             10706552,                -49259,,,,,,,,,,,,,,,,,,,,
5469,2015年01月01日至2015年03月31日,,               -120536,               -120536,,,                666468,                  8744,                 23150,                -49340,                134900,               -117839,,                 -2818,                    496,                 -1178,                 -7621,                654962,,,               -421928,                -12288,              2185691,                  2053,                 78009,               -437375,                 34516,                 25641,              1454319,,               -100441,               -506654,                -23105,               -381756,                -48610,                              0,             -1060566,                393753,              1048715,                928179,                 62316,               -133219,                -37616,                819660,,             -2282342,              1331221,                -71583,                    960,                -10862,,               -295293,                  2487,                              0,                    712,                   -662,                              0,              5225299,                -83230,,              3816707,,                              0,             -1607257,,,              1665593,               -702485,                -35658,,,               -679807,               -139025,              3817535,              8071906,             11889441,             11889441,,                              0,,,,,,,,,,,,,,,,,,,
5469,2014年度,,                914104,                914104,,,              2783779,                 36257,                -10641,                -84775,                599289,               -649215,                 -2182,                -33909,                 -9869,                              0,,,,,                -69571,                  1879,               -723891,                 98654,                151652,                470123,                -60278,             -1157475,             -1288907,,                  4758,             -1476258,                 -2167,                 91026,                 84061,                    234,             -1298346,             -2587253,                 62690,                976794,                621029,               -606499,               -127895,                863429,,             -5774486,              3420924,               -151586,,               -110824,,             -1080624,                424316,                -37481,                              0,                 -1023,             -4847165,,               -528382,                  2182,             -8684149,,              1969209,,,,              3585200,             -5611752,                -22915,                              0,                951776,                871518,                864237,             -6084965,             14156871,              8071906,              8071906,,,,                 21209,                              0,              2649943,                              0,                              0,                              0,                              0,,,,,,,,,,,
5469,2014年01月01日至2014年09月30日,,                655465,                655465,,,              2126822,                 27057,                  1841,                -35306,                452593,               -517198,                 -2105,                -27324,                -11888,                              0,                -19209,              1995283,,,               -371172,                 -3746,               -925246,                 77417,                290847,                -76857,                -65358,               -784183,             -1858298,,                100055,               -374704,                    751,               -144360,                136448,                    543,               -281267,             -2139565,               -144282,                511183,                478838,               -436579,               -106951,                446491,,             -2495910,                332091,               -151588,                              0,                -10343,                              0,               -921808,                 59562,                -35868,                              0,                   -958,             -3354694,                              0,               -353460,                  2105,             -6930871,,              3037751,                              0,                              0,                              0,              3350390,             -4067361,                -14849,                              0,                468710,              2774641,                -21304,             -3731043,             14156871,             10425828,             10425828,,,,,,,,,,,,,,,,,,,,,
5469,2014年01月01日至2014年06月30日,,                272455,                272455,,,              1448594,                 18420,                 -2706,                -11148,                302856,               -348799,                   -655,                -21721,                -23090,                              0,                -17343,              1344408,,,               -423990,                -20058,                137293,                 43413,                176695,                129455,                  3260,                 66160,                112228,,               -113449,               -984097,                -15520,               -391109,                 29207,                    540,             -1474428,             -1362200,                -17792,                254663,                312235,               -286793,                -71549,                208556,,                              0,                              0,               -151587,                              0,                -10343,                              0,               -774931,                 44433,                -32757,                              0,                 -1399,             -5211188,                              0,               -181532,                    655,             -6318649,,                150533,                              0,                              0,,              4149183,             -3364844,                   -535,,                  2715,                937052,               -147093,             -5320134,             14156871,              8836737,              8836737,                              0,,,,,,,,,,,,,,,,,,,,
5469,2014年01月01日至2014年03月31日,,                 46314,                 46314,,,                756025,                  8631,                   -562,                 -4067,                147591,               -164985,,                -17854,                -25678,                              0,                 -7643,                691458,,,                  9461,                -14312,              1163568,                 49884,                162385,                359890,                 75944,                 40457,              1847277,,                -84675,             -1417615,                -24241,               -352070,                 15400,                    223,             -1862978,                -15701,                675757,                722071,                137883,               -137315,                -22809,                699830,,                              0,                              0,                -29903,                              0,                -10343,,               -391238,                 41005,                -35895,                              0,                   -845,             -5283227,                              0,                              0,,             -5708392,,                459929,                              0,,,              2210451,             -2183221,                 -5751,,,                481408,                 49799,             -4477355,             14156871,              9679516,              9679516,,                  2054,,,,,,,,,,,,,,,,,,,
5469,2013年度,,               -219298,               -219298,,,              3129157,                 32481,                 39683,                -24019,                504766,               -418534,                 -1491,                -20925,                 16084,                 -1297,,,,,                -53687,                 15299,               -709108,                120563,                 30187,               -172528,                310648,               -126137,               -584763,,               -122778,              1599852,                 14595,                242779,                 49395,                   -110,              1783733,              1198970,              4802602,              4583304,                455175,               -483417,               -340751,              4214311,,                              0,                              0,                              0,,                -24932,,               -953243,                 41725,                              0,                  4169,                -10688,             -2127634,,               -554074,                  1491,             -3623253,,                631131,,,,              4397291,             -1863935,                              0,               -182174,                              0,              1351798,                306437,              2249293,             11907578,             14156871,             14156871,,,,                289976,                 57751,              3603632,                    -67,             -1600000,                 37998,                -68513,,,,,,,,,,,
5469,2013年01月01日至2013年12月31日,,               -219298,               -219298,,,              3129157,                 32481,                 39683,                -24019,                504766,               -418534,                 -1491,                -20925,                 16084,                 -1297,                              0,,,,                -53687,                 15299,               -709108,                120563,                 30187,               -172528,                310648,               -126137,               -584763,,               -122778,              1599852,                 14595,                242779,                 49395,                   -110,              1783733,              1198970,              4802602,              4583304,                455175,               -483417,               -340751,              4214311,,,,                              0,,                -24932,,               -953243,                 41725,                              0,                  4169,                -10688,             -2127634,                              0,               -554074,                  1491,             -3623253,,                631131,                              0,,,              4397291,             -1863935,,               -182174,                              0,              1351798,                306437,              2249293,             11907578,             14156871,             14156871,,,,                289976,                 57751,              3603632,                    -67,             -1600000,                 37998,                -68513,                              0,                              0,                              0,                              0,                              0,,,,,,
5469,2013年01月01日至2013年09月30日,,               -136167,               -136167,,,              2371423,                 24238,                 51645,                -21051,                368259,               -288200,                 -1491,                 -7332,                  5408,                 -1297,                              0,,,,                              0,                 10623,             -1125473,                132744,               -129692,               -311864,                178193,                 69951,             -1175518,,                -55118,              1199455,                 11269,                -43495,                 -1150,                  1749,              1112710,                -62808,              2494745,              2358578,                291153,               -348183,               -216918,              2084630,,                -61356,                 22437,                              0,,                -17807,,               -695980,                 33527,                              0,                 20540,                 -2342,             -3631096,,               -402840,                  1491,             -4733493,,                129589,,,,              5443595,             -2711595,                 -5611,               -182174,                133422,              1792113,                -68846,               -925596,             11907578,             10981982,             10981982,,,,,                 55951,              2557553,                    -67,               -946600,,                -68513,,,,,,,,,,,
