證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 取得不動產、廠房及設備,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 取得以成本衡量之金融資產,　　 處分不動產、廠房及設備,　　 發放現金股利,　　 短期借款增加,　　　　 呆帳費用提列（轉列收入）數,　　　　 不動產、廠房及設備轉列費用數,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 透過其他綜合損益按公允價值衡量之金融資產減資退回股款,　　 處分備供出售金融資產,　　 取得投資性不動產,　　 應付短期票券增加,　　　　　 應收帳款－關係人（增加）減少
2015,2015年01月01日至2015年06月30日,,              1227619,              1227619,,,                490117,                    803,                  7607,                  1195,                 -5608,                -60229,                    817,                434702,,,                  1331,                646774,                  4327,                217611,                 38443,                    -66,                908420,,                    550,               -240095,               -177355,                  4175,               -412725,                495695,                930397,              2158016,                  5608,                 -1297,               -170540,              1991787,,                              0,               -519163,                 37428,               -481735,,               -443323,               -443323,                              0,              1066729,              2043764,              3110493,              3110493,,,,,,,,,,,,,,,,,
2015,2015年01月01日至2015年03月31日,,                563161,                563161,,,                208799,                    402,                    918,                    652,                 -1811,                -28459,                              0,                180501,,,                 -1135,                162495,                  1984,                283793,                 39784,                    -66,                486855,,                     65,               -332156,               -120799,                 -1234,               -454124,                 32731,                213232,                776393,                  1811,                   -698,                   -162,                777344,,                              0,               -197862,                -10185,               -208047,,                 56386,                 56386,                              0,                625683,              2043764,              2669447,              2669447,,,,,,,,,,,,,,,,,
2015,2014年度,,              1980234,              1980234,,,                859363,                  1607,                   -231,                  2895,                 -6522,               -106689,                 25256,,,,                 37752,               -702799,                    287,                922384,                 56651,                 18719,                333132,,                 -2035,               -328840,               -128693,,               -449381,               -116249,                659292,              2639526,                  6522,                 -2895,               -333368,              2309785,,               -189896,               -850046,               -181544,             -1293486,,                282670,             -1462129,,               -445830,              2489594,              2043764,              2043764,,                   -138,                775541,                    138,                 10187,                -72000,                              0,             -1744799,,,,,,,,,
2015,2014年01月01日至2014年09月30日,,              1395816,              1395816,,,                653697,                  1205,                  2913,                  2106,                 -5088,                -74353,                 20692,,,,                 11100,               -241901,                -12987,                -52148,                -16660,                 19305,               -293291,,                   -772,                -75991,               -380128,,               -453086,               -746377,               -145205,              1250611,                  5088,                 -2125,               -333231,                920343,,               -189897,               -462200,               -384456,             -1036553,,,               -951729,                              0,             -1067939,              2489594,              1421655,              1421655,,                              0,                601172,                              0,                  3805,                              0,                              0,             -1744799,                793070,,,,,,,,
2015,2014年01月01日至2014年06月30日,,                948276,                948276,,,                441187,                    803,                  1132,                  1346,                 -3811,                -43472,                  5989,                403174,,,                 11912,               -636484,                 -8077,                391785,                 47896,                 19305,               -173663,,                    826,               -136627,               -286798,                  6979,               -415620,               -589283,               -186109,                762167,                  3811,                 -1418,               -189644,                574916,,               -189897,               -216458,               -105642,               -511997,,                 98993,                 98993,                              0,                161912,              2489594,              2651506,              2651506,,,,,,,,,,,,,,,,,
2015,2014年01月01日至2014年03月31日,,                446414,                446414,,,                223052,                    402,                  1841,                    677,                 -1494,                -31440,                    576,                193614,,,                 25760,               -596271,                -32098,                239336,                 37603,                 -3084,               -328754,,                  1176,               -349116,               -259776,                  5448,               -602268,               -931022,               -737408,               -290994,                  1494,                   -751,                   -182,               -290433,,               -189897,               -139605,                -10870,               -340372,,                -52145,                -52145,                              0,               -682950,              2489594,              1806644,              1806644,,,,,,,,,,,,,,,,,
2015,2013年度,,              1728883,              1728883,,,              1027272,                  2007,                -20812,                  2647,                 -8857,                -14138,                  2137,,,,                 -2206,               -205968,                  3799,               -341512,                -56753,                 -2708,               -525749,,                 -4137,                468232,               -281474,,                203552,               -322197,                661934,              2390817,                  8857,                 -2694,               -164617,              2232363,,               -200066,               -391242,                 -9373,               -617494,,               -713940,             -2167938,,               -553069,              3042663,              2489594,              2489594,,                 -6125,                984131,                 79599,                 20931,                -18000,                  1187,             -1453998,,,,,,,,,
2015,2013年01月01日至2013年12月31日,,              1728883,              1728883,,,              1027272,                  2007,                -20812,                  2647,                 -8857,                -14138,                  2137,,,,                 -2206,               -205968,                  3799,               -341512,                 -4677,                 -2708,               -473673,,                 -4137,                468232,               -281474,,                198304,               -275369,                708762,              2437645,                  8857,                 -2694,               -159369,              2284439,,,               -443318,                 -9373,               -669570,,               -713940,             -2167938,,               -553069,              3042663,              2489594,              2489594,,                 -6125,                984131,                 79599,                 15683,                -18000,                  1187,             -1453998,,,,,               -200066,                              0,                              0,,
2015,2013年01月01日至2013年09月30日,,              1203032,              1203032,,,                792314,                  1605,                -24900,                  1975,                 -5758,                -21411,                  3384,,,,                 12735,                114767,                  6312,               -127648,                 22930,                 -2709,                 76960,,                     26,                149919,               -141654,,                 23929,                100889,                847775,              2050807,                  5758,                 -2038,               -164305,              1890222,,               -200066,               -251504,                -24431,               -493876,,,             -1998610,                              0,               -602264,              3042663,              2440399,              2440399,,                   -323,                746886,                 50573,                 15638,                -18000,                    125,             -1453998,               -544612,,,,,,,,
2015,2013年01月01日至2013年06月30日,,                814950,                814950,,,                548465,                  1203,,                  1474,                 -4085,                -22869,,,,,                 14467,               -167102,                  2700,               -837305,                -22648,                 -4637,             -1014525,,                 -3544,                -56299,               -394135,,               -443011,             -1457536,               -947237,               -132287,                  4085,                 -1512,                -67018,               -196732,,                              0,               -117853,                -21430,               -139158,,               -716012,               -716012,                              0,             -1051902,              3042663,              1990761,              1990761,,,                510299,,                 10967,,                    125,,,                -18435,                  4546,                              0,,,,,
