證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 發放現金股利,　　 庫藏股票買回成本,　　 員工購買庫藏股,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 應付帳款－關係人增加（減少）,　　 預付設備款增加,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 收取之股利,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 持有至到期日金融資產到期還本,　　 以成本衡量之金融資產減資退回股款,　　　　　 其他營業資產（增加）減少,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 按攤銷後成本衡量之金融資產到期還本,　　　　 股利收入,　　　　 金融資產減損迴轉利益,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分備供出售金融資產,　　 處分以成本衡量之金融資產,　　 處分不動產、廠房及設備,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 非金融資產減損迴轉利益,　　 取得按攤銷後成本衡量之金融資產
2397,2015年01月01日至2015年09月30日,,                354857,                354857,,,                 15432,                  2366,                  2661,                  3542,                              0,                 -4493,                  2069,                              0,                 23862,                -17390,                              0,                 28049,,,                416238,                     -1,                -41678,                -93059,                     53,                -19115,                 -2206,                 -1965,                258267,,                 -5387,                 -6060,                -45559,                 -4870,                  3019,                 -2634,                  1140,                -60351,                197916,                225965,                580822,                  4212,                              0,                -89776,                495258,,                -16556,               -340798,                              0,                  1020,                 -1328,                 -3667,                              0,               -361329,,               -295897,                              0,                 57079,               -238818,                 18847,                -86042,                841901,                755859,                755859,,,,,,,,,,,,,,,,,,,,,,,,
2397,2015年01月01日至2015年06月30日,,                208227,                208227,,,                  9821,                  1549,                     37,                 -3945,                              0,                 -3360,                  2069,                              0,                 30819,                  7285,,                 44275,,,                156237,                  1748,                -76402,               -127933,                 -7372,               -118357,                 -3881,                   -613,               -176573,,                  1077,                 45313,                 32810,                 -2113,                  1955,                 26095,                    750,                105887,                -70686,                -26411,                181816,                  3152,                              0,                -49670,                135298,,                -30946,               -322783,,                    487,                 -1325,,                              0,               -354567,,,,                 57079,                 57079,                -18861,               -181051,                841901,                660850,                660850,                              0,,,,,,,,,,,,,,,,,,,,,,,
2397,2015年01月01日至2015年03月31日,,                 92779,                 92779,,,                  4141,                    773,                     19,                 -1962,                              0,                 -1393,,,,                  5129,                 10446,                 17153,,,                276237,                  1747,                -23475,                -13914,                 -1606,                -67464,                 -9577,                 -7319,                154629,,                              0,                  7560,                 51294,                -10951,                    776,                 23362,                    382,                 72423,                227052,                244205,                336984,                  1252,                              0,                -12865,                325371,,                -31311,                 -1463,                     -6,,                   -754,,                              0,               -330112,,,,                 57252,                 57252,                -11663,                 40848,                841901,                882749,                882749,                              0,               -296578,,,,,,,,,,,,,,,,,,,,,,
2397,2014年度,,                420201,                420201,,,                 16162,                  2901,                     73,                 -1144,                    284,                 -5774,,                     37,,                 -1649,                 15338,,,,                133736,                 -1748,                -81435,                101357,                    910,                -12063,                   -612,                    949,                141094,,                 -2379,                  1181,                 -4996,                 22090,                  4874,                  4008,,                 17269,                158363,                188569,                608770,                  5555,                   -284,                -60436,                553605,,,                 -8848,                  1330,,                 -3816,,                    934,               -127095,,               -206712,                -62601,,               -269313,                 -9181,                148016,                693885,                841901,                841901,                              0,               -116640,,                  3978,                 30206,                 -7509,                              0,                              0,                    -55,                              0,                              0,                              0,,,,,,,,,,,,
2397,2014年01月01日至2014年09月30日,,                292835,                292835,,,                 12022,                  2066,                     55,                   -694,                    217,                 -4543,                              0,                     24,                  6493,                 -2217,                    -80,                 13343,,,                120737,                              0,                -94699,                 94029,                  3008,                -29174,                  2359,                 -2799,                 93461,,                   -242,                 -3306,                -26213,                 -1177,                  3626,                   -533,                 -7915,                -35760,                 57701,                 71044,                363879,                  4026,                   -217,                -56069,                311619,,                    -55,                -27863,                   -207,                              0,                 -1205,                              0,                    591,                -28739,,               -206712,                 -9413,                              0,               -216125,                 -4631,                 62124,                693885,                756009,                756009,,,,,,,,,,,,,,,,,,,,,,,,
2397,2014年01月01日至2014年06月30日,,                181288,                181288,,,                  7986,                  1360,                     36,                    199,                    154,                 -3394,                              0,                     24,                  5265,                  1053,,                 12683,,,                -60000,                    -89,                -29055,                -12007,                   -112,                -39721,                  4803,                   -815,               -136996,,                   -474,                 25988,                -76437,                 -2156,                  2520,                    179,                 -8315,                -58677,               -195673,               -182990,                 -1702,                  3061,                   -154,                -32836,                -31631,,                    -55,                 -3653,,                  1414,                    -27,,                    934,                 -1387,,,,                              0,                              0,                  2583,                -30435,                693885,                663450,                663450,                     18,,,,,,,,,,,,,,,,,,,,,,,
2397,2014年01月01日至2014年03月31日,,                 91173,                 91173,,,                  4037,                    678,                     18,                  3438,                     82,                 -1030,,,,                 -5141,                  2311,                  4393,,,                -35000,                              0,                -11826,                 14614,                  1540,                -40802,                 -9556,                   -679,                -81709,,                 -1782,                  5739,                 -9798,                 -9083,                  1531,                 20312,                 -8704,                   -995,                -82704,                -78311,                 12862,                    954,                    -82,                 -3798,                  9936,,                    -55,                 -1813,                              0,,                    -23,,                    934,                   -957,,,,                              0,                              0,                  6567,                 15546,                693885,                709431,                709431,                    790,                              0,,,,,,,,,,,,,,,,,,,,,,
2397,2013年度,,                310826,                310826,,,                 15357,                  3736,                    -18,                -10844,                    257,                 -6349,,                              0,,                -14370,                  5237,,,,               -280001,                    136,                  7543,                -64487,                 -2553,               -121392,                    477,                 -1338,               -461615,,                 -1244,                 -4964,                 63564,                 10470,                  4365,                   -188,,                 72248,               -389367,               -396361,                -85535,                  6445,                   -257,                -49670,               -120519,,,                -15918,                 -1651,,                   -657,,                    820,                271213,,               -172260,                              0,,               -172260,                  9299,                -12267,                706152,                693885,                693885,                 -1029,                              0,,                              0,                 -6994,                  1274,                  8498,                 13928,                              0,                 72259,                200000,                  2432,,,,,,,,,,,,
2397,2013年01月01日至2013年12月31日,,                310826,                310826,,,                 15357,                  3736,                    -18,                -10844,                    257,                 -6349,,                              0,,                -14370,                  5237,,,,               -280001,                    136,                  7543,                -64487,                 -2553,               -121392,                    477,                 -1338,               -460795,,                 -1244,                 -4964,                 63564,                 10470,                  4365,                   -188,,                 72248,               -388547,               -395541,                -84715,                  6445,                   -257,                -49670,               -119699,,,                -15918,                 -1651,,                   -657,,,                270393,,               -172260,,,               -172260,                  9299,                -12267,                706152,                693885,                693885,                 -1029,,,                              0,                 -6994,                  1274,                  8498,,                              0,                 72259,                200000,,                    820,                 13928,,                              0,                              0,                              0,                              0,                  2432,                              0,                              0,,
2397,2013年01月01日至2013年09月30日,,                235328,                235328,,,                 11381,                  3057,                    -36,                 -9402,                    180,                 -5183,,                              0,,                 -2631,                 10548,,,,               -157509,                 -1277,                 31027,               -176724,                 -6847,                -42768,                  5098,                 -3576,               -352576,,                  5071,                 -4087,                 22262,                 -8389,,                  4616,,                 19454,               -333122,               -325208,                -89880,                  4403,                   -180,                -48779,               -125938,,,                -11739,                 -1341,,                   -657,,                 -1476,                203274,,               -172260,                              0,,               -172260,                 -1973,                -96897,                706152,                609255,                609255,                   -974,                              0,,,                  7914,                    955,                  8498,                 13928,                              0,                  4559,                200000,,,,,,,,,,,,,
