證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還公司債,　　 償還長期借款,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他投資活動,　　　　 其他項目,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 其他營業負債增加（減少）,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得採用權益法之投資,　　 取得無形資產,　　 處分備供出售金融資產,　　 其他非流動資產增加,　　　　　 預付費用（增加）減少,　　　　　 其他應付款增加（減少）,　　　　 處分無形資產損失（利益）,　　 處分採用權益法之投資,　　 舉借長期借款,　　 其他籌資活動,　　　　 呆帳費用提列（轉列收入）數,　　　　　 應收票據（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 應付票據增加（減少）,　　　　 金融資產減損損失
8103,2015年01月01日至2015年09月30日,,                149953,                149953,,,                101602,                    281,                  6935,                  6056,                -17894,                 -2390,                    578,                    722,                  2256,                 -2782,                 95364,,,                310904,                 -1617,                   -155,                 -1690,                 -4081,                 -6839,                296522,,               -122347,                -14866,                  1108,               -136105,                160417,                255781,                405734,                 17894,                  2390,                 -5712,                -54178,                366128,,               -120576,                 21812,                -12754,                -20683,               -132201,,                938629,               -563471,                   -600,                 -5454,               -229714,                 -1072,                138318,                 -1998,                370247,              1140417,              1510664,              1510664,,,,,,,,,,,,,,,,,,,,,,
8103,2015年01月01日至2015年06月30日,,                175205,                175205,,,                 67535,                    188,                  1820,                  4129,                -11585,,                    226,                    238,                  1845,                 -4578,                 59818,,,                131413,                   -836,                   -522,                  5202,                -71105,                    978,                 65130,,                -60286,                  8480,                    738,                -51068,                 14062,                 73880,                249085,                 11585,,                 -3785,                -38699,                218186,,                -50309,                 12222,                 -3240,                -12357,                -53684,,,                -70425,                   -600,                 -3627,,,                -74652,                -42393,                 47457,              1140417,              1187874,              1187874,                              0,,,,,,,,,,,,,,,,,,,,,
8103,2015年01月01日至2015年03月31日,,                 85833,                 85833,,,                 33824,                     94,                   -182,                  2016,                 -4227,,                    133,                    243,,,                 30188,,,                 72374,                    333,                  1477,                -10994,                -74533,,                 -6314,,                -31308,                 -6968,                   -673,                -38949,                -45263,                -15075,                 70758,                  4227,,                 -1792,                -21072,                 52121,,                -25253,                  7123,                 -3283,                 -7668,                -29081,,                 29969,                              0,,                 -1809,,,                 28160,                 -9607,                 41593,              1140417,              1182010,              1182010,,                 -1713,                  5029,                              0,,,,,,,,,,,,,,,,,,
8103,2014年度,,                508495,                508495,,,                125285,                    389,                   -824,                  7369,                -20457,,                    850,                  1129,                    478,,,,,               -282485,                    700,                  9945,                -44924,                 -1564,,               -315256,,                 35833,                 13195,,                 50672,               -264584,               -154952,                353543,                 20457,,                 -5455,                -96720,                271825,,               -150026,                 25411,                 -5746,               -131610,               -261971,,                182308,,,                 -7133,               -135344,,                 39831,                 32149,                 81834,              1058583,              1140417,              1140417,,                 -4587,                  3072,,,                109632,                  1644,                              0,                              0,,,,,,,,,,,,,
8103,2014年01月01日至2014年09月30日,,                383870,                383870,,,                 90633,                    295,                 -1767,                  5289,                -16823,                 -2040,                    668,                    999,                    456,                              0,                 77710,,,               -263911,                   -549,                  4949,                -54987,                  2977,                  5829,               -305692,,                 52630,                  3342,                    510,                 56482,               -249210,               -171500,                212370,                 16823,                  2040,                 -3753,                -75286,                152194,,                -82356,                 16509,                 -5108,               -148893,               -219848,,                402632,               -281074,                              0,                 -5345,               -135344,                              0,                -19131,                  4095,                -82690,              1058583,                975893,                975893,,,,,,,,,,,,,,,,,,,,,,
8103,2014年01月01日至2014年06月30日,,                227342,                227342,,,                 59640,                    198,                    606,                  3709,                 -9633,,                    438,                    903,                    457,                              0,                 56318,,,                -77839,                   -397,                 10991,                -34381,                  8740,                   -860,                -93746,,                 27545,                 15644,                    123,                 43312,                -50434,                  5884,                233226,                  9633,,                 -2621,                -47444,                192794,,                -42565,                  6432,                 -1446,               -147738,               -185549,,,                -78483,                              0,                 -3558,,,                -82041,                -20373,                -95169,              1058583,                963414,                963414,                   -232,,,,,,,,,,,,,,,,,,,,,
8103,2014年01月01日至2014年03月31日,,                104095,                104095,,,                 29602,                    100,                    634,                  1981,                 -5448,,                    196,                    192,,,                 27595,,,                 31025,                   -519,                  4382,                -34839,                  8460,,                  7879,,                -25052,                   -552,                   -323,                -25927,                -18048,                  9547,                113642,                  5448,,                 -1413,                -16732,                100945,,                -15455,                  5246,                 -1264,               -124794,               -136267,,                              0,                -27776,,                 -1774,,,                -29550,                 -1821,                -66693,              1058583,                991890,                991890,,                    338,                   -630,                              0,,,,,,,,,,,,,,,,,,
8103,2013年度,,                349988,                349988,,,                107848,                    130,                 -4459,                  6822,                -11501,,                  2979,                  2732,                  1342,,,,,               -161640,                    682,                 -1654,                 14069,                 -4623,,               -139119,,                108881,                 41160,,                153801,                 14682,                116054,                466042,                 11501,,                 -4352,                -87378,                385813,,               -134450,                 18287,                  1036,                -50838,               -175712,,                187610,,,                 -7036,               -215000,,                -34426,                 38904,                214579,                844004,              1058583,              1058583,,                 -4521,                 14047,,,                101372,                  3760,                 -5997,                 -3750,,,,,,,,,,,,,
8103,2013年01月01日至2013年12月31日,,                349988,                349988,,,                107848,                    130,                 -4459,                  6822,                -11501,,                  2979,                  2732,                  1342,,,,,               -161640,                    682,                 -1654,                 14069,                 -4623,                 14047,               -139119,,                108881,                 41160,,                153801,                 14682,                116054,                466042,                 11501,,                 -4352,                -87378,                385813,,               -134450,                 18287,                  1036,                -50838,               -175712,,                187610,,,                 -7036,               -215000,,                -34426,                 38904,                214579,                844004,              1058583,              1058583,,                 -4521,,,,                101372,                  3760,,                 -3750,                              0,,,,,                 -5997,                              0,                              0,,,,,
8103,2013年01月01日至2013年09月30日,,                253013,                253013,,,                 79413,                     28,                -10170,                  4225,                 -7069,,                  2752,                  2429,                  1333,,,,,               -156489,                    206,                 -8878,                 13733,                 15139,,               -164939,,                 44291,                 -4640,,                 42475,               -122464,                -49523,                203490,                  7069,,                 -2343,                -56286,                151930,,                -90985,                 17193,,                -58459,               -118532,,                228416,,,                 -5269,               -215000,,                  8147,                 40905,                 82450,                844004,                926454,                926454,,,                -28650,,,                 72941,                  2824,                 -5997,,                 24977,                 -5261,,,,,,,,,,,
