證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 投資性不動產公允價值調整損失(利益),　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 取得投資性不動產,　　 處分投資性不動產,　　 其他非流動資產增加,　　 預付設備款增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 員工購買庫藏股,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 應付短期票券減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 存入保證金減少,　　 其他非流動資產減少,　　　　 股份基礎給付酬勞成本,　　 處分持有至到期日金融資產,　　　　 處分投資損失（利益）,　　 存出保證金增加,　　 應收款項減少,　　 其他應收款減少
2841,2015年度,,              2199146,              2199146,,,                 30001,                  4761,                              0,                320550,                 -7269,                  8230,                   -145,                              0,                 -3459,             -2640321,                    300,             -2287352,,,                    282,                   -267,               -561962,                -55683,               -133351,                              0,               -750981,,                  8416,                  1401,               -553986,                 25180,               -518989,             -1269970,             -3557322,             -1358176,                  7218,               -320765,                -19715,             -1691438,,                              0,               -170633,                    429,                 -7658,               -722848,                              0,               -130209,                 -5661,                 78084,               -958496,,              2947780,             -2274719,                    430,                991677,                170000,               -382777,                  6947,               -127742,               -364039,                140771,                  9310,              1117638,                    -28,             -1532324,              4155290,              2622966,              2622966,,,,,,,,,,,
2841,2015年01月01日至2015年09月30日,,                340345,                340345,,,                 22363,                  3478,                              0,                 56122,                 -4153,                  1344,                   -145,                              0,                   -238,               -677970,                    300,               -598899,,,                    282,                   -437,               -331916,                -44403,                -88032,                              0,               -464506,,                  5627,                  4269,               -275841,                 -1549,               -267494,               -732000,             -1330899,               -990554,                  4227,               -243494,                -19702,             -1249523,,                              0,               -121488,                    429,                   -875,               -603370,                              0,                -85867,                 -5481,                 88835,               -727817,,              2196383,             -1612719,                    430,                991677,                150000,               -352580,                  1214,,               -173900,                140771,                              0,              1341276,                     -9,               -636073,              4155290,              3519217,              3519217,,,,,,,,,,,
2841,2015年01月01日至2015年06月30日,,                 85387,                 85387,,,                 14608,                  2461,                              0,                 34908,                 -3905,                  1915,                   -145,                              0,                   -236,               -308609,                    300,               -258703,,,                    282,                   -452,               -233380,                -17159,                 -1000,                              0,               -251709,,                 15962,                  9857,               -198056,                 -9784,               -182021,               -433730,               -692433,               -607046,                  3951,               -161069,                -18500,               -782664,,                              0,                -80645,                    429,                   -435,               -341793,                              0,                -46173,                -12822,                 76524,               -404915,,                840719,             -1034000,                    445,                800000,                150000,                -60386,                  1611,,               -156288,                140771,                              0,                682872,                    -26,               -504733,              4155290,              3650557,              3650557,,,,,,,,,,,
2841,2015年01月01日至2015年03月31日,,               -146626,               -146626,,,                  7099,                  1087,                              0,                 12409,                   -280,                  1046,                              0,                              0,                   -235,                              0,                    300,                 21426,,,                    282,                    169,               -146218,                -20056,                 14811,                              0,               -151012,,                 15850,                 15008,               -141020,                115250,                  5088,               -145924,               -124498,               -271124,                    301,                -76353,                   -502,               -347678,,                              0,                 -2780,,                   -435,               -212447,                              0,                -21020,                -11826,                 21782,               -226726,,                840719,               -334000,,                              0,                 50000,                -30192,                  1618,                              0,               -156288,                 16824,                              0,                388277,                    -12,               -186139,              4155290,              3969151,              3969151,                   -404,,,,,,,,,,
2841,2014年度,,              5460556,              5460556,,,                 19271,                  4770,                              0,                239339,                 -7802,                  3279,                     11,                    455,                -13725,             -4547595,                 18094,             -4283903,,,                    879,                 -2359,                111962,                -45738,                 44137,                 67324,                176205,,                   -709,                  7930,                698285,               -502088,                203418,                379623,             -3904280,              1556276,                  7794,               -235345,                -17853,              1310872,,                -29400,                -34691,                              0,                 -1661,               -926619,                 13596,               -132092,                -86549,                356772,               -840644,,                700000,               -700000,                   -187,                500000,              1579200,             -1140000,                  8313,               -124648,               -377352,                221991,                  4900,                672217,                     65,              1142510,              3012780,              4155290,              4155290,,,,,,,,,,,
2841,2014年01月01日至2014年09月30日,,               -197391,               -197391,,,                 13747,                  1285,                              0,                 12108,                 -4038,                  2441,                      9,                              0,                   -499,                              0,                 18094,                 43147,,,                  1161,                 -2207,                339236,                -34478,                -55468,                              0,                248244,,                -33865,                 72142,                771690,               -477714,                332253,                580497,                623644,                426253,                  4050,               -170996,                -17744,                241563,,                -29400,                -97257,                              0,                 -1661,               -589064,                              0,                -75063,                              0,                204560,               -587885,,                              0,                              0,                    206,                500000,              1579200,               -910000,                 -2658,,                -89635,                221991,                  4900,              1304004,                    -54,                957628,              3012780,              3970408,              3970408,,,,,,,,,,,
2841,2014年01月01日至2014年06月30日,,                -43455,                -43455,,,                  8681,                    581,                              0,                  6374,                 -3756,                  1073,                      9,                              0,                   -372,                              0,                              0,                 12590,,,                  1161,                   -951,                330236,                -16962,                -41812,                              0,                271672,,                 -1276,                     -3,                653231,               -592010,                 59942,                331614,                344204,                300749,                  3750,               -117349,                -15571,                171579,,                -29400,                -38213,                              0,                   -835,               -348181,                              0,                -16545,                              0,                352951,                -80223,,                              0,                              0,                    220,                500000,                              0,               -300000,                  6564,,                -22574,                              0,                              0,                184210,                    -33,                275533,              3012780,              3288313,              3288313,,,,,,,,,,,
2841,2014年01月01日至2014年03月31日,,                  8192,                  8192,,,                  4240,                    289,                              0,                 12628,                   -342,                              0,                      5,                              0,                   -839,                              0,                              0,                 15981,,,                    764,                    269,                175692,                 -1809,                  4586,                              0,                179502,,                 -1259,                  9466,                608699,               -155620,                461286,                640788,                656769,                664961,                    450,                -57319,                   -749,                607343,,                -29400,                -22543,,                              0,               -156793,                              0,                 -1342,                              0,                 34802,               -175276,,                              0,                              0,,                              0,                              0,                              0,                 -2009,                              0,                              0,                              0,                              0,                 -1268,                    -24,                430775,              3012780,              3443555,              3443555,                    741,,,,,,,,,,
2841,2013年度,,              2552115,              2552115,,,                 15859,                  1328,                 14120,                 18394,                 -6050,                              0,                              0,                              0,                -38177,             -1706257,                 26225,,,,                   -417,                    185,              2592771,                871977,                -48586,                 34227,              3450157,,                 -9313,                 -3569,              1324207,             -1059756,                251569,              3701726,              2027168,              4579283,                  6295,               -277115,                -40134,              4268329,,                              0,                -80796,,                -12983,             -1534729,                              0,                -18882,                              0,               -278219,             -1925609,,                740000,                              0,,                              0,                919144,             -4137284,,                              0,                              0,                194058,                 -4825,             -2179086,                    772,                164406,              2848374,              3012780,              3012780,                112406,,             -1674558,                 -2585,,,,,,,
2841,2013年01月01日至2013年12月31日,,                849029,                849029,,,                 18252,                 35555,                 14120,                 18394,                 -6050,,,,                -43741,,                -26466,,,,                   -417,                    185,              2625062,                871977,                -48586,,              3448221,,                 -9313,                 -3569,              1324207,             -1059756,                251569,              3699790,              3730254,              4579283,                  6295,               -277115,                -40134,              4268329,,,             -1526591,,                -10927,                              0,,               -109872,,               -278219,             -1925609,,                740000,,                112406,,                919144,             -4137284,,,                              0,                194058,                 -4825,             -2179086,                    772,                164406,              2848374,              3012780,              3012780,,,                 30464,                 -2585,,                 20400,                              0,,,,
