證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 處分無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產減少,　　 其他非流動資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款減少,　　 應付短期票券減少,　　 其他非流動負債減少,　　　　　 應付票據增加（減少）,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 備供出售金融資產減資退回股款,　　 無活絡市場之債務商品投資到期還本,　　 處分子公司,　　 其他金融資產增加,　　　　 處分投資性不動產損失（利益）,　　 取得無活絡市場之債券投資,　　 其他投資活動,　　　　　 應收帳款－關係人（增加）減少,　　 其他符合國際會計準則第七號現金及約當現金定義之項目
2323,2015年01月01日至2015年09月30日,,             -1264696,             -1264696,,,              2502232,                140148,                 62620,                 72339,                151460,                -20991,                -38102,                    436,               -118941,                  1716,                -39592,                   -531,                 15796,              2728590,,,               -119150,                 -3127,                321797,                  3705,               -305103,                 40527,                -61351,,                -76859,               -582986,                -10652,                -30467,                -26617,               -727581,               -788932,              1939658,                674962,                 21237,                158102,               -161711,                -54385,                638205,,                -36315,                 82152,                  1186,                -43837,                 60637,                 31658,                              0,               -103573,                 -9849,                 14838,                -87922,                263420,                -42901,               -109798,                 19696,,                  4672,                     64,              1452933,             -1971404,                -13276,               -299696,                -92092,               -918799,                 35991,               -224907,              4847874,              4622967,              4622967,,,,,,,,,,,,,,,
2323,2015年01月01日至2015年06月30日,,               -753777,               -753777,,,              1725035,                 91770,                 49699,                -82739,                103052,                -14288,                 -2045,                    292,                -72784,                 -3973,                -39511,                              0,                 13391,              1767899,,,               -381531,                 20672,                268545,                -14196,               -320270,                  9256,               -417524,,                -18868,               -183447,                 73924,                -32061,                -83719,               -244171,               -661695,              1106204,                352427,                 13949,                122045,               -108541,                -35491,                344389,,                -31981,                 61903,,                -43837,                 60637,                 10314,                              0,                -50254,                 -5216,                  4714,                -52874,                276351,                -33854,                -76787,                119116,,,,                794795,             -1684823,,               -299696,                -97435,             -1307396,                -89325,               -933216,              4847874,              3914658,              3914658,                -68689,                 59978,                -11526,,,,,,,,,,,,
2323,2015年01月01日至2015年03月31日,,               -437529,               -437529,,,                882061,                 43428,                 29547,                -55334,                 52818,                 -6736,                   -435,                    202,                -17419,                 -1780,                 -5043,                              0,                  6436,                927745,,,                -61576,                 14134,               -122235,                -21471,                -50933,                -59250,               -301331,,                -11057,,                -50945,                 -5692,                  7430,               -222972,               -524303,                403442,                -34087,                  7012,                    435,                -61053,                 -1779,                -89472,,                -14666,                 23550,,,,                              0,                              0,,                 -2167,                  2408,                -26818,                176197,                -22090,                -45870,                 90544,,,,                636401,             -1162894,,,                  1139,               -649254,                -52686,               -700868,              4847874,              4147006,              4147006,               -115010,                    -13,                 -8877,               -162708,,,,,,,,,,,
2323,2014年度,,             -1637870,             -1637870,,,              3803746,                185417,                 -8592,                -32852,                225695,                -34519,                -32523,                  1639,               -147971,                 11924,                -15498,                 31592,                  5848,,,,               -277468,                  6756,                -86652,                  3995,                588877,                 57717,                293225,,                -69917,                 75566,                 47163,                  3314,                 33801,                 89927,                383152,              4377058,              2739188,                 33889,                152523,               -229572,                -11047,              2684981,,                -68027,                 99725,,                 -5843,,                 26857,                 -6000,               -162559,                -19344,                  4509,                -58169,,                -28499,               -178587,               -827561,,               -480958,,              3086296,             -3223160,,               -615179,                -50906,             -1321595,                163732,                699557,              4148317,              4847874,              4847874,,                -24186,                -13502,,,              3993906,                  3224,                              0,                121110,               -555958,,,,,
2323,2014年01月01日至2014年09月30日,,             -1326787,             -1326787,,,              2843648,                142033,                  7489,                -12478,                170433,                -15902,                -29584,                  1449,               -159234,                  1997,                 -9958,                  9322,                              0,              2949215,,,               -321753,                -12965,               -316160,                -44130,                365971,                 13522,               -315515,,                -31092,                168822,                 79040,                 -5851,                 47847,                258766,                -56749,              2892466,              1565679,                 15547,                149584,               -182823,                 -9044,              1538943,,               -454450,                 82767,                              0,                 -5808,                              0,                 26789,                 -6000,                              0,                -11397,                  2718,                -53548,                  9813,                -36828,                -78365,               -524309,,                -22527,                -24204,              1507863,             -2158917,                  5390,               -568255,                 72785,             -1187865,                 39911,               -133320,              4148317,              4014997,              4014997,,,,,,,,,,,,,,,
2323,2014年01月01日至2014年06月30日,,               -938378,               -938378,,,              1901753,                 99079,                   -490,                 35784,                113505,                -10898,                    -50,                  1023,               -124906,                    658,                 -7841,                  9322,                              0,              2016939,,,               -222275,                  9325,                396461,                 10333,                441137,                  1187,                636168,,                -27265,                -60127,                 58374,                 -1706,                 -4375,                -35099,                601069,              2618008,              1679630,                 10332,                     50,               -114089,                 -7695,              1568228,,               -430999,                 61008,,                              0,                              0,                 17801,                 -6000,                              0,                -10651,                  2113,                -28694,                119547,                -11730,                -81800,               -369405,,,,                959967,             -2107116,,               -140377,                 74397,             -1250803,                -29385,                -81365,              4148317,              4066952,              4066952,                -41032,                 14303,                -10945,,,,,,,,,,,,
2323,2014年01月01日至2014年03月31日,,               -507378,               -507378,,,                939365,                 51621,                 -6561,                 34796,                 55575,                 -4950,                              0,                    511,                -25228,                   -250,                 -6127,                  9322,                              0,              1048074,,,               -124242,                  2559,               -148880,                -11405,                228931,                -62930,               -115967,,                -24095,,                -12188,                 -6004,                 93884,                115609,                   -358,              1047716,                540338,                  4617,                              0,                -64139,                 -3796,                477020,,               -421672,                 36461,,,,                  1735,                 -6000,,                              0,                  2111,                 -8016,                331088,                 -6201,                -72243,               -142737,,,,                486473,               -772948,,,                111547,               -694644,                 37901,               -322460,              4148317,              3825857,              3825857,               -507984,                -10211,                 -1521,                 64012,,,,,,,,,,,
2323,2013年度,,             -3436472,             -3436472,,,              4150649,                207682,                 21408,                -14635,                265410,                -33029,                -38600,                  3950,                -42075,                 16942,                -15571,                194127,                678497,,,,               -264442,                 55010,                228009,               -113344,                 13718,                -32957,               -114006,,                -69254,               -124432,               -109239,                 20594,                -24693,               -307024,               -421030,              4973725,              1537253,                 35737,                158600,               -290298,                -15494,              1425798,,                -20496,                115091,,                -28652,,                 40721,                -29667,                              0,                -54056,                 21476,               -138874,,                -87345,               -160203,              1530987,,             -2313922,,              3102925,             -3651022,,                -53325,                 -7891,             -3187381,                 91212,               -139384,              4287701,              4148317,              4148317,,               -220635,                -43511,,,              5394755,                              0,                  7250,                 -6059,              1871801,,,,,
2323,2013年01月01日至2013年12月31日,,             -3436472,             -3436472,,,              4150649,                207682,                 21408,                -14635,                265410,                -33029,                -38600,                  3950,                -42075,,                -15571,                194127,                678497,,,,               -264442,                 55010,                228009,               -113344,                 13718,                -32957,               -114006,,                -69254,               -124432,               -109239,                 20594,                -24693,               -307024,               -421030,              4973725,              1537253,                 35737,                158600,               -290298,                -15494,              1425798,,                -20496,                115091,,                -28652,                              0,                 40721,                -29667,,                -54056,                 21476,               -138874,,                -87345,               -160203,              1530987,,,,              3102925,             -3651022,,                -53325,                 -7891,             -3187381,                 91212,               -139384,              4287701,              4148317,              4148317,             -2313922,               -220635,                -43511,,,              5394755,,,                 -6059,              1871801,                 16942,                              0,                  7250,,
2323,2013年01月01日至2013年09月30日,,             -1768026,             -1768026,,,              3156508,                147182,                 -7679,                -10560,                208000,                -19502,,                  3355,               -132442,                 15711,,                 33158,                              0,,,,               -196590,                 53715,                -54841,                -51730,               -511258,                -53315,               -814019,,                -54475,                -37481,               -103513,                 -3536,                 -7807,               -206812,             -1020831,              2369369,                601343,                 22056,                120000,               -214891,                 -9252,                519256,,,                 35251,,                -28652,                              0,                 23583,                -29667,,                -40562,                 19626,               -157336,              1070242,                -98919,               -139859,                653707,,             -1350712,,              2928357,             -3599056,,                -53325,                  3144,             -2333972,                138416,             -1022593,              4287701,              3265108,              3265108,,               -235824,                -26556,,,              3390200,,,,,                 -3531,                              0,                              0,,
