證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得按攤銷後成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 其他應收款增加,　　 取得無形資產,　　 取得投資性不動產,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 其他非流動負債增加,　　 其他非流動負債減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他應收款減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 支付之利息,　　 其他非流動資產增加,　　 償還長期借款,　　 其他應付款－關係人減少,　　　　 處分投資性不動產損失（利益）,　　 處分投資性不動產,　　 應付短期票券減少,　　 發行公司債,　　 舉借長期借款,　　 其他應付款－關係人增加
2528,2015年01月01日至2015年09月30日,,                -19297,                -19297,,,                    611,                     73,                    472,                  3420,                 -4089,                    487,,,                -16311,                              0,                -11427,               -388717,                -24844,                 50730,               -390569,,                 14326,                 10273,                   -525,                 43940,                   -126,                 67888,               -322681,               -322194,               -341491,                  4243,                 -4546,               -341794,,               -142500,                    -24,                -20000,                              0,                   -291,                  3790,               -159025,,                140705,                              0,                 66000,                     46,                              0,                -24206,                182545,               -318274,                343440,                 25166,                 25166,,,,,,,,,,,,,,
2528,2015年01月01日至2015年06月30日,,                -11340,                -11340,,,                    355,                     49,                    433,                  2259,                 -2787,                    309,,,                -17058,                              0,,               -332580,                -21624,                 38064,               -333198,,                  7408,                  7800,                   -758,                 38620,                    -83,                 52987,               -280211,               -279902,               -291242,                  2954,                 -4348,               -292636,,,                    -24,                              0,                              0,,                  3790,                 83766,,                122091,                              0,                 66000,,                              0,,                188091,                -20779,                343440,                322661,                322661,                 80000,,,,,,,,,,,,,
2528,2015年01月01日至2015年03月31日,,                  3624,                  3624,,,                    177,                     24,                    217,                  1114,                 -1502,                     30,,,                              0,                              0,,                 34675,                    512,                 50168,                 85355,,                     28,                    368,                 -3244,                 -2820,                    -42,                 -5710,                 79645,                 79675,                 83299,                  1597,                 -1296,                 83600,,,                    -24,                              0,                              0,,                              0,                 49276,,,                              0,,,,,                              0,                132876,                343440,                476316,                476316,                 49300,,,,,,,,,,,,,
2528,2014年度,,                 65288,                 65288,,,                    711,                     93,                    369,                  4686,                 -8705,,,,                239612,                  1770,,                -57713,                 12080,                -28433,                167316,,                   -101,                -23105,                -15926,                -63610,,               -102910,                 64406,                 61560,                126848,                  8514,                 -6325,                129037,,,                    -15,                -80000,                    -68,,                 20452,                -59631,,,                 -3500,,,                -33545,                -36132,                -73177,                 -3771,                347211,                343440,                343440,,,                 -2846,                   -168,                              0,                              0,                              0,                              0,,,,,,
2528,2014年01月01日至2014年09月30日,,                 67242,                 67242,,,                    534,                     69,                    409,                  3543,                 -6487,                 -1932,,,                239612,                  1770,                              0,                -41324,                 11594,                -28517,                183135,,                     -1,                -19593,                -17998,                -60610,                   -126,                -98328,                 84807,                 82875,                150117,                  6310,                 -6105,                150322,,                              0,                              0,                -80000,                    -56,                              0,                 20452,                -59604,,                              0,                 -3500,                              0,                              0,                -33545,                              0,                -37045,                 53673,                347211,                400884,                400884,,,,,,,,,,,,,,
2528,2014年01月01日至2014年06月30日,,                 44163,                 44163,,,                    358,                     46,                     -7,                  2398,                 -4505,                 -1710,,,                237182,                  1670,,                -70135,                  9008,                 41346,                219071,,                    -78,                -10921,                 -5104,                -62437,                    -84,                -78624,                140447,                138737,                182900,                  4379,                 -4185,                183094,,,                              0,                -80000,                    -57,,                 20452,                -59605,,                              0,                 -3000,                              0,,                -33544,,                -36544,                 86945,                347211,                434156,                434156,                              0,,,,,,,,,,,,,
2528,2014年01月01日至2014年03月31日,,                 40635,                 40635,,,                    179,                     22,                    317,                  1219,                 -2881,                 -1144,,,                239612,                  1770,,                 50644,                  8140,                 41327,                341493,,                    -45,                -13952,                 -6261,                -63008,                    -42,                -83308,                258185,                257041,                297676,                  2897,                 -2874,                297699,,,                              0,                -30000,                    -57,,                  3452,                -26605,,,                 -1500,,,,,                 -1500,                269594,                347211,                616805,                616805,                              0,,,,,,,,,,,,,
2528,2013年度,,                262090,                262090,,,                    928,                     83,                 -4157,                  9903,                 -3178,,,,               -238994,                 -1770,,              1195490,                 20428,                -11844,                963310,,                    101,                -28361,                  8646,                  3963,,                -15819,                947491,                951070,              1213160,                  3018,               -101331,              1096131,,,                   -734,                              0,                              0,,                              0,               -195370,,,               -305419,,,                   -666,                              0,               -586985,                313776,                 33435,                347211,                347211,,,                  3579,                   -168,                -18716,               -194636,                -47900,               -233000,,,,,,
2528,2013年01月01日至2013年12月31日,,                262090,                262090,,,                    928,                     83,                 -4157,                  9903,                 -3178,,,,               -238994,                 -1770,,              1195490,                 20428,                -11844,                963310,,                    101,                -28361,                  8646,                  3963,,                -15819,                947491,                951070,              1213160,                  3018,               -101331,              1096131,,,                   -734,,                              0,,,               -195370,,,               -305419,,                              0,                   -666,,               -586985,                313776,                 33435,                347211,                347211,,,                  3579,                   -168,                -18716,               -194636,                -47900,               -233000,                              0,                              0,                              0,                              0,                              0,                              0
2528,2013年01月01日至2013年09月30日,,                -39263,                -39263,,,                    749,                     63,                 -3473,                  6921,                   -167,,,,                 -2942,                   -200,,               -218124,                -27502,                -13228,               -261996,,                              0,                -30379,                    177,                673982,,                643654,                381658,                385751,                346488,                    167,                -88408,                241704,,,                   -735,                              0,                              0,,                              0,                   -780,,                114850,                              0,,                 31188,                              0,,               -134862,                106062,                 33435,                139497,                139497,,,                  4093,                   -126,                -16543,                    -45,                -47900,               -233000,,,,,,
