證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分投資性不動產損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 預付投資款增加,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還公司債,　　 舉借長期借款,　　 發放現金股利,　　 現金增資,　　 庫藏股票買回成本,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　 存出保證金增加,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　 不影響現金流量之收益費損項目,　　　　 股份基礎給付酬勞成本,　　　　 不影響現金流量之收益費損項目合計,　　 收取之股利,　　 發行公司債,　　 存入保證金增加,　　　　　 預收款項增加（減少）,　　　　 買回應付公司債損失（利益）,　　　　　 應收帳款－關係人（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 應付票據增加（減少）,　　 償還長期借款,　　　　　 其他應收款（增加）減少
8112,2015年01月01日至2015年09月30日,,                372690,                372690,,,                  7646,                 26858,                 16739,                    -66,                152777,                -15683,               -134679,                    217,                              0,                 39286,                246306,                339401,,,               -753081,               -824196,               -238276,               -638640,               -250749,                -22103,             -2727045,,                -82592,                -23810,                -80901,                  7158,               -180145,             -2907190,             -2567789,             -2195099,                 14640,               -143564,                -73779,             -2397802,,                              0,                -68662,                -34044,                              0,                              0,                 -4656,                    422,                 -5724,               -112664,,              2728019,                              0,                403153,               -320000,                418950,               -176004,                              0,                -52784,              3001334,                146993,                637861,                770298,              1408159,              1408159,,,,,,,,,,,,,,,,
8112,2015年01月01日至2015年06月30日,,                215954,                215954,,,                  5550,                 17700,                  7074,                    -66,                 98673,                -15302,               -103121,,                              0,                 17729,                125411,                153716,,,,             -4212643,               -858223,                206986,,                 -8805,             -4872685,,              1579036,,                -46797,                  4219,              1536458,             -3336227,             -3182511,             -2966557,                 15012,                -91288,                -46828,             -3089661,,,                -63662,                -15030,                              0,                              0,                 -1201,                      5,,                -83989,,              3124091,,                254143,,                418950,,                              0,                 48052,              3845236,                -19322,                652264,                770298,              1422562,              1422562,                     68,                 -4101,,,,,,,,,,,,,,
8112,2015年01月01日至2015年03月31日,,                 45647,                 45647,,,                  2801,                  8917,                  3679,                    -51,                 46853,                 -2681,                -73091,,,                  7395,                 36765,                 30587,,,,                154327,             -1322318,               -263321,,               -138705,             -1570017,,                713968,,                176642,                116811,              1007421,               -562596,               -532009,               -486362,                  2642,                -43315,                 -3245,               -530280,,,                 -4000,,                 -4082,,                 -1180,                              0,,                -11742,,                382835,,                -62800,,                418950,,                              0,               -130781,                608204,                -41288,                 24894,                770298,                795192,                795192,                              0,                 -2480,                              0,,,,,,,,,,,,,
8112,2014年度,,                443679,                443679,,,                 10317,                 23155,                175099,                 -1554,                141937,,               -126902,,                -30886,                 39250,                 76507,,,,,             -2170986,             -1155776,               -605989,,                -12894,             -3945645,,                519261,,               -212713,                 14299,                320847,             -3624798,             -3310225,             -2866546,,               -135686,                -76487,             -3078719,,                 65584,               -108610,                -31076,                -20717,               -204378,                 -9235,                  1473,,               -302648,,              2353464,                 -1100,              1141560,               -170000,                              0,                              0,                  7337,               -255686,              3075575,                192998,               -112794,                883092,                770298,                770298,,                  4311,,,                  7650,                314573,                              0,                              0,                              0,,,,,,,
8112,2014年01月01日至2014年09月30日,,                378146,                378146,,,                  7667,                 14332,                 87659,                 -1541,                 97588,                              0,                -86375,                    382,                -30886,                 34748,                 14459,                138033,,,               -865148,             -2187091,               -711494,               -449837,               -202103,                  4445,             -4411228,,                577789,                              0,               -558672,                291857,                310974,             -4100254,             -3962221,             -3584075,                              0,                -90937,                -30258,             -3705270,,                 65584,                -34050,                              0,                -34062,               -204378,                 -4201,                  1456,                  3154,               -206497,,              3065744,                 -1100,              1095480,               -170000,                              0,                              0,                  7337,                -98018,              3899443,                 49183,                 36859,                883092,                919951,                919951,,,,,,,,,,,,,,,,
8112,2014年01月01日至2014年06月30日,,                192295,                192295,,,                  4827,                  3378,                 67344,                 -1427,                 55630,                 -4775,                -45262,,                -30886,                 13443,                 29913,                 92185,,,,             -2557778,               -370649,               -280340,,                -78763,             -3287530,,                358801,,               -572016,                197698,                -15517,             -3303047,             -3210862,             -3018567,                  5091,                -48425,                 -9084,             -3070985,,,                              0,                              0,                -51244,               -204378,                 -3975,                              0,,               -256257,,              2980064,,                179460,,                              0,,                  7337,                 51564,              3218425,                 -7658,               -116475,                883092,                766617,                766617,                              0,                  3340,,,,,,,,,,,,,,
8112,2014年01月01日至2014年03月31日,,                 80215,                 80215,,,                  2263,                              0,                 24280,                 -1404,                 25688,                 -2065,                -24848,,,                  6101,                 18975,                 48981,,,,             -1325214,                431836,                -46138,,                 35175,               -904341,,                449245,,               -157182,                 16106,                308169,               -596172,               -547191,               -466976,                  2318,                -21136,                 -5270,               -491064,,,                              0,,                              0,,                    -21,                      9,,                  3786,,                932059,,               -305100,,                              0,,                  7337,               -104628,                529668,                 54532,                 96922,                883092,                980014,                980014,                     -9,                  3798,                              0,,,,,,,,,,,,,
8112,2013年度,,                166016,                166016,,,                  9294,                              0,                 62476,                 -5549,                 66915,,                -24683,,                              0,                 78960,                 87738,,,,,               -390163,             -1280424,               -125672,,               -124291,             -1920550,,               -249080,,                281055,                 31217,                 63192,             -1857358,             -1575807,             -1409791,,                -54890,                -65880,             -1529785,,                              0,                -91729,                -65934,                              0,                              0,                 -5188,                    233,,               -168952,,              1120625,               -411630,                599000,                -66000,                220000,               -136579,                              0,                162505,              2088321,                 60220,                449804,                433288,                883092,                883092,,                 -6334,,,                  6400,                281551,                    776,                600000,                    400,,,,,,,
8112,2013年01月01日至2013年12月31日,,                166016,                166016,,,                  9294,,                 62476,                 -5549,                 66915,,                -24683,,,                 78960,                 87905,,,,                 72224,               -462387,             -1280424,               -125672,,               -124291,             -1920550,,               -249080,,,                 31217,                 63192,             -1857358,             -1575807,             -1409791,,                -54890,                -65880,             -1529785,,,                -91729,                -65934,,,                 -5188,                    233,,               -168952,,              1120625,               -411630,                599000,                -66000,                220000,               -136579,                              0,                162505,              2088321,                 60220,                449804,                433288,                883092,                883092,                    342,                 -6334,,,                  6400,                281551,                    776,                600000,                    400,                281055,                   -509,,,,                              0,
8112,2013年01月01日至2013年09月30日,,                166466,                166466,,,                  7091,                              0,                 32274,                 -4109,                 45283,,                -12346,                              0,                              0,                 54500,                 29547,,,,                 25293,             -1267300,             -1635685,                 31984,                              0,                 10576,             -2835132,,               -295116,,,                 65447,               -229669,             -3064801,             -2912561,             -2746095,,                -35116,                -61754,             -2842189,,                              0,                -40000,                -65934,                              0,                              0,                 -2990,                    233,                              0,               -109971,,              3089911,               -411630,                890100,                -66000,,               -136579,                              0,                  1863,              3368065,                 38758,                454663,                433288,                887951,                887951,,                 -1280,,,,                152240,                    776,,                    400,                              0,,,,,,
