證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 取得子公司股權,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 處分採用權益法之投資,　　 其他非流動資產增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 其他金融資產減少,　　 其他投資活動,　　 短期借款減少,　　 存出保證金增加,　　 存出保證金減少,　　 其他預付款項減少,　　　　 處分投資損失（利益）,　　 收取之股利
9910,2015年01月01日至2015年09月30日,,              4506061,              4506061,,,              1046299,                 24546,                 49326,                -16459,                -48069,                 23181,                              0,                 17301,              1096125,,,                143935,               -170264,                385694,                -76400,                282965,,                398436,               -233637,                -39777,                 45267,                  6627,                176916,                459881,              1556006,              6062067,                 15898,                -50448,               -705383,              5322134,,                              0,               -155550,             -2137992,                 64121,                -67278,                 16343,                  5793,             -2274563,,               -260103,              1083427,               -847442,             -2142318,                              0,               -162060,                              0,             -2328496,               -191572,                527503,              1891230,              2418733,              2418733,,,,,,,,,,,,,
9910,2015年01月01日至2015年06月30日,,              2665443,              2665443,,,                673368,                 14585,                 36590,                -11736,                -11420,                 11761,,                 11396,                724544,,,                802397,               -140392,                226708,               -136427,                752286,,                 81093,               -527690,                -28426,                 43334,                  5327,               -426362,                325924,              1050468,              3715911,                 11919,                -37430,               -483033,              3207367,,                              0,,             -1338604,                 47878,                -33791,                 15485,,             -1336745,,               -984299,                237287,               -667911,,                              0,               -158465,,             -1573388,                -15250,                281984,              1891230,              2173214,              2173214,                -31912,                  4199,,,,,,,,,,,
9910,2015年01月01日至2015年03月31日,,              1226701,              1226701,,,                360683,                  7157,                 16858,                 -6715,                 10657,                  3218,,                  5737,                397595,,,                441965,                -43305,               -379381,                -82499,                -63220,,                443989,             -1101823,                 -5224,                 19752,                  2059,               -641247,               -704467,               -306872,                919829,                  4780,                -16627,               -233730,                674252,,,                -32261,               -555663,                 40243,                -16166,                 -8641,,               -566777,,                180731,                240180,                -28217,,,                -62527,,                330167,                 24767,                462409,              1891230,              2353639,              2353639,,                  5711,,,,,,,,,,,
9910,2014年度,,              5054959,              5054959,,,              1292589,                 26340,                 60006,                -20265,                 28583,                 42585,                    768,                  7706,,,,               -703710,                -56617,               -897337,                -23810,             -1681474,,                349493,                894269,                 -3273,,                 26667,              1379745,               -301729,              1136583,              6191542,                 20069,                -58676,             -1500298,              4652637,,                      1,,             -2054012,                 82107,                -26596,,                 45554,             -1924671,,              9761807,                500000,               -508351,             -1837227,               -739771,               -227024,                    -42,             -2319970,                -99508,                308488,              1582742,              1891230,              1891230,,,,              1438312,                112589,                 18646,                  9629,             -9269362,,,,,
9910,2014年01月01日至2014年09月30日,,              3626838,              3626838,,,                962577,                 17237,                 43899,                -14265,                 41053,                 20076,                    768,                  3564,              1074909,,,               -315353,               -109175,               -613146,                -17380,             -1055054,,                620263,                227353,                 -8607,                 97709,                 -2586,                934132,               -120922,                953987,              4580825,                 14675,                -42585,             -1293280,              3259635,,                      1,                              0,             -1376465,                 57503,                -19224,                 -6786,                 47692,             -1297279,,                194679,              1446893,               -507625,             -1837227,               -739771,               -227597,                    -44,             -1670692,                -45651,                246013,              1582742,              1828755,              1828755,,,,,,,,,,,,,
9910,2014年01月01日至2014年06月30日,,              2301399,              2301399,,,                623673,                 11221,                 29427,                 -8905,                 60133,                 13408,,                    110,                729067,,,               -166429,                -64764,               -321453,                 37263,               -515383,,                389347,                -64310,                -21833,                 58479,                 -2563,                359120,               -156263,                572804,              2874203,                  9011,                -30386,               -610179,              2242649,,                      1,,               -845161,                 38117,                 -9778,                 -4588,,               -835284,,                141846,                              0,               -506973,,               -739771,               -228029,,             -1332927,                -59005,                 15433,              1582742,              1598175,              1598175,                              0,                -13875,,,,,,,,,,,
9910,2014年01月01日至2014年03月31日,,                989414,                989414,,,                309094,                  5750,                 15111,                 -4550,                 16368,                 -1710,,                    111,                340174,,,                 18470,                -76409,               -606602,                 61210,               -603331,,                296225,               -317876,                 12198,                 57380,                   -687,                 47240,               -556091,               -215917,                773497,                  3578,                -14711,               -199256,                563108,,,                              0,               -304085,                 25219,                 -4743,                    148,,               -296279,,               -238239,                              0,                -50752,,,                 -1451,,               -290442,                -53003,                -76616,              1582742,              1506126,              1506126,,                -12818,,,,,,,,,,,
9910,2013年度,,              3393063,              3393063,,,              1209129,                 23633,                 67768,                -17153,                -57520,                 41370,                              0,                  9834,,,,               -288055,                 25104,               -150035,               -138229,               -551215,,                122799,                212634,                 26531,,                   -699,                405206,               -146009,              1131052,              4524115,                 17155,                -69922,               -586319,              3885029,,                      1,,             -1015714,                371154,                -22314,,                 11736,               -629613,,             11482730,                520000,             -1960320,             -1177710,               -730027,               -348593,                              0,             -3445448,                -35154,               -225186,              1807928,              1582742,              1582742,,,,              1277061,                 43941,                 12101,                 13423,            -11231528,,,,,
9910,2013年01月01日至2013年12月31日,,              3393063,              3393063,,,              1209129,                 23633,                 67768,                -17153,                -57520,                 41370,,                  9834,,,,               -288055,                 25104,               -150035,               -132542,               -545528,,                122799,                212634,                 26531,,                   -699,                405206,               -140322,              1136739,              4529802,                 17155,                -69922,               -586319,              3890716,,                      1,,             -1015714,                371154,                -22314,,,               -635300,,             11482730,                750070,             -2190320,             -1177710,               -730027,               -348593,,             -3445378,                -35224,               -225186,              1807928,              1582742,              1582742,                              0,                 18150,,              1277061,                 43941,,                 13423,            -11231528,,,,                              0,
9910,2013年01月01日至2013年09月30日,,              2526340,              2526340,,,                920429,                 17479,                 52677,                -11806,                -47423,                 34547,                              0,                    141,,,,                -54333,                106713,                 47065,                 -3020,                 96425,,                -83276,                -53799,                 -4220,,                   -700,                -66346,                 30079,                996123,              3522463,                 12361,                -54130,               -466876,              3013818,,                    352,,               -796200,                337201,                -13755,,                 12108,               -441095,,                773330,                750059,             -2121210,             -1177710,               -729470,               -275130,                              0,             -2780131,                -26322,               -233730,              1807928,              1574198,              1574198,,,,                966044,                 75649,,,,                              0,                  8191,                 11008,,
