證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分其他資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 處分無活絡市場之債務工具投資,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他應收款減少,　　 取得無形資產,　　 收取之利息,　　 收取之股利,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他應收款－關係人（增加）減少,　　 取得無活絡市場之債務工具投資,　　 存出保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　 取得無活絡市場之債券投資,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 其他應收款增加,　　 存入保證金減少,　　 處分無活絡市場之債券投資,　　 舉借長期借款,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應付帳款增加（減少）,　　 取得備供出售金融資產,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 其他非流動資產增加
9943,2015年01月01日至2015年09月30日,,                952483,                952483,,,                 79959,                    556,                 -3086,                  2052,                 -8108,               -291727,                  4328,                 -1410,               -102340,                              0,               -319776,,,                -12051,                   -460,                  5706,                 -2766,                   -639,                   -107,                -10317,,                -14910,                -11828,                  5163,                -21575,                -31892,               -351668,                600815,                 -2065,               -118007,                480743,,                293482,               -233270,                  1410,                -47857,                    835,                  3301,                              0,                   -184,                  7559,                142296,                 -2174,                165398,,                -53220,                              0,               -589270,               -642490,                    127,                  3778,                718488,                722266,                722266,,,,,,,,,,,,,,,,,,,
9943,2015年01月01日至2015年06月30日,,                703723,                703723,,,                 47529,                    372,                 25886,                  1446,                 -5383,               -219879,                  3781,                 -1410,               -102340,                              0,               -249998,,,                 -2512,                   -471,                  5156,                 -6339,                    332,                    -71,                 -3906,,                -11814,                -13750,                  6860,                -18704,                -22610,               -272608,                431115,                 -1454,                -60868,                368793,,                293482,                127044,                  1410,                -25798,                    969,                  2276,,                   -106,                  5352,                              0,                 -2174,                402455,,                -35640,                              0,,                -35640,                    -80,                735528,                718488,              1454016,              1454016,                     -1,,,,,,,,,,,,,,,,,,
9943,2015年01月01日至2015年03月31日,,                400894,                400894,,,                 24528,                    186,                 22251,                    762,                 -2268,               -136026,                  2880,                 -1410,                -20401,,               -109498,,,                 -2915,                -12271,                  3977,                 -7839,                    290,                    -35,                -18793,,                    778,                -47282,                  2159,                -44345,                -63138,               -172636,                228258,                   -765,                    -52,                227441,,                 51777,,                  1410,                -15349,                    392,,,                   -106,                  2120,,,                110483,,                -18060,,,                -18060,                    -35,                319829,                718488,              1038317,              1038317,,                 68019,                  2220,,,,,,,,,,,,,,,,
9943,2014年度,,                758622,                758622,,,                101897,                    704,                -20122,                  4026,                -12730,                -90276,                  9313,,,                  2463,,,,                  4719,                  4635,                    187,                   -381,                  2110,                 -1266,                 10004,,                 22493,                -12555,                  3194,                 13132,                 23136,                 18411,                777033,                 -4035,                -91764,                681234,,,,,               -235834,                  1720,,,                   -416,                 13454,                142296,                 -4946,                266115,,                -70640,,               -589270,               -659674,                  1986,                289661,                428827,                718488,                718488,,,                 14442,,                              0,                 -4725,                 35399,                              0,                              0,                300000,                    236,,,,,,,,
9943,2014年01月01日至2014年09月30日,,                555045,                555045,,,                 76031,                    519,                 -5681,                  3163,                -10566,                -68967,                  6527,                              0,                              0,                  2463,                  3489,,,                 12343,                   -250,                  5878,                 -1499,                  1724,                   -161,                 18035,,                 16394,                -18427,                  4788,                  2755,                 20790,                 24279,                579324,                 -3175,               -108846,                467303,,                              0,                 52475,                              0,               -217851,                  1427,                 10697,                300000,                   -416,                 11311,                142296,                 -1984,                297955,,                -52740,                    253,               -589270,               -641757,                  1859,                125360,                428827,                554187,                554187,,,,,,,,,,,,,,,,,,,
9943,2014年01月01日至2014年06月30日,,                348713,                348713,,,                 50317,                    338,                  6106,                  2107,                 -8395,                -25512,                  3536,                              0,                              0,                  2463,                 30960,,,                  5255,                 -3758,                  4932,                 -5764,                  1639,                   -114,                  2163,,                 23984,                 -7317,                  4209,                 20876,                 23039,                 53999,                402712,                 -2117,                -56510,                344085,,                              0,                221507,                              0,               -177262,                    678,                 12633,,                   -107,                  7834,                  4396,                              0,                 69679,,                -35160,                    127,,                -35033,                  1802,                380533,                428827,                809360,                809360,                    -27,,,,,,,,,,,,,,,,,,
9943,2014年01月01日至2014年03月31日,,                251824,                251824,,,                 24705,                    169,                  1121,                  1094,                 -4172,                -45360,                    570,                              0,                              0,,                -21873,,,                 -3310,                  2822,                  3779,                 -5200,                  1664,                    -63,                   -308,,                 11585,                -55768,                  5651,                -38532,                -38840,                -60713,                191111,                 -1096,                   -357,                189658,,                              0,,                              0,                -41238,                    355,,,                   -107,                  5318,,,                150443,,                -17580,,,                -17580,                  4119,                326640,                428827,                755467,                755467,,                176483,                  9632,,,,,,,,,,,,,,,,
9943,2013年度,,                509149,                509149,,,                126665,                    421,                 -3588,                  5396,                -11023,                 83650,                 12127,,,                              0,,,,                 26213,                 -3837,                    367,                  3792,                 -2516,                    -66,                 23953,,                -15079,                 43287,                  1515,                 29723,                 53676,                248043,                757192,                 -5655,               -138396,                613141,,,,,                -94106,                  1204,,,                 -1614,                 10444,                122815,                              0,               -756773,,                -74760,,               -441953,               -516731,                 43937,               -616426,              1045253,                428827,                428827,,,                -26748,,                -19281,                194367,               -190249,               -150000,                -28519,               -400000,                    -18,,,,,,,,
9943,2013年01月01日至2013年12月31日,,                509149,                509149,,,                126665,                    421,                 -3588,                  5396,                -11023,                 83650,                 12127,,                              0,,,,,                  5814,,                    367,                  3792,                 -6353,                    -66,                 23953,,                      2,                 43287,                  1515,                 29723,                 53676,                248043,                757192,                 -5655,               -138396,                613141,,                              0,,,                -94106,                  1204,                              0,,                 -1614,                 10444,                122815,,               -756773,,                -74760,                              0,               -441953,               -516731,                 43937,               -616426,              1045253,                428827,                428827,,,                -26748,,                -19281,                194367,               -190249,               -150000,                -28519,               -400000,                    -18,,,                 20399,,                -15081,                              0,,
9943,2013年01月01日至2013年09月30日,,                431035,                431035,,,                 97446,                    279,                  1086,                  4138,                 -6949,                 48780,                  9863,,,                              0,,,,                 26451,                    -63,                  1106,                   -107,                   -176,                    -45,                 27166,,                 -5838,                 46526,                  5227,                 45915,                 73081,                216505,                647540,                 -4372,               -138075,                505093,,,,,                -51014,                    841,,,                   -708,                  6529,                122815,                              0,               -493000,,                -57180,,               -441953,               -449150,                  3258,               -433799,              1045253,                611454,                611454,,,                 -1993,,                -11219,                143424,                 -1621,               -150000,                -17849,               -400000,                    -17,                              0,                 50000,,,,,,
