證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 金融資產減損迴轉利益,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他應收款增加,　　 其他應收款減少,　　 其他金融資產減少,　　 其他非流動資產增加,　　 預付設備款增加,　　 其他預付款項增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 其他非流動負債減少,　　 發放現金股利,　　 現金增資,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得無形資產,　　 其他非流動資產減少,　　　 不影響現金流量之收益費損項目,　　　　 股份基礎給付酬勞成本,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 存入保證金增加
6504,2015年01月01日至2015年09月30日,,                596726,                596726,,,                196526,                  4855,                  6235,                 12390,                 -1439,                  1730,                              0,                              0,                 -1653,                 -8449,                  5630,                215825,,,                 -3817,                              0,                  7950,                    -97,                  1003,               -178153,                 47631,                 28099,                -97384,,                -58505,                -91161,                 -3059,                 -4873,                              0,                  1683,               -155915,               -253299,                -37474,                559252,                  1536,               -157912,                402876,,               -115587,                    239,                 -2007,                              0,                              0,                    454,                  3123,                              0,               -141981,                              0,               -255759,,                 12052,                              0,                185000,                              0,                 28104,                              0,                    164,                              0,               -203280,                              0,                -12499,                  9541,                 37689,                194347,                339335,                533682,                533682,,,,,,,
6504,2015年01月01日至2015年06月30日,,                415339,                415339,,,                127554,                  3170,                 12045,                 12390,                 -1439,                  1686,                 -1098,                              0,                              0,                    -59,                    453,                154702,,,                 -9786,                              0,               -122506,                    -50,                -11566,               -129998,                 48173,                  3288,               -222445,,                -60118,                -75080,                -17392,                 -3814,                              0,                  1124,               -155280,               -377725,               -223023,                192316,                  1380,               -102830,                 90866,,                -97659,                    182,                   -439,                              0,,,,                              0,                -84855,                              0,               -175345,,                148175,                              0,                 20000,                              0,                              0,                 -9024,                     18,                              0,                              0,                              0,                -11783,                147386,                -26887,                 36020,                339335,                375355,                375355,                              0,                  7426,,,,,
6504,2015年01月01日至2015年03月31日,,                193472,                193472,,,                 64646,                  1590,                 12045,                  6036,                   -736,                    798,                   -551,                              0,                              0,                   -386,                      3,                 83445,,,                -14478,,                -80293,                    -65,                -21021,                -28904,                -88828,                 12271,               -221318,,                -76114,                 91195,                -14034,                 -1344,                              0,                    562,                    265,               -221053,               -137608,                 55864,                    939,                -20060,                 36743,,                -61382,,                              0,                    -68,,,,                 12549,                -54611,                              0,               -103512,,                115032,                              0,                              0,                -10000,                 17278,                              0,                     98,,                              0,                              0,                 -5792,                116616,                -15773,                 34074,                339335,                373409,                373409,                              0,                              0,,,,,
6504,2014年度,,                595957,                595957,,,                262196,                  6379,                  5595,                 23782,                 -2706,                    950,                 -2170,                              0,,                 -7676,                 20916,,,,                -20063,                    633,               -220857,                    -63,                 14914,               -142112,                  4655,                -29509,               -392402,,                 86046,                 95393,                -23532,                    984,                              0,,                161294,               -231108,                 76158,                672115,                  2723,               -151200,                523638,,               -105801,                  1540,                    -79,                              0,,,,                -27324,               -238500,                              0,               -370164,,                 12540,                              0,                 40000,                              0,,               -120285,                    302,                              0,               -159720,                              0,                -24592,               -251755,                 39199,                -59082,                398417,                339335,                339335,                              0,                              0,,                              0,                307266,                  2403,                              0
6504,2014年01月01日至2014年09月30日,,                441105,                441105,,,                191455,                  4743,                              0,                 22140,                 -2013,                    844,                              0,                              0,                 -1746,                 -1795,                  6128,                219756,,,                -19438,                    633,               -120502,                    790,                 16126,                -43366,                116968,                -25238,                -74027,,                 42217,                -77357,                -51521,                 -2018,                              0,                  1797,                -86882,               -160909,                 58847,                499952,                  2025,               -136958,                365019,,               -101835,                  1512,                              0,                    276,                    -59,                              0,                 25510,                 -1220,               -109229,                -46680,               -231725,,                              0,                -20466,                140000,                              0,                              0,               -182590,                              0,                   -259,               -159720,                              0,                -22588,               -245623,                  5403,               -106926,                398417,                291491,                291491,,,,,,,
6504,2014年01月01日至2014年06月30日,,                315729,                315729,,,                126329,                  3142,                              0,                 15506,                 -1318,                     63,                 -1205,                              0,                              0,                   -524,                  9389,                151382,,,                -10528,                    633,                -89022,                   -185,                 16670,                 42087,                 31692,                 -6174,                -14827,,                 -1660,                 18192,                -48367,                 -3719,                    293,                  1191,                -34070,                -48897,                102485,                418214,                    880,                -99212,                319882,,                -84074,                     60,                              0,                  2945,,,,                   -820,                -71674,                -46680,               -198393,,                              0,                -79152,                 50000,                              0,                              0,               -112314,                              0,                   -455,                              0,                              0,                -15645,               -157566,                 -5925,                -42002,                398417,                356415,                356415,                              0,                  1850,,,,,
6504,2014年01月01日至2014年03月31日,,                155956,                155956,,,                 63833,                  1578,                              0,                  7954,                   -599,                     20,                   -662,                              0,                              0,                   -534,                  1401,                 72991,,,                    -52,,                -37217,                     15,                 -2698,                -30970,                 25351,                 -6365,                -51936,,                 -6116,                 41938,                -49451,                 -2975,                              0,                    594,                -16010,                -67946,                  5045,                161001,                    500,                -47267,                114234,,                -42836,,                              0,                  3494,,,,                 -2294,                -22371,                -46680,               -110687,,                              0,               -114056,                 50000,                              0,                 35939,                              0,                    357,,                              0,                              0,                 -7662,                -35422,                 14537,                -17338,                398417,                381079,                381079,                              0,                              0,,,,,
6504,2013年度,,                482240,                482240,,,                216227,                  1628,                    107,                 31485,                 -1553,                  3431,                              0,                    160,,                 -6095,                 12270,,,,                -10384,                    223,               -171322,                   -781,                 -3199,               -191506,               -240931,                 -8854,               -626754,,                290031,                276271,                 88428,                  3974,                              0,,                661010,                 34256,                303428,                785668,                  1323,                -94233,                692758,,               -105011,                    208,                   -134,                              0,,,,                 87304,               -369600,                              0,               -387658,,                              0,                -65552,                              0,                -90000,,               -261899,                    924,                              0,                -96750,                410100,                -34132,               -136818,                 19776,                188058,                210359,                398417,                398417,                   -425,                              0,,                 11512,                269172,                  2306,                    491
6504,2013年01月01日至2013年12月31日,,                482240,                482240,,,                216227,                  1628,                    107,                 31485,                 -1553,                  3431,,                    160,                              0,                 -6095,                 12270,,,,                -10384,                    223,               -171322,                   -781,                 -3199,               -191506,               -240931,                 -8854,               -626754,,                290031,                276271,                 88428,                  3974,                              0,,                661010,                 34256,                303428,                785668,                  1323,                -94233,                692758,,               -105011,                    208,                   -134,                              0,,,,                   -421,               -369600,,               -387658,,                              0,                -65552,                              0,                -90000,                              0,               -261899,                  1415,,                -96750,                410100,                -34132,               -136818,                 19776,                188058,                210359,                398417,                398417,                   -425,                 87725,,                 11512,                269172,                  2306,
6504,2013年01月01日至2013年09月30日,,                328925,                328925,,,                148988,                  1194,                  2951,                 27329,                 -1058,                  3025,                 -1601,,,                 -5086,                  9143,,,,                 -6804,                    619,               -114140,                   -298,                 -4612,                -98213,               -227462,                              0,               -450910,,                201892,                224406,                 18998,                  1279,                              0,,                448307,                 -2603,                193794,                522719,                    856,                -74458,                449117,,                -79307,                     50,                    -88,                              0,,,,                              0,               -249852,                              0,               -275860,,,                -32812,                 60000,,,               -363111,                    618,                              0,                -96750,                410100,                -29632,                -51587,                 23605,                145275,                210359,                355634,                355634,                   -417,                 53754,,                 11512,                196397,                  1732,
