證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 取得持有至到期日金融資產,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他非流動資產增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 處分無活絡市場之債務工具投資,　　 存出保證金增加,　　 預付設備款增加,　　 預付設備款減少,　　　 不影響現金流量之收益費損項目,　　　　 股利收入,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　 取得備供出售金融資產,　　 取得無活絡市場之債券投資,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 發放現金股利,　　 庫藏股票買回成本,　　 處分無活絡市場之債券投資,　　　　 金融資產減損損失,　　 其他預付款項增加,　　 其他籌資活動,　　 預付投資款增加
4906,2015年01月01日至2015年06月30日,,                 76200,                 76200,,,                215497,                 32434,                 13359,                 41055,                 35381,                -38925,                 42445,                -36655,                    338,                -11422,                  1974,                -17271,                    780,                278990,,,                455425,                 -1334,                579012,               -134110,                 30682,                416758,                 17424,                   -747,              1363110,,                 -1846,               -317741,                -32535,               -136738,                -11450,               -500310,                862800,              1141790,              1217990,                 31806,                -18636,                -29529,              1201631,,               -169320,                              0,                -27601,                 39371,                -93620,                  6086,                -16304,                 11948,               -249440,,             -1040029,             -1040029,                -21368,               -109206,              2011373,              1902167,              1902167,,,,,,,,,,,,,,,,,,,,
4906,2015年01月01日至2015年03月31日,,                 57155,                 57155,,,                112948,                 16266,,                -16891,                 17260,                -21153,                 21832,                 -7438,                    -77,                 -3444,                 12930,                 -3473,                    393,                129153,,,                419255,                 -8975,                363162,               -113232,                 17119,               -558973,                 31057,                   -747,                148666,,                   -423,                386273,                -11020,               -114452,                  3510,                263888,                412554,                541707,                598862,                 18971,                 -6269,                -13675,                597889,,,,                -27601,,                -48041,                  6028,                  5650,,               -158110,,                396970,                396970,                -28672,                808077,              2011373,              2819450,              2819450,                -85080,                 -8093,                              0,                   -973,,,,,,,,,,,,,,,,
4906,2014年度,,                151041,                151041,,,                471966,                 77337,                              0,                 78073,                 65789,               -194854,                 36076,                -18479,                 39457,                   -255,                  3794,                 25246,                  1538,,,,                216390,                -13624,             -1154872,                -38863,                    -65,               -494191,                -39526,                 -2532,             -1527283,,                 -4174,                417607,                 32627,               -152534,                -54924,                238602,             -1288681,               -736436,               -585395,                193767,                -31785,               -117650,               -541063,,,               -101137,                -59240,,               -271941,                 40078,                -47058,                 33443,             -1006262,,               -361348,             -1129166,                179408,             -2497083,              4508456,              2011373,              2011373,,                  4661,                    818,,,                -33443,                              0,                552245,                              0,               -717855,                -13000,                124969,                              0,               -587689,               -180129,,,,,
4906,2014年01月01日至2014年06月30日,,                 89386,                 89386,,,                237023,                 43139,                              0,                -16612,                 32525,               -109777,                              0,                -12600,                  3712,                    -77,                -16464,                 21100,                    764,                182733,,,                 -1721,                -12054,                538311,               -609001,                 -4053,               -516867,                -19267,                 -1541,               -626193,,                 -3759,                -48089,                228996,               -156398,                -73244,                -52494,               -678687,               -495954,               -406568,                112731,                -31020,                -51700,               -376557,,             -2076513,                -95929,                -59240,                              0,                -70471,                  1248,                -19795,                 11012,             -2309688,,                614509,                614509,                -13174,             -2084910,              4508456,              2423546,              2423546,,,,,,,,,,,,,,,,,,,,
4906,2014年01月01日至2014年03月31日,,                 68146,                 68146,,,                119674,                 21937,,                -36847,                 16498,                -44306,                              0,                 -7934,                 18907,                    -13,                 -4805,                -36256,                    386,                 47241,,,                114180,                -10031,                382012,               -193421,                 11767,               -291421,                 15428,                   -771,                 27743,,                -12213,                -31928,                 88352,                -71594,                -44667,                -72050,                -44307,                  2934,                 71080,                 47178,                 -7146,                   -224,                110888,,,,                              0,,                -23441,                  1247,                 -9268,,             -1542767,,                 80829,                 80829,                  5913,             -1345137,              4508456,              3163319,              3163319,             -1510439,                 -1284,                              0,                    418,,,,,,,,,,,,,,,,
4906,2013年度,,                631236,                631236,,,                487320,                 88948,                -11192,                 15573,                 57799,               -204780,                              0,                -20296,                 23422,                   -110,                -16288,                -84208,                  1494,,,,                311985,                 14519,                  1726,               -270399,               -128706,                289712,                268826,                 -3181,                484482,,                  3793,               -851273,                 60239,                 71347,                 86239,               -629655,               -145173,                176273,                807509,                171666,                -24849,               -210051,                744275,,,                              0,                              0,,               -202024,                 41988,                -79485,                 32790,                653620,,              1343579,                601227,                -75052,              1924070,              2584386,              4508456,              4508456,,                  7512,                 -2426,,,                -32790,                 16554,                321446,                 -8757,              1146209,               -283147,                              0,                    960,               -742352,                              0,,,,,
4906,2013年01月01日至2013年12月31日,,                631236,                631236,,,                487320,                 88948,                -11192,                 15573,                 57799,               -204780,,                -20296,                 23422,                   -110,                -16288,                -84208,                  1494,,,,                311985,                 14519,                  1726,               -270399,               -128706,                289712,                268826,                 -3181,                484482,,                  3793,               -851273,                 60239,                104148,                 86239,               -596854,               -112372,                209074,                840310,                171666,                -57650,               -210051,                744275,,,,                              0,,               -202024,                 41988,                -79485,                 32790,                653620,,              1343579,                601227,                -75052,              1924070,              2584386,              4508456,              4508456,,                  7512,                 -2426,,,                -32790,                 16554,                321446,                 -8757,              1146209,               -283147,,                    960,               -742352,                              0,,                              0,                              0,                              0,
4906,2013年01月01日至2013年09月30日,,                555762,                555762,,,                364973,                 66734,                -11192,                 15758,                 41686,               -139562,,                 -6235,                 20202,                -11925,                 25513,                  5774,                  1118,,,,                373092,                    508,                 15003,               -261709,                 26900,               -261511,                 30292,                 -2398,                -79823,,                  3093,               -257664,                 49124,                128870,                -12571,                -89148,               -168971,                191548,                747310,                128786,                -41288,               -210051,                624757,,,,                              0,,               -179324,                 39352,                -44384,                 31566,               -738586,,              1164257,                421905,                -26225,                281851,              2584386,              2866237,              2866237,,,,,,                -31566,                 19241,                360519,                 -8757,               -295374,                              0,,                    960,               -742352,                              0,,                              0,,,               -282625
4906,2013年01月01日至2013年06月30日,,                475858,                475858,,,                243169,                 43371,                -11192,                -26959,                 28035,               -106565,,                -15025,                 20306,                -11925,                 40909,                -56751,                    741,,,,                744906,                  5213,                108864,               -239681,                 23936,               -341834,                 32446,                 -1593,                332257,,                 -5322,                268667,                 56710,                 37974,                 49703,                407732,                739989,                907344,              1383202,                106072,                -27753,               -204328,              1257193,,,,                              0,,                -75046,                 39187,                -26487,,             -1299158,,                288804,                288804,                -31747,                215092,              2584386,              2799478,              2799478,,,,,,,                 19241,                167355,                 -8757,             -1228055,,,,,                              0,,,,,
4906,2013年01月01日至2013年03月31日,,                262624,                262624,,,                120522,                 22155,,                -41929,                 13500,                 -3917,,                 -7294,                   -475,                              0,                 10157,                -67488,                  1043,,,,                 61837,                -10139,                310027,                -44779,               -618877,               -367315,                 18239,                   -787,               -651794,,                -13688,              1140620,                -46804,                 57319,                 38451,              1175898,                524104,                570378,                833002,                  3424,                 -8270,                -25889,                802267,,,,,,                -88250,                 11978,                              0,,                 35063,,                 63384,                 63384,                 44674,                945388,              2584386,              3529774,              3529774,,                 10210,                 -6715,                              0,,,,                 46274,,,,,,,,                107840,,,,
