證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損迴轉利益,　　　　 非金融資產減損迴轉利益,　　　　 買回應付公司債損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 其他應付款－關係人減少,　　 應付租賃款減少,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損損失,　　 其他應付款－關係人增加,　　 應付租賃款增加,　　 其他非流動負債增加,　　 收取之股利,　　 應付短期票券減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 其他應收款－關係人減少,　　 其他投資活動,　　 其他非流動負債減少,　　 發放現金股利,　　　　 其他項目,　　　　　 其他營業負債增加（減少）,　　 無活絡市場之債務商品投資到期還本,　　 短期借款增加,　　 應付短期票券增加,　　　　　 預付費用（增加）減少
6251,2015年度,,                -92970,                -92970,,,                903259,                  6544,                -20500,                              0,                 55929,                 -8267,                              0,                 11485,                              0,                              0,                 13721,                              0,                962171,,,                 85793,                -26890,                 55343,               -108444,                -15282,                    582,                  2191,                 -6707,,                 -1706,                    686,                 98117,                 65043,               -138991,                 -1384,                 48571,                 -4518,                 65818,                 59111,              1021282,                928312,                  8267,                -56386,                 -8752,                871441,,                 53182,                              0,               -627730,                  6288,                 -2042,                              0,                 -7923,               -578225,,                652520,                              0,                              0,               -546781,                 16164,                              0,                -50000,                 -8970,                -49077,                 -1667,                 12189,                 -7285,                298120,                919256,              1217376,              1217376,,,,,,,,,,,,,,,,,,,,
6251,2015年01月01日至2015年09月30日,,                -92628,                -92628,,,                673153,                  4994,                -11214,                              0,                 42533,                 -6105,                              0,                  3178,                              0,,,                              0,                721363,,,                 27824,                 18628,                 61360,               -154966,                 -4174,                     53,                    993,                -50282,,                   -856,                  1316,                 30626,                 67567,               -144560,                 -2647,                 38783,                              0,                 -9771,                -60053,                661310,                568682,                  6105,                -42244,                 -8752,                523791,,                 53572,                              0,               -511232,                  3827,                    922,,                 -7861,               -460772,,                925298,                              0,                              0,               -516992,                 16141,,,,                -49077,,                349227,                 16612,                428858,                919256,              1348114,              1348114,                 14824,                -20000,                 -6143,,,,,,,,,,,,,,,,,
6251,2015年01月01日至2015年06月30日,,               -144379,               -144379,,,                442549,                  3270,                -11101,                              0,                 28019,                 -3591,                              0,                    247,                              0,,,                              0,                476270,,,                -24294,                404949,                 57716,                -22246,                -10958,                   -535,                  1676,                406308,,                   -441,                  2366,               -296522,                     27,               -177111,                -22660,                  3363,                   -169,               -491147,                -84839,                391431,                247052,                  3591,                -27555,                 -8752,                214336,,                 53228,                              0,               -388922,                  2104,                  1965,,                 -7620,               -339245,,                847240,                              0,                              0,               -464544,,,,,                              0,,                394865,                 -6379,                263577,                919256,              1182833,              1182833,                 16877,                              0,                 -3361,                 15530,,,,,,,,,,,,,,,,
6251,2015年01月01日至2015年03月31日,,                -59406,                -59406,,,                217412,                  1542,                -13000,                              0,                 14505,                 -1505,                              0,                    139,                              0,,,                              0,                219093,,,                -31515,                338736,                 30078,                -69574,                -40117,                   -389,                    992,                228211,,                    820,                   -154,                -70561,                    119,               -160272,                   -132,                   -164,                   -337,               -230681,                 -2470,                216623,                157217,                  1505,,                              0,                144611,,                  4057,                              0,               -258532,                     93,                 -1122,,                 -6650,               -262154,,                477181,                              0,                              0,               -239425,,,,,,,                260832,                 -4257,                139032,                919256,              1058288,              1058288,                              0,                              0,                  5928,                 17148,                -14111,                              0,,,,,,,,,,,,,,
6251,2014年度,,                294630,                294630,,,                843092,                  4760,                  1244,                              0,                 71659,                 -5038,                    639,                  2015,                              0,                              0,                 -1219,                              0,                917152,,,                -97348,               -149808,                -51527,               -200717,                 -6209,                    -78,                   -735,               -506422,,                -12731,                    -23,                106759,                    -79,                149777,                  2625,                  6155,                  5396,                257879,               -248543,                668609,                963239,                  5038,                -74219,                 -2383,                891675,,                -55329,                              0,               -896317,                 46805,                              0,                  5633,                 -6255,               -905463,,               -149006,                              0,                211000,               -547376,                              0,                -29307,                -20000,                -22130,                              0,                   -369,               -557188,                 50581,               -520395,              1439651,                919256,                919256,,,,,,,,,,,,,,,,,,,,
6251,2014年01月01日至2014年09月30日,,                279760,                279760,,,                628528,                  3611,                 -1599,                    578,                 56181,                 -3703,                    639,                  2694,                              0,,,                              0,                684594,,,                 39243,                    -63,                  5944,               -168300,                -58795,                 -1418,                    785,               -182604,,                 -9040,                    353,                130568,                     96,                 36603,                    -40,                 41325,                    -69,                199796,                 17192,                701786,                981546,                  3703,                -56603,                 -2383,                926263,,                -53725,                              0,               -577197,                 33155,                  1410,,                 -5894,               -602251,,               -154312,                              0,                 50000,               -371986,                -24730,,,,                              0,,               -538125,                 13419,               -200694,              1439651,              1238957,              1238957,                 -2335,                -20000,                -17097,,,,,,,,,,,,,,,,,
6251,2014年01月01日至2014年06月30日,,                164664,                164664,,,                410845,                  2672,                 -1559,                              0,                 39600,                 -2254,                    426,                 -8623,                              0,,,                              0,                448376,,,                119464,                165476,                 13984,                -40766,                 17289,                    242,                  1654,                277343,,                 -7866,                  1845,               -150341,                   -207,                 17854,                    -40,                 12471,                   -234,               -126518,                150825,                599201,                763865,                  2254,                -40290,                 -2488,                723341,,                 -3539,                              0,               -300380,                 14842,                  4731,,                 -4715,               -289061,,               -233621,                              0,                 12500,               -315759,,,,,                              0,,               -580932,                 -1087,               -147739,              1439651,              1291912,              1291912,                  7269,                -10000,                -10740,                -23312,,,,,,,,,,,,,,,,
6251,2014年01月01日至2014年03月31日,,                 40813,                 40813,,,                200743,                  1341,                              0,                              0,                 21673,                 -1128,                    213,                 -9954,                              0,,,                              0,                216816,,,                140172,                292595,                  2693,                -86344,                 20290,                    211,                    635,                370252,,                 -8975,                    786,               -123282,                   -278,                -35962,                    -40,                  3326,                   -399,               -164824,                205428,                422244,                463057,                  1128,,                    -62,                442210,,                 -1388,                              0,               -138290,                 12993,                    689,,                 -4514,               -130510,,               -270086,                              0,                  7500,                -62659,,,,,,,               -351118,                 -2803,                -42221,              1439651,              1397430,              1397430,                  3928,                              0,                 -5370,                -20503,                -21913,                              0,,,,,,,,,,,,,,
6251,2013年度,,               -258140,               -258140,,,                900351,                  3158,                 -5000,                    -90,                104976,                 -9273,                    853,                -24298,                  1926,,,                    270,,,,                -81048,                388218,                -15274,                 72604,                 11080,                   -464,                 -1320,                373796,,               -135532,                     80,                -15047,                    -95,                -58363,                     40,                 -3004,,               -205215,                168581,              1163393,                905253,                  9273,               -121439,                -21875,                771212,,,                722720,               -562610,                 28693,                 -5096,,                 -7046,                177954,,                -49476,               -876638,                766681,               -867042,,,,,                -58782,                              0,               -943217,                -37152,                -31203,              1470854,              1439651,              1439651,                 21939,                 63000,                 40400,                 38640,,,,                994812,                  6706,                  1293,,,,,,,,,,
6251,2013年01月01日至2013年12月31日,,               -258140,               -258140,,,                900351,                  3158,                 -5000,                    -90,                104976,                 -9273,                    853,                -24298,                  1926,,,                    270,,,,                -81048,                388218,                -15274,                 72604,                 11080,                   -464,                 -1320,                373796,,               -135532,                     80,                -15047,                    -95,                -58363,                     40,                 -3004,,               -205215,                168581,              1163393,                905253,                  9273,               -121439,                -21875,                771212,,,                722720,               -562610,                 28693,                 -5096,,                 -7046,                177954,,                -49476,               -876638,                766681,               -867042,,,,,                -58782,                              0,               -943217,                -37152,                -31203,              1470854,              1439651,              1439651,                 21939,                 63000,                 40400,                 38640,,                              0,,                994812,                  6706,                  1293,,                              0,                              0,                              0,,,,,,
