證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 支付之股利,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 取得子公司股權,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 其他金融資產增加,　　 其他金融資產減少,　　 舉借長期借款,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 備供出售金融資產減資退回股款,　　 預付投資款減少
5706,2015年01月01日至2015年09月30日,,                218350,                218350,,,                 17831,                  3213,                              0,                    116,                 -1130,                 -7570,                -13482,                -20262,                 -7373,                   -482,                -29139,,,                              0,                 27425,                 25208,                 -2208,                    328,                   -561,                 50192,,                -12641,                 45264,                 -1962,                 30290,                 14985,                     32,                 75968,                126160,                 97021,                315371,                  1130,                  7570,                   -116,                              0,                -17212,                306743,,               -661818,                533326,                              0,                     87,                 -1862,                              0,                 -5061,                 28456,                              0,                  1108,                              0,                 26482,                -79282,,                -17291,                  1132,                              0,                -89372,                -27846,                              0,                    -66,               -133443,                 -1432,                 92586,                223756,                316342,                316342,                              0,,,,,,,,,,,
5706,2015年01月01日至2015年06月30日,,                121459,                121459,,,                 12632,                  3213,                              0,                    116,                 -1014,,                 -5996,                -18782,                  4802,                   -228,                 -5257,,,                              0,                  6410,                 -7095,                    114,                -24773,                     -5,                -25349,,                -11561,                 92306,                 -2525,                 72300,                 50225,                     18,                200763,                175414,                170157,                291616,                  1014,,                   -116,,                 -6543,                285971,,               -371019,                211224,                              0,                     87,                 -1862,                              0,                 -3608,                  8600,                  1025,,,,               -130154,,,                    962,                              0,,                              0,                              0,                    -66,                -16395,                 -3860,                135562,                223756,                359318,                359318,                              0,                 -1153,                 26552,                -17291,,,,,,,,
5706,2015年01月01日至2015年03月31日,,                 37058,                 37058,,,                  6466,,                              0,                    116,                   -755,,                              0,                 -7297,,                 -2284,                  4511,,,                              0,                 -6516,                 52930,                     18,                -46579,                              0,                   -147,,                 -4264,                 23233,                -12616,                 36643,                -15569,                      8,                 27435,                 27288,                 31799,                 68857,                    755,,                   -116,,                   -117,                 69379,,               -147845,                124193,,                              0,                 -1000,                              0,                 -2199,                              0,,                    771,,,                    720,,                -17291,                  1021,                              0,,,,                              0,                -16270,                 -2834,                 50995,                223756,                274751,                274751,,,                 26800,,                  8265,,,,,,,
5706,2014年度,,                150701,                150701,,,                 27849,                    516,                              0,                  1371,                   -503,                 -5019,                   -965,                -12865,,                  6297,,,,                              0,                 10128,                 14055,                   -573,                -49357,                              0,                -25747,,                 10861,                 -5054,                 -4639,                 14113,                 -6484,,                  4142,                -21605,                -15872,                134829,                    503,                 20152,                 -1371,,                -32310,                121803,,               -407159,,                              0,                              0,                              0,                              0,                 -9209,                 13396,                    205,,,,                141206,,                 -1227,                 -4772,,               -183181,                -69194,,                 -2173,               -260547,                   -104,                  2358,                221398,                223756,                223756,                              0,,                 -1363,                              0,                -13242,,                  2294,                              0,                  5733,                 -4655,                545336,                              0
5706,2014年01月01日至2014年09月30日,,                135315,                135315,,,                 19675,                              0,                              0,                    917,                   -305,                 -5006,                     45,                -11036,                 -5671,                   -553,                 -1934,,,                              0,                  8904,                -16770,                  2118,                -32463,                   -340,                -38551,,                 13488,                 41857,                 -7746,                 27341,                    922,                    -31,                 75831,                 37280,                 35346,                170661,                    305,                  5006,                   -917,                              0,                -31720,                143335,,               -395715,                477646,                              0,                              0,                              0,                              0,                 -1642,                  5027,                   -195,                              0,                   -482,                              0,                 84639,,                 -1334,                              0,                 -2569,               -183181,                -28862,                              0,                 -2174,               -218120,                   -895,                  8959,                221398,                230357,                230357,                              0,,,,,,,,,,,
5706,2014年01月01日至2014年06月30日,,                 62019,                 62019,,,                 14224,                              0,                              0,                    689,                   -253,,                    -10,                 -5363,                   -260,                  1200,                 10227,,,                              0,                  6036,                -84710,                  2006,               -157313,                     -2,               -233983,,                 14000,                131716,                 -6645,                142307,                 42179,                    -30,                323527,                 89544,                 99771,                161790,                    253,,                   -689,,                -15992,                145362,,               -239830,                191893,                              0,                              0,                              0,                              0,                   -674,                     10,                   -143,,,,                -48475,,,                 -2754,                              0,,                   -306,                              0,                   -107,                 -4498,                   -493,                 91896,                221398,                313294,                313294,                              0,                              0,                    269,                 -1331,,,,,,,,
5706,2014年01月01日至2014年03月31日,,                 18379,                 18379,,,                  7036,,                              0,                    290,                    -55,,                    -10,                 -5203,,                    688,                  1120,,,                              0,                 17270,                -34592,                    779,                -80634,                              0,                -97177,,                 -2161,                  9178,                -10901,                 23746,                 14723,                    -19,                 34566,                -62611,                -61491,                -43112,                     55,,                   -290,,                    -15,                -43362,,                -50000,                163704,,                              0,                              0,                              0,                   -462,                     10,,                    163,,,                113622,,                   -568,                              0,                 -2021,,,,                              0,                 -2589,                 -1791,                 65880,                221398,                287278,                287278,,,                    207,,                 -1626,,,,,,,
5706,2013年度,,                224274,                224274,,,                 31450,                 18077,                  1259,                    122,                 -1684,                 -8115,                 -2254,                -10735,,                  3749,,,,                 -1259,                -28997,                 26405,                -17245,                 35223,                              0,                 14127,,                -19027,                  1515,                -11107,                -14571,                 11582,,                -33283,                -19156,                -22400,                201874,                  1684,                 22581,                   -122,,                -44882,                181135,,               -861634,,                              0,                    120,                              0,                  3000,                -62602,                 15197,                 -8585,,,,                -20471,,                              0,                  2402,,               -183181,                              0,,                 -2184,               -164445,                  1548,                 -2233,                223631,                221398,                221398,                              0,,                 14375,                 18518,                -15382,,                              0,                -19731,                 -3244,                 -1675,                879658,                              0
5706,2013年01月01日至2013年12月31日,,                224274,                224274,,,                 31450,                 18077,                  1259,                    122,                 -1684,                 -8115,                 -2254,                -10735,,                  3749,,,,                 -1259,                -28997,                 26405,                -17245,                 35223,                              0,                 14127,,                -19027,                  1515,                -11107,                -14571,                 11582,,                -33283,                -19156,                -22400,                201874,                  1684,                 22581,                   -122,,                -44882,                181135,,               -861634,,                              0,                    120,                              0,                  3000,                -62602,                 15197,                 -8585,,,,                -20471,,,                  2402,,               -183181,,,                 -2184,               -164445,                  1548,                 -2233,                223631,                221398,                221398,                              0,,                 14375,                 18518,                -15382,,,                -19731,                 -3244,                 -1675,                879658,                              0
5706,2013年01月01日至2013年09月30日,,                208322,                208322,,,                 24030,                              0,                  1257,                              0,                 -1431,                 -8099,                 -2120,                 -7308,                -17301,                  4596,,,,                 -1025,                 15393,                 -1136,                -14966,                 22700,                   -970,                 19996,,                -20574,                 62856,                -16885,                -17983,                 -4677,,                  2657,                 22653,                 16277,                224599,                  1431,                  9187,                              0,                              0,                -43728,                191489,,               -686697,                737301,                              0,                    120,                              0,                  3000,                -24776,                 15197,                -11147,,,,                 44931,,                              0,                  1781,,               -183181,                              0,                              0,                 -2184,               -183584,                    770,                 53606,                223631,                277237,                277237,                              0,,                 11933,,,,,,                 -6376,                    -80,,
