證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 處分無活絡市場之債務工具投資,　　 取得持有至到期日金融資產,　　 預付投資款增加,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 現金增資,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得無活絡市場之債務工具投資,　　　　　 應收帳款－關係人（增加）減少,　　　 不影響現金流量之收益費損項目,　　　　 股利收入,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應收票據－關係人（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 收取之股利,　　 對子公司之收購（扣除所取得之現金）,　　 其他金融資產減少,　　 其他非流動資產增加,　　 應付短期票券減少,　　 其他應收款增加,　　 處分子公司,　　 其他金融資產增加,　　　　 其他項目
1528,2015年01月01日至2015年09月30日,,                 12425,                 12425,,,                 52993,                  4233,                 -4507,                 17853,                 -1100,                  1485,                    446,                   -757,                              0,                -21153,                 49493,,,                 -2685,                -26019,                -26950,                 91531,                -46546,                    977,                 -9692,,                   -805,                -88236,                  6936,                  3773,                 17606,                 -3773,                -64499,                -74191,                -24698,                -12273,                  1093,                -17042,                -33606,                -61828,,                -51868,                 16589,                  3885,                -36232,                              0,                -53676,                  3690,                  9479,                 -7384,                 -4332,               -119849,,                416051,                              0,               -661177,                     40,                -18000,                363000,                -10404,                 14999,                104509,                 13597,                -63571,                567333,                503762,                503762,,,,,,,,,,,,,,,,,,,
1528,2015年01月01日至2015年06月30日,,                 10139,                 10139,,,                 35350,                  2448,                 -1511,                 12684,                   -754,,                    -12,                   -757,                              0,                 -5350,                 42098,,,                 67383,                -86340,                -22117,                 84326,                -74926,                 27611,                 -4063,,                   -390,                 46816,                 15509,                  4978,                 -2085,                   -864,                 63964,                 59901,                101999,                112138,                    723,                -12029,                -31178,                 69654,,                -50000,                 16589,                              0,,                              0,                -37865,                  3682,                -19438,,                 38798,                -60284,,                145925,,               -609710,                     40,,                363000,,                 14997,                -85748,                -15384,                -91762,                567333,                475571,                475571,                -12050,,,,,,,,,,,,,,,,,,
1528,2015年01月01日至2015年03月31日,,                     39,                     39,,,                 17809,                  1044,                  6073,                  7076,                   -338,,                    561,                              0,                  6241,,                 38466,,,                 54712,                 -3789,                -33655,                  4606,                -46677,                 25236,                    433,,                  2839,                 18133,                 14432,                  6219,                 15778,                 -1207,                 56194,                 56627,                 95093,                 95132,                    187,                 -5827,                 -9719,                 79773,,,                              0,                              0,,,                -30913,                  2802,,,                 15597,                -27103,,                125880,,               -167425,                     40,,                 21070,,                 16186,                 -4249,                -10266,                 38155,                567333,                605488,                605488,                -14589,                              0,,,,,,,,,,,,,,,,,
1528,2014年度,,                 42419,                 42419,,,                 85868,                  6788,                 13927,                 33467,                -16624,,                  8627,                  5026,,,,,,                -38075,                110626,                 -6811,                 63627,,                 -9894,                165891,,                 -2743,                -57257,                -22568,                 -6459,                -28052,,               -132715,                 33176,                170255,                212674,                 18140,                -33728,                -12566,                184520,,                              0,                 51938,,,,                -46392,                  8520,,                -62609,,               -258476,,                 -3743,                569502,               -543479,,                -88200,,,                -32039,                -97959,                 16299,               -155616,                722949,                567333,                567333,,                 29313,,                              0,                137079,                              0,                 17105,                              0,                   -359,                -15277,                              0,               -388552,                243626,                -65007,                              0,,,,
1528,2014年01月01日至2014年09月30日,,                 14703,                 14703,,,                 64900,                  4548,                 38368,                 25529,                 -7394,                              0,                  1559,                  5026,                 61615,                              0,                194151,,,                -72726,                -60475,                -18728,               -100273,                -32799,                  3287,               -281714,,                  2982,                 55641,                 32595,                 -7535,                -24633,                 -2845,                 56205,               -225509,                -31358,                -16655,                  8385,                -25811,                -14903,                -48984,,                              0,                 51938,                194286,                              0,               -172141,                -34954,                     39,                -18659,               -126934,                 -5009,               -111434,,                315282,                244311,               -220616,                              0,                -88200,                              0,                              0,                -32039,                218738,                  1840,                 60160,                722949,                783109,                783109,,,,,,,,,,,,,,,,,,,
1528,2014年01月01日至2014年06月30日,,                 38058,                 38058,,,                 43502,                  2961,                 32850,                 16893,                 -7930,,                    567,                  5026,                 10765,                              0,                104634,,,                -64315,               -153460,                -39813,                -15739,                              0,                -57258,               -330585,,                  1234,                148119,                 31910,                 -8183,                  8037,                 -1802,                179315,               -151270,                -46636,                 -8578,                  8878,                -17263,                 -5952,                -22915,,                              0,                 51938,                 99296,,               -126240,                -12317,                              0,                              0,,                -24143,                -11466,,                233587,,                -77370,                              0,,                              0,,                -32039,                124178,                 -9441,                 80356,                722949,                803305,                803305,                              0,,,,,,,,,,,,,,,,,,
1528,2014年01月01日至2014年03月31日,,                 31024,                 31024,,,                 21792,                  1472,                 -1252,                  8448,                 -3273,,                    271,                  4631,                  2467,,                 34556,,,                -12529,                -75737,                -50848,                -35875,                              0,                -46364,               -220985,,                  7668,                118386,                  7178,                 -6568,                 42010,                 -4347,                164327,                -56658,                -22102,                  8922,                  3035,                 -8721,                    303,                  3539,,,                 44293,                143262,,,                 -4979,                              0,,,                 -5575,                177001,,                 21721,,                -35635,                              0,,                              0,,                -32039,                -45953,                    -51,                134536,                722949,                857485,                857485,                              0,                    368,,,,,,,,,,,,,,,,,
1528,2013年度,,                126056,                126056,,,                 88450,                  7880,                 -7402,                 26398,                -16509,,                  3865,                -12946,,,,,,                113950,               -205861,                  4467,                 41154,,                -11060,                -46337,,                  1864,                 14600,                113037,                   -452,                 22304,,                116858,                 70521,                156120,                282176,                 15204,                -26025,                -29967,                245525,,                -38759,                 41526,,,,                -38640,                  6708,,                              0,,                 30681,,                327788,                335626,               -306108,,                -80850,,,                              0,                196456,                 27272,                499934,                223015,                722949,                722949,,                 13012,,                 -4137,                 85599,                  3150,                 -5149,                              0,                   -838,                -33657,                  4137,                              0,                 66919,                 -7073,                -80000,,,,
1528,2013年01月01日至2013年12月31日,,                126056,                126056,,,                 88450,                  7880,                 -7402,                 26398,                -16509,,                  3865,                -12946,,,,,,                113950,               -205861,                  4467,                 41154,,                -11060,                -46337,,                  1864,                 14600,                113037,                   -452,                 22304,,                116858,                 70521,                156120,                282176,                 15204,                -26025,                -29967,                245525,,                -38759,                 41526,,,,                -38640,                  6708,,,,                 30681,,                327788,                335626,               -306108,,                -80850,,,                              0,                196456,                 27272,                499934,                223015,                722949,                722949,,                 13012,,                 -4137,                 85599,                  3150,                 -5149,                              0,                   -838,                -33657,                  4137,,,                 -7073,                -80000,,                              0,                 66919,
1528,2013年01月01日至2013年09月30日,,                101550,                101550,,,                 66240,                  5979,                 20804,                 18956,                 -8184,,                  2414,                 -8306,,,,,,                 82452,               -345855,                -17753,                 69021,,                -32948,               -232236,,                  1783,                116395,                135678,                    695,                 10448,,                237143,                  4907,                114753,                216303,                  7649,                -18566,                -29640,                179883,,                -33896,                 28886,,,,                -26765,                  6520,,,,               -236120,,                358847,                380983,               -299166,,                -80850,,,                              0,                279814,                 19572,                243149,                223015,                466164,                466164,,                  9170,,                 -4137,                109846,                  3150,                    527,                              0,                 -1197,                -26659,                  4137,,,                -13464,                -80000,,,               -197401,                 16080
