證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 其他金融資產減少,　　 其他非流動資產增加,　　 預付設備款增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款減少,　　 其他非流動資產減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　 處分不動產、廠房及設備,　　 現金增資,　　 其他非流動負債減少,　　　　　 應付帳款－關係人增加（減少）,　　 其他預付款項增加,　　 其他非流動負債增加
1817,2015年01月01日至2015年09月30日,,                221494,                221494,,,                 36801,                  1204,                   -191,                  1354,                   -632,                     55,                  5527,                  1566,                 45684,,,                -47131,                 -6494,                  1302,                 -1728,                -20287,                  3089,                -15696,                 12039,                -74906,,                              0,                -11527,                -19608,                     11,                  4503,                   -233,                     39,                -26815,               -101721,                -56037,                165457,                    632,                 -1354,                -47284,                117451,,                -18104,                 -2815,                   -471,                              0,               -139546,                -13406,                 -1183,               -175525,,                 18543,                 15484,                -28397,                              0,                     -4,               -130680,               -125054,                    -42,               -183170,                339302,                156132,                156132,,,,,,,,,,,,
1817,2015年01月01日至2015年06月30日,,                126081,                126081,,,                 24244,                    815,                    218,                    933,                   -489,                     55,                  5527,                  1044,                 32347,,,                -52436,                  6055,                   -477,                    367,                 -9492,                    919,                   -672,                 15231,                -40505,,                              0,                -23006,                -12722,                     17,                  5775,                    -35,                     28,                -29943,                -70448,                -38101,                 87980,                    489,                   -933,                -26859,                 60677,,                -15412,                 -2802,                   -471,                              0,                -69136,                 -8634,                 -1183,                -97638,,,                 12581,                -23778,,                    -15,,                  2863,                -15587,                -49685,                339302,                289617,                289617,                 14075,,,,,,,,,,,
1817,2015年01月01日至2015年03月31日,,                 55608,                 55608,,,                 11982,                    776,                   -198,                    422,                   -131,,                  3419,,                 16270,,,                  1421,                   -488,                  1031,                   -419,                 -5832,                 -3581,                 -1021,                 20620,                 11731,,                              0,                -19448,                -21440,,                  5531,                    -20,                     16,                -35361,                -23630,                 -7360,                 48248,                    131,                   -422,                 -7391,                 40566,,                 -3477,                   -113,                   -471,                              0,,                 -9859,                 -1183,                -43137,,                              0,                  7428,                 -5956,                              0,                     -6,,                 -4696,                 -7099,                -14366,                339302,                324936,                324936,                 -6162,                -28034,,,,,,,,,,
1817,2014年度,,                240377,                240377,,,                 46281,                  3162,                  1682,                  2104,                   -799,                     23,                  4633,                    357,,,,                    483,                  7728,                    685,                  1738,                -96580,                 13931,                 -1624,                -13506,                -87145,,                 -2600,                   -352,                  3943,,                 -3210,                   -610,,                -18373,               -105518,                -48075,                192302,                    799,                 -2141,                -54386,                136574,,               -107953,                   -315,                 -2575,                    200,,                -15108,,               -130812,,,                 21700,                -12160,                     15,                              0,               -116160,               -121171,                 16350,                -99059,                438361,                339302,                339302,                -14566,                 -5061,,                 57443,                -15544,                              0,                              0,                              0,,,,
1817,2014年01月01日至2014年09月30日,,                165734,                165734,,,                 34631,                    864,                    762,                  1638,                   -530,                              0,                  2584,                  1395,                 41344,,,                    282,                  8655,                    256,                    437,                -65360,                 12709,                 -3112,                 -9776,                -55909,,                 -2249,                -10480,                -15304,                              0,                 -1183,                   -610,                -11160,                -40986,                -96895,                -55551,                110183,                    530,                 -1675,                -49809,                 59229,,                -83867,                   -456,                 -2575,                 -1120,                 -1213,                -33686,                              0,               -122917,,                  3506,                 19411,                -11749,                      5,                              0,               -116160,               -104987,                  3056,               -165619,                438361,                272742,                272742,,,,,,,,,,,,
1817,2014年01月01日至2014年06月30日,,                 93932,                 93932,,,                 21999,                    488,                  1684,                  1033,                   -470,                              0,                  2170,                    892,                 27796,,,                    991,                 12278,                   -556,                  1489,                -35893,                 10137,                 -6221,                 -3939,                -21714,,                   -987,                -24182,                -17044,                              0,                 -1046,                  1390,                     30,                -41839,                -63553,                -35757,                 58175,                    470,                 -1070,                -33103,                 24472,,                -19709,                 -1263,                 -2575,                   -320,                    322,                -24202,                              0,                -47747,,,                              0,                 -5758,,                     -1,,                  9939,                 -1275,                -14611,                438361,                423750,                423750,                 15698,,,,,,,,,,,
1817,2014年01月01日至2014年03月31日,,                 37970,                 37970,,,                 10842,                    565,                  1398,                    420,                   -172,,                              0,,                 13053,,,                   -847,                 25258,                    433,                    926,                -41662,                  6026,                 -9721,                    215,                -19372,,                 -2421,                -22608,                -26842,,                    425,                   -740,                    -23,                -52209,                -71581,                -58528,                -20558,                    172,                   -457,                  2216,                -18627,,                 -9036,                   -164,                 -1939,                    200,,                   -702,                              0,                -10958,,                  3915,                              0,                 -5243,                      7,                              0,,                 -1321,                  1321,                -29585,                438361,                408776,                408776,                              0,                    683,,,,,,,,,,
1817,2013年度,,                225303,                225303,,,                 41652,                  2391,                  2141,                  2409,                   -921,                     20,                  5710,                              0,,,,                 18097,                -26118,                 -1228,                  2061,                 -2184,                -13546,                  1451,                 -9169,                -30636,,                    419,                 14690,                   -337,,                 -2407,                 -1291,,                  6882,                -23754,                 29648,                254951,                    921,                 -3205,                -30136,                222531,,                -19100,                 -2284,                   -294,                   -200,,                -11533,,                -32563,,,                              0,                -10440,                              0,                 -1436,                -77400,                125023,                  1550,                316541,                121820,                438361,                438361,                 -1401,                    310,,                 53402,                    187,                 -4379,                    538,                215700,,,,
1817,2013年01月01日至2013年12月31日,,                225303,                225303,,,                 41652,                  2391,                  2141,                  2409,                   -921,                     20,                  5710,,,,,                 18097,                -26118,                 -1228,                  2061,                 -2184,                -13546,                  1451,                 -9169,                -30636,,                    419,                 14690,                   -337,,                 -2407,                 -1291,,                  6882,                -23754,                 29648,                254951,                    921,                 -3205,                -30136,                222531,,                -19100,                 -2284,                   -294,                   -200,,                -11533,,                -32563,,,                              0,                -10440,                 -1436,,                -77400,                125023,                  1550,                316541,                121820,                438361,                438361,                 -1401,                    310,,                 53402,                    187,                 -4379,                    538,                215700,,                              0,                              0,
1817,2013年01月01日至2013年09月30日,,                149939,                149939,,,                 31896,                  2211,                  3142,                  1795,                   -660,                     -3,                  3547,,,,,                -24375,                 -8570,                    984,                  1295,                 -5739,                  1826,                -14776,                 -2022,                -51377,,                   -578,                 -2160,                 -9840,,                 -3348,                  1424,,                -14420,                -65797,                -23869,                126070,                    660,                 -2569,                -31162,                 92999,,                -14178,                 -2285,                   -294,                              0,                    146,                 -8463,,                -24536,,,                    254,                -10912,                              0,                 -1438,                -77400,                -83960,                    816,                -14681,                121820,                107139,                107139,                  5253,,,                 41928,                     82,,                    538,,                    283,,,
