證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 生物資產（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 無活絡市場之債務工具投資到期還本,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得避險之衍生金融資產,　　 處分避險之衍生金融資產,　　 處分採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 處分子公司,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得投資性不動產,　　 處分投資性不動產,　　 其他非流動資產增加,　　 預付設備款增加,　　 其他預付款項減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他預付款項增加,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 無活絡市場之債務商品投資到期還本,　　 取得採用權益法之投資,　　 應付短期票券減少,　　　　 攤銷費用,　　　　　 應付票據－關係人增加（減少）,　　 其他非流動資產減少,　　 因合併產生之現金流入,　　 其他非流動負債減少
1907,2015年01月01日至2015年09月30日,,              1458026,              1458026,,,              2597857,                  8287,                 65940,                662910,               -187335,               -586705,                 17875,                -16522,               -175379,                 13004,                              0,                397975,                    521,              2798428,,,             -1015288,               -471966,                153034,               -584242,               -106453,               -290196,               -521467,             -2836578,,              1591806,                  2062,               -268686,               -593685,              1017400,                -15500,              1733397,             -1103181,              1695247,              3153273,                124955,                740670,               -680478,               -319537,              3018883,,            -14597783,             14654053,                -14848,                 85795,                              0,                747422,               -165991,                109992,                 30278,                              0,                 12202,                    574,                -50092,                 -6775,                              0,             -2642186,                 46209,                -13360,                 86419,                155957,             -1101346,               -194148,             -2857628,,                              0,               -779826,              3660031,             -1250000,                              0,             -1437615,                -50047,               -664148,               -360248,               -881853,                 11901,               -708697,              2773107,              2064410,              2064410,,,,,,,,,,,,,,
1907,2015年01月01日至2015年06月30日,,                614597,                614597,,,              1740094,                  1525,                 -3162,                441511,               -126491,                 -1490,                153814,                -14657,                -49325,,                 15593,                102559,                    477,              2260448,,,               -610886,               -168739,                185734,               -656774,                -45263,               -219293,               -134878,             -1650099,,                446731,               -349712,                -76018,               -147847,                506568,                 -9810,                369912,             -1280187,                980261,              1594858,                130405,                111748,               -508202,               -223140,              1105669,,            -10778064,              8625407,                -12113,                 85795,                              0,                782259,               -146306,                 42171,                 21771,                -48111,,                    574,                -50092,                              0,                              0,             -1579196,                 22882,                 -1740,                 60148,                264648,               -785074,                -43039,             -3538080,,                              0,                -73285,              2322574,             -1250000,              2425256,,                 -1000,,                  7576,              3431121,                -40712,                957998,              2773107,              3731105,              3731105,,,,,,,,,,,,,,
1907,2015年01月01日至2015年03月31日,,                 37921,                 37921,,,                870399,                    896,                 14809,                225886,                -63800,                    -61,                184472,                   -533,                -44342,,                 -1801,                104237,                   -186,              1289976,,,                  2810,                477247,                185140,               -487149,                -32671,               -179414,               -110484,               -144521,,                -14375,               -262423,               -100452,               -489163,                300763,                 -4960,               -570610,               -715131,                574845,                612766,                 92266,                     61,               -262232,                -43488,                399373,,             -5425212,              4164410,                -12113,                 74851,                              0,                543955,,                 37302,,                -27973,                              0,,,,,               -702498,                  3063,                 -4544,,                249203,               -520863,,             -1631667,,              1995037,,              2022384,,,               -927851,                -26118,,                  5048,              3068500,                -24233,              1811973,              2773107,              4585080,              4585080,                -11248,,,,,,,,,,,,,
1907,2014年度,,              1254407,              1254407,,,              3241007,                123655,                 41786,                871811,               -234261,               -436264,               -235851,                 37698,               -158133,,                -45247,               -219980,                -33001,,,,               -187212,             -1568289,                -86304,                -79328,               -165964,                 -2875,                 49928,             -2040044,,                 92387,                296565,                194758,                 40709,                 94399,,                676437,             -1363607,              1599568,              2853975,                240689,                508642,               -820539,               -444838,              2337929,,            -14810185,             14800791,             -1639635,              1260984,,,               -530306,                 30104,                 29386,,                  3828,                              0,                -85608,                -87059,                  1400,             -4886516,                237621,                -17344,                113215,               -271760,               -441997,,             -7141115,,                              0,             -1085975,                687341,             -1138176,              6646695,,                 -8571,               -664148,               -525203,              3911963,                 97764,               -793459,              3566566,              2773107,              2773107,               -113099,,                  9955,              2963175,                -42381,               -734935,                              0,                              0,,,,,,
1907,2014年01月01日至2014年09月30日,,                553883,                553883,,,              2403971,                  8819,                 19415,                657619,               -191978,               -413390,                -74975,                 30513,               -150933,                              0,                -42225,                -67890,                -32637,              2146309,,,               -588211,             -1019999,                -99406,                337576,               -368374,               -171623,               -236837,             -2146874,,                 62288,                 75194,                152346,                -49579,                 96757,                -40145,                296861,             -1850013,                296296,                850179,                163718,                485521,               -682077,               -240096,                577245,,            -10316816,             10262330,               -823728,              1190466,             -1059195,                              0,               -530128,                 29910,                 18386,                   -886,                              0,                              0,                -85608,                -87059,                  1400,             -3362391,                189849,                -17344,                100314,                170669,               -411619,                -32587,             -4764037,,              1297296,                              0,                657130,             -1250000,              3235902,                              0,                -49684,               -664148,               -525203,              2701293,                 26442,             -1459057,              3566566,              2107509,              2107509,,,,,,,,,,,,,,
1907,2014年01月01日至2014年06月30日,,               -149727,               -149727,,,              1583953,                  9929,                  9148,                416728,               -117508,                -15221,                -19942,                 11685,                -53183,,                -41786,                 26790,                -32805,              1777788,,,               -420459,               -793916,                -59666,                 51897,                -81173,                 27012,                350084,               -926221,,                 60121,               -300738,                 45754,               -205233,                -74442,                -17759,               -492297,             -1418518,                359270,                209543,                102508,                 87435,               -460031,               -146428,               -206973,,             -5649418,              5657227,               -326259,                226235,             -1173168,                              0,               -530187,                              0,                  5494,                 -3292,,                              0,                -85608,                -84675,                  1400,             -2527601,                159300,                -16910,                 13017,                119938,               -208616,                -38896,             -4462019,,              2821464,                              0,                194105,             -1248687,              2365743,,                 14062,,               -333308,              3813379,                 19631,               -835982,              3566566,              2730584,              2730584,,,,,,,,,,,,,,
1907,2014年01月01日至2014年03月31日,,               -247664,               -247664,,,                762467,                 -1408,                  9976,                200606,                -53556,                    -55,                122022,                 -9492,                -30751,,                -30144,                 74680,                -31436,              1012909,,,               -402742,               -481800,                 54382,               -614989,                -54067,                -78500,               -355505,             -1933221,,                 58327,                -28126,                     -4,               -719277,                257179,                -22601,               -454502,             -2387723,             -1374814,             -1622478,                 43693,                     55,               -197189,                -33182,             -1809101,,             -3261846,              3677331,               -202413,                 68800,               -825865,                              0,,                              0,,                              0,                 11482,,,,,             -1354416,                128641,                              0,,                -70032,               -151901,,             -2019834,,              3550407,,                621316,,,               -888672,                 77136,,                              0,              3360187,                -46065,               -514813,              3566566,              3051753,              3051753,                -39615,,,,,,,,,,,,,
1907,2013年度,,              1050786,              1050786,,,              2975375,                 91405,                 30167,                660234,               -150778,               -351867,               -185089,                -62096,               -380558,,                 35776,               -124805,                 -8763,,,,               -513301,               -599925,                 79109,               -190925,               -172069,                 30107,               -495189,             -1862193,,                -99274,                823523,                 -2501,                -37982,               -390890,,                257015,             -1605178,                923823,              1974609,                158159,                396340,               -667457,               -496690,              1364961,,             -7324214,              7354636,               -868276,                906064,,,               -105868,                470488,                 15390,,                  4068,                 22955,                              0,                              0,                 32340,             -7933902,                802971,               -146968,                187672,               -130628,                              0,,             -6658013,,              1226765,                              0,              1024957,                              0,              6966531,,                 74391,               -664148,             -3627055,              5001441,                -62294,               -353905,              3920471,              3566566,              3566566,               -271367,,                              0,              2529001,                -35861,                              0,                994026,               -667400,,,,,,
1907,2013年01月01日至2013年12月31日,,              1050786,              1050786,,,              2975375,                 91405,                 30167,                660234,               -150778,               -351867,               -185089,                -62096,               -380558,,                 35776,               -124805,                 -8763,,,,               -513301,               -599925,                 79109,               -190925,               -172069,                 30107,               -495189,             -1862193,,                -99274,                823523,                 -2501,                -37982,               -390890,,                257015,             -1605178,                923823,              1974609,                158159,                396340,               -667457,               -496690,              1364961,,             -7324214,              7354636,               -868276,                906064,,,               -105868,                470488,                 15390,,                  4068,                 22955,                              0,,                 32340,             -7933902,                802971,               -146968,                187672,               -130628,                              0,,             -6658013,,              1226765,,              1024957,,              6966531,                              0,                 74391,               -664148,             -3627055,              5001441,                -62294,               -353905,              3920471,              3566566,              3566566,               -271367,,                              0,              2529001,                -35861,                              0,                994026,               -667400,,,,,,
1907,2013年01月01日至2013年09月30日,,                686230,                686230,,,              2302502,                 34398,                 40751,                478952,               -106282,               -341417,                 30072,                -40550,               -146748,,                 41055,                 22137,                -37149,,,,                160107,               -551999,                105488,                 58790,               -127746,                -93553,               -474483,               -923396,,                -56688,                668844,                 -2727,               -381575,                264481,,                439658,               -483738,              1793983,              2480213,                109288,                385953,               -518845,               -469288,              1987321,,             -5498351,              5561730,               -462605,                552312,,,                -93582,                199043,                 15390,                 -3090,,,               -658040,                              0,                 32340,             -5457404,                 15985,               -113043,                153108,               -293792,                              0,                -69315,             -5550463,,              2999999,,              1205510,                              0,              5299733,,                 51457,               -664148,             -3627055,              5265496,                -37633,              1664721,              3920471,              5585192,              5585192,,,,              2277721,                -52677,                              0,                568851,,,,,,,
