證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存入保證金減少,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 取得投資性不動產,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 非金融資產減損迴轉利益
6235,2015年01月01日至2015年09月30日,,                 -8155,                 -8155,,,                134035,                  9119,                  4759,                 -3426,                  4153,                -15700,                   -287,                 96700,                -19998,                209355,,,                  2564,                -46845,                -10291,                 10775,                    526,               -103052,                -32442,                 -7301,                 -3966,               -190032,,                  1591,                 84838,                  7131,                -30422,                 -6705,                   -627,                 -1949,                 53857,               -136175,                 73180,                 65025,                  2709,                 -5025,                              0,                 62709,,                              0,                  1233,                  4500,                -14938,                 24240,                   -493,                    509,                   -784,                 -5074,                  9193,,                -74837,                 17143,                -57694,                 51203,                 65411,                404311,                469722,                469722,,,,,,,,,,,
6235,2015年01月01日至2015年06月30日,,                  5878,                  5878,,,                 96776,                  6242,                  3174,                 -2362,                  3332,                     29,                   -287,                 64088,                  8764,                179756,,,                     -6,                 34169,                -16059,                  2442,                    -75,                -33070,,                 -8822,                 -5236,                -26657,,                 -1983,                  7171,                  3657,                -68580,                 -6625,                   -464,                    -61,                -66885,                -93542,                 86214,                 92092,                  2709,                 -3313,                              0,                 91488,,                              0,                  1233,                  4500,                 -5643,                    472,,                     99,                   -234,                 -4378,                 -3951,,                  2494,                  4304,                  5295,                -15354,                 77478,                404311,                481789,                481789,                 -1503,,,,,,,,,,
6235,2015年01月01日至2015年03月31日,,                -13049,                -13049,,,                 52440,                  3037,                  1636,                   -934,                  2293,,                   -287,                 22233,                  5241,                 85659,,,                 -4456,                 -9331,                 -8218,                  4908,                   -314,                  8298,,                    460,                 -4130,                -12783,,                 -3233,                  4211,                  1502,                -43655,                -19518,                   -155,                 -4232,                -65080,                -77863,                  7796,                 -5253,                    783,                 -1636,                              0,                 -6106,,,                  1233,                  4500,                   -828,,,                    514,,                 -3764,                  1655,,                 30262,,                 28978,                 -5513,                 19014,                404311,                423325,                423325,                 -1284,                              0,,,,,,,,,
6235,2014年度,,               -200359,               -200359,,,                241202,                  9591,                  8897,                 -3825,                  9172,                  9792,,                 65478,                -22379,,,,                 -2359,                240816,                  9752,                 -7731,                    795,                -90132,,                 83962,                 -2489,                232614,,                 -1353,                -61907,                 -4041,                -51696,                -17784,                 -1493,                 -5332,               -143606,                 89008,                465341,                264982,                  3441,                 -8882,                 -7372,                252169,,,,,                -16875,                  9170,                              0,                    699,                 -1803,                   -784,                -10152,,               -235777,                  9775,               -226002,                 31643,                 47658,                356653,                404311,                404311,,,,                              0,                 58405,                376333,                -12050,                 11891,                   -400,,
6235,2014年01月01日至2014年09月30日,,               -196766,               -196766,,,                185580,                  6587,                  7086,                 -2443,                  6879,                  8899,                              0,                 60880,                 -5276,                268192,,,                 -7472,                384215,                  8769,                  1962,                -15960,                -51799,                  3592,                 70623,                 -3322,                390608,,                 -3464,               -117179,                 -4197,                -38400,                -26648,                 -1200,                   -826,               -191914,                198694,                466886,                270120,                  2441,                 -7304,                 -7372,                257885,,                -12050,                  9366,                              0,                -13866,                  4501,                              0,                    699,                 -1803,                   -408,                -13561,,               -172630,                  9145,               -163485,                  4921,                 85760,                356653,                442413,                442413,,,,,,,,,,,
6235,2014年01月01日至2014年06月30日,,               -126067,               -126067,,,                129321,                  3937,                  5060,                 -2022,                  4586,                 10071,                              0,                 38612,                  2625,                192190,,,                 -7475,                339920,                 10155,                -23769,                   -797,                -27028,,                 63097,                 -1513,                352590,,                 -2676,               -136110,                 -3458,                -60987,                -24601,                   -858,                 -2207,               -230897,                121693,                313883,                187816,                  1396,                 -4948,                 -7372,                176892,,                -12050,                  8853,                              0,                -11296,                  2636,,                  1141,                   -693,                   -286,                -11695,,               -115316,                  3349,               -111967,                 -3734,                 49496,                356653,                406149,                406149,                              0,,,,,,,,,,
6235,2014年01月01日至2014年03月31日,,                -50466,                -50466,,,                 69722,                  1887,                  2572,                   -876,                  2293,,                              0,                 24402,                 -5920,                 96237,,,                 -2169,                142416,                  1790,                  1593,                    494,                  8372,,                 58547,                   -547,                210496,,                 -2287,                -48008,                 -1244,                -59531,                 -5982,                 -1707,                 -2189,               -120948,                 89548,                185785,                135319,                    126,                 -2937,                 -6689,                125819,,,                              0,                              0,                 -9153,,,                  1144,,                              0,                 -8009,,                -65081,,                -64935,                 17379,                 70254,                356653,                426907,                426907,                    146,                  2157,,,,,,,,,
6235,2013年度,,                -86117,                -86117,,,                267620,                  4582,                  8724,                 -1313,                  6497,                 -1623,,                124418,                 -2457,,,,                 -1433,                 14220,                 73164,                 -4690,                   -446,                 56571,,                -94107,                -14379,                 28900,,                   -780,                -64911,                -68527,                -15604,                -15637,                 -5033,                 -8043,               -178535,               -149635,                257600,                171483,                  1489,                 -8573,                -10970,                153429,,,,,               -115166,                  8566,                 -1469,                    218,                 -1151,                 -4963,               -120891,,                 24048,                  1867,                 25915,                 12441,                 70894,                285759,                356653,                356653,,,,                    787,                              0,                407235,                -10734,                  5258,                 -1450,,
6235,2013年01月01日至2013年12月31日,,                -86117,                -86117,,,                267620,                  4582,                  8724,                 -1313,                  6497,                 -1623,,                124418,,,,,                 -1433,                 14743,                 73164,                 -4690,                   -446,                 56571,,                -94107,                -14379,                 29423,,                   -780,                -64765,                -68527,                -15604,                -15637,                 -5033,                 -8043,               -178389,               -148966,                260726,                174609,                  1489,                 -8573,                -10970,                156555,,,,,               -116204,                  8566,                 -1469,                    218,                 -1151,                 -4963,               -120891,,                 24048,                  1867,                 25915,                  9315,                 70894,                285759,                356653,                356653,,,,                    787,,                409692,                -10734,                  5258,                   -412,,
6235,2013年01月01日至2013年09月30日,,               -113063,               -113063,,,                201327,                  2652,                  6600,                   -876,                  4204,                 -2848,,                 94221,                  1009,,,,                    -89,                206593,                 72487,                 -3413,                   -392,                 37066,,                -59731,                     89,                252610,,                 -3638,               -100130,                -64873,                   -940,                 18848,                 -3875,                 -8844,               -163452,                 89158,                396234,                283171,                  1051,                 -6554,                -10663,                267005,,,,,                -89046,                  8181,                   -653,                              0,                 -1151,                -12299,                -99476,,               -143617,,               -142089,                 29040,                 54480,                285759,                340239,                340239,                  1528,,,                    787,,                307076,                 -9756,                  5248,,                              0,
