證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他非流動負債增加,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　 其他非流動資產減少,　　 其他金融資產減少,　　 應付短期票券減少,　　　　 非金融資產減損迴轉利益
6108,2015年01月01日至2015年09月30日,,               -188454,               -188454,,,                445704,                  3932,                 26523,                              0,                 78634,                -53919,                 -3546,                 16281,                      7,                 29778,                543394,,,                 -2221,                  8307,                336020,               -136225,                -78944,                -35659,                 91278,,                 -9899,                  6223,                -60018,                -73888,                 13914,                 -1073,               -124741,                -33463,                509931,                321477,                 40154,                -77221,                -61052,                223358,,                              0,               -621970,                290103,                   -609,             -1329483,                -61938,                  3546,             -1720351,,              9534165,             -8014330,                 50051,                 -2500,                786941,               -513134,                   -626,               -175889,              1664678,                116678,                284363,              1398869,              1683232,              1683232,,,,,,,,
6108,2015年01月01日至2015年06月30日,,                -98589,                -98589,,,                300582,                  2600,                 22712,,                 50229,                -30844,                 -3546,                 11218,                      7,                 18320,                371278,,,                  2460,                  4495,                581649,                 24781,                -40177,                -43970,                529238,,                 -9727,                 23178,               -222913,                -58079,                  8158,                   -725,               -260108,                269130,                640408,                541819,                 26368,                -49144,                -18463,                504126,,,               -442308,                155217,                   -618,               -858606,                -78269,                  3546,             -1224584,,              1369052,,                     75,                 -2500,                391380,               -377235,                   -476,,              1380296,                -43004,                616834,              1398869,              2015703,              2015703,,,,,,,,
6108,2015年01月01日至2015年03月31日,,                -44454,                -44454,,,                160022,                  1232,                  9566,,                 23490,                -12512,,                  5411,                      7,                 12173,                199389,,,                  1892,                  7665,                442724,                 -6406,                -61051,                -66989,                317835,,                 -9038,                 -3532,               -128473,                -21550,                  5509,                   -362,               -157446,                160389,                359778,                315324,                 12512,                -23489,                 -9403,                294944,,,               -183456,                145378,                   -626,               -643959,                  8391,,               -674272,,                580149,,                    106,                 -2500,                319100,                -91950,,,                804687,                -27729,                397630,              1398869,              1796499,              1796499,                   -218,,,,,,,
6108,2014年度,,                410346,                410346,,,                614509,                  4994,                 25418,,                 86943,                -60923,                 -2370,                  3490,                    952,,,,,                 28928,                 -7432,               -372454,                 16581,                 29073,                 19424,               -285880,,                  8194,                 51754,                   -743,                 22312,                -28118,                   -730,                 52669,               -233211,                493990,                904336,                 49245,                -94552,               -102290,                756739,,                  4338,               -415387,                  9804,                 -1121,                -42118,,                  2370,               -455676,,               -961379,,                 19886,                -67431,              1518265,               -949707,                   -896,               -143909,               -585171,                  7339,               -276769,              1675638,              1398869,              1398869,,,                 54188,                727201,                -13562,,,
6108,2014年01月01日至2014年09月30日,,                399868,                399868,,,                454801,                  3502,                 10302,                 -1386,                 77260,                -43877,                 -2370,                  2644,                              0,                              0,                500876,,,                 28382,                  1819,               -476233,                 32673,                -20849,                 -2812,               -437020,,                  8505,                 35308,                -80867,                 48031,                 14314,                   -562,                 24729,               -412291,                 88585,                488453,                 34730,                -67799,               -131150,                324234,,                  4338,               -241211,                    927,                              0,               -446720,                -18003,                  2370,               -698299,,                 88542,                              0,                 19996,                              0,                545894,               -429815,                              0,               -143909,                 80708,                -43107,               -336464,              1675638,              1339174,              1339174,,,,,,,,
6108,2014年01月01日至2014年06月30日,,                220248,                220248,,,                302851,                  2339,                  1732,,                 51055,                -29231,                 -2270,                  2364,                              0,                              0,                328840,,,                 13838,                 -3644,               -199359,                 26411,                 49073,                 22040,                -91641,,                 16343,                 23899,               -141002,                 49989,                -19806,                   -384,                -70961,               -162602,                166238,                386486,                 23012,                -50914,                -80174,                280680,,,               -174936,                    375,                              0,               -421562,                -19161,                  2270,               -615284,,                140502,,                   -142,                              0,                167500,               -144541,                              0,,                163319,                -58125,               -229410,              1675638,              1446228,              1446228,,,,,,,,
6108,2014年01月01日至2014年03月31日,,                134385,                134385,,,                151673,                  1173,                -10512,,                 25630,                -15307,,                  2319,                              0,                              0,                154976,,,                 24216,                  8573,                -56123,                -16202,                -86513,                  4963,               -121086,,                 26783,                  5485,                 36151,                 24976,                -12735,                   -192,                 80468,                -40618,                114358,                248743,                 10440,                -19304,                -25397,                214482,,,                -81142,                    314,                              0,               -346817,                -13723,,               -441368,,                  1648,,                -50062,                              0,                 94597,                -83145,,,                -36269,                -54972,               -318127,              1675638,              1357511,              1357511,                    693,,,,,,,
6108,2013年度,,                214246,                214246,,,                562655,                  5033,                 15522,,                 55618,                -25964,                 -3110,                  6840,                 -3776,,,,,                -36490,                 23003,               -386197,                297766,               -196340,                 -5414,               -303672,,                  4091,                 11353,                286603,                161105,                  7602,                 -1386,                469368,                165696,                778514,                992760,                 19544,                -52629,                -48844,                910831,,                              0,             -1099524,                  8289,                 -1952,               -692854,,                  3110,             -1769427,,                806607,,                 99963,               -290133,              1072481,               -479456,                   -223,               -223859,                985380,                141557,                268341,              1407297,              1675638,              1675638,,,                              0,                612818,                 13504,,,
6108,2013年01月01日至2013年12月31日,,                214246,                214246,,,                562655,                  5033,                 15522,,                 55618,                -25964,                 -3110,                  6840,                 -3776,,,,,                -36490,                 23003,               -386197,                297766,               -196340,                 -5414,               -303672,,                  4091,                 11353,                286603,                161105,                  7602,                 -1386,                469368,                165696,                778514,                992760,                 19544,                -52629,                -48844,                910831,,,             -1099524,                  8289,                 -1952,               -692854,,                  3110,             -1769427,,                806607,,                 99963,               -290133,              1072481,               -479456,                   -223,               -223859,                985380,                141557,                268341,              1407297,              1675638,              1675638,                              0,,,                612818,                 13504,,,                              0
6108,2013年01月01日至2013年09月30日,,                209564,                209564,,,                409980,                  3456,                    -30,                  3943,                 48961,                -14018,                 -3110,                  3351,,,,,,                -39813,                  1104,               -341990,                321658,               -127405,                -23439,               -209885,,                 -2223,                 38665,                212287,                102838,                 26416,                 -1368,                376615,                166730,                619263,                828827,                 13903,                -47845,                -65229,                729656,,                              0,               -900681,                 14236,,               -441557,                -15620,                  3110,             -1340512,,                564146,,                 39953,,              1068004,               -420544,,               -223859,              1027700,                 59540,                476384,              1407297,              1883681,              1883681,,,,                452533,,,,
