證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 金融資產減損迴轉利益,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 支付之股利,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他金融資產減少,　　 其他非流動資產減少,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債減少,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得備供出售金融資產,　　 其他非流動資產增加,　　 發放現金股利,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 其他非流動負債增加,　　　　　 應付建造合約款（增加）減少
5521,2015年01月01日至2015年09月30日,,                 64695,                 64695,,,                 64597,                  3372,                              0,                 33607,                -16181,                   -135,                    403,                    139,                   -772,                              0,                 -6013,                              0,                              0,                 12218,                 91235,,,                              0,               -367013,               -588950,                 11565,               -112620,                 91445,               -965573,,               -433433,                 94878,               -188749,                -12018,                    -34,                    826,                   -397,               -538927,             -1504500,             -1413265,             -1348570,                  8480,                    135,                -32360,                              0,                     91,             -1372224,,                 41507,                              0,                 -4330,                    297,                  2494,                509359,                316619,                -28786,                837160,,                934860,               -490500,               -228674,                100000,               -378875,                  4347,                              0,                -58842,                 13689,               -580217,              1495854,                915637,                915637,,,,,,,,
5521,2015年01月01日至2015年06月30日,,                105711,                105711,,,                 43090,                  2268,                              0,                 23772,                 -9350,                              0,                    315,                     86,                   -772,                              0,                 -6013,                              0,                              0,                 -2459,                 50937,,,                              0,                 42465,               -150277,                 -5468,                -64986,                 77483,               -100783,,               -484242,                131467,               -185873,                 -9390,                     -6,                    643,                   -397,               -547798,               -648581,               -597644,               -491933,                  3400,                              0,                -22913,,                    170,               -511276,,                 41507,                              0,                 -3908,                     57,,                210724,                272480,                              0,                567844,,                733750,               -127000,               -228674,                              0,               -237400,                  3856,,                144532,                 -9447,                191653,              1495854,              1687507,              1687507,                              0,                 46984,                              0,,,,,
5521,2015年01月01日至2015年03月31日,,                 34247,                 34247,,,                 21513,                  1165,                              0,                 11666,                 -3023,                              0,                    230,                     86,                   -178,                              0,,                              0,                              0,                 -2459,                 29000,,,                              0,               -243771,                -77144,                  2054,                -30761,                 43402,               -306220,,               -317983,                277459,                -32239,                 -5703,                     -6,                  1384,                   -396,                -77484,               -383704,               -354704,               -320457,                  1010,                              0,                -11692,,                    -81,               -331220,,                 15693,                              0,                 -3138,                     57,,                127422,,                              0,                143116,,                200000,                -13500,,                              0,               -116135,                  3991,,                 74356,                 -4130,               -117878,              1495854,              1377976,              1377976,,                  3082,                              0,,,,,
5521,2014年度,,               -184400,               -184400,,,                 76970,                  4967,                              0,                 55217,                -38420,                 -3375,                    370,                   -175,                 -6893,                              0,,                 14814,,                  1082,,,,                              0,                222455,                143724,                 95999,               -104978,                 81683,                438883,,                127937,                -50986,               -186346,                 -5953,                 -7815,                  4922,,               -114439,                324444,                429001,                244601,                 36552,                  3375,                -54948,,                -34632,                194948,,                 26893,                              0,               -342124,                    300,,                482266,,                              0,                -35065,,                160438,               -350000,,                900000,               -492970,,                 17585,                165537,                 24748,                350168,              1145686,              1495854,              1495854,                -40735,               -161665,                -86882,,                104557,                  3802,                 17366,
5521,2014年01月01日至2014年09月30日,,               -203628,               -203628,,,                 56299,                  3792,                              0,                 37444,                -32893,                 -3375,                    235,                   -175,                 -6893,                              0,                              0,                              0,                              0,                              0,                 54434,,,                              0,               -500154,                184893,                 17106,                -22701,                 61101,               -259755,,               -316914,                382173,                -27113,                234097,                 -7783,                  6084,                   -283,                270261,                 10506,                 64940,               -138688,                 16545,                  3375,                -37557,                -86882,                -34307,               -277514,,                 26893,                              0,               -122375,                    300,                              0,                -40373,               -166530,                              0,               -302085,,                              0,               -220000,                              0,                802560,               -233665,                  5124,                 17585,                371604,                  5925,               -202070,              1145686,                943616,                943616,,,,,,,,
5521,2014年01月01日至2014年06月30日,,               -187071,               -187071,,,                 37323,                  2646,                              0,                 23535,                 -6712,                              0,                    150,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                 56942,,,                              0,               -595445,               -184492,                  6251,                 -5581,                 37559,               -741708,,               -441150,                394236,                 -5856,                279129,                 -7754,                 19763,                   -283,                238085,               -503623,               -446681,               -633752,                  5764,                              0,                -23722,,                -20188,               -671898,,                              0,                              0,                -11947,                              0,,                 89479,                              0,                -96220,                -10802,,                 80000,                              0,                              0,                380400,               -193350,                    559,,                267609,                 -3091,               -418182,              1145686,                727504,                727504,                              0,                  7886,                              0,,,,,
5521,2014年01月01日至2014年03月31日,,                 26836,                 26836,,,                 18450,                  1548,                              0,                 10891,                 -2346,                              0,                     73,                              0,                              0,                              0,,                              0,                              0,                              0,                 28616,,,                              0,               -311111,                 28776,                  8578,                  1138,                 24348,               -248271,,               -471339,                261508,                 -6625,                 -6238,                     -5,                    772,                   -283,               -222210,               -470481,               -441865,               -415029,                  1804,                              0,                -11018,,                 -6044,               -430287,,                              0,                              0,                 -4505,                              0,,               -147117,,                -98000,               -248034,,                 80000,                              0,,                400000,                -99845,                   -640,,                379515,                  6120,               -292686,              1145686,                853000,                853000,,                  1588,                              0,,,,,
5521,2013年度,,                119965,                119965,,,                 64407,                  6276,                              0,                 43178,                -37585,                 -4290,                   -323,                    -44,                     44,                              0,,                 11682,,                 10073,,,,                              0,               -216491,               -554034,                  2022,                  7777,                -94026,               -854752,,                404346,                144741,               -194011,                -25742,                   -115,                  4421,,                331564,               -523188,               -429770,               -309805,                 37691,                  4290,                -43140,,                -20713,               -331677,,                    141,                -43172,               -110251,                    185,,                352177,,                              0,                159113,,                200000,               -350000,,                              0,                -58425,,                              0,               -331844,                 15707,               -488701,              1634387,              1145686,              1145686,                              0,                -39967,               -104258,,                 93418,                 -2076,                -19161,
5521,2013年01月01日至2013年12月31日,,                119965,                119965,,,                 64407,                  6276,                              0,                 43178,                -37585,                 -4290,                   -323,                    -44,,                              0,,                              0,                 11682,,,,,                    185,               -216491,               -554034,                  2022,                  7777,                -94026,               -854567,,                404346,                144741,,                -25742,                  9958,                  4421,,                341637,               -512930,               -429629,               -309664,                 37691,                  4290,                -43140,,                -20713,               -331536,,,                -43172,               -110251,                    185,,                352177,,,                158972,,,               -150000,,                              0,                -58425,                -19161,,               -331844,                 15707,               -488701,              1634387,              1145686,              1145686,,                -39967,               -104258,,                 83301,                 -2076,,               -194011
5521,2013年01月01日至2013年09月30日,,                 48085,                 48085,,,                 46220,                  4515,                              0,                 32566,                -21521,                 -1050,                     62,                    -44,                     15,                              0,,                              0,                              0,,,,,                              0,               -119677,               -406433,                  2548,                    218,               -114569,               -637913,,                -29536,                260127,               -147144,                 20640,                    -90,                  5130,,                108698,               -529215,               -468452,               -420367,                 19920,                  1050,                -32550,               -104258,                -20457,               -556662,,                              0,                -43172,               -102063,                    184,,                109271,,                              0,                -55640,,,               -150000,,                              0,                 -5590,                -19123,                              0,               -174713,                 10660,               -776355,              1634387,                858032,                858032,,                -19860,,,                 60763,                   -429,,
