證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他流動負債增加（減少）,　　 處分待出售非流動資產,　　 其他非流動負債減少,　　　 不影響現金流量之收益費損項目,　　　　 股份基礎給付酬勞成本,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分以成本衡量之金融資產,　　 短期借款增加,　　 現金減資,　　 庫藏股票處分,　　 償還公司債,　　　　 買回應付公司債損失（利益）,　　　　　 其他金融資產（增加）減少
3026,2015年01月01日至2015年09月30日,,                584338,                584338,,,                229521,                  3613,                  1216,                 11822,                -19195,                  1769,                 52733,                281479,,,                 99844,                -94673,                -26374,                176082,                  3855,                158734,,                              0,                 28724,                -11367,                -56880,                -39523,                119211,                400690,                985028,                 20454,                -10717,               -188223,                806542,,                              0,                -53964,                              0,               -117411,                  2431,                   -577,                 29027,               -140494,,               -228516,                              0,                 -1557,                  2539,               -737709,                -13646,               -978889,                -12044,               -324885,              2567832,              2242947,              2242947,,,,,,,,,,,,,,,,
3026,2015年01月01日至2015年06月30日,,                388285,                388285,,,                152239,                  1678,                  1216,                  7823,                -13241,                  1841,                 52415,                203971,,,                 67617,                281468,                -18540,                -94102,                -10510,                225933,,                              0,                180255,                -10628,,                218567,                444500,                648471,              1036756,                 16710,                 -4206,               -142637,                906623,,                              0,                -33461,,               -106379,                    425,                   -418,                 25398,               -114435,,               -311211,,                 -1036,,,                -13803,               -315610,                -19540,                457038,              2567832,              3024870,              3024870,                 48940,                              0,                 10440,,,,,,,,,,,,,
3026,2015年01月01日至2015年03月31日,,                198633,                198633,,,                 75634,                    937,                  1092,                  4109,                 -6872,                    408,,                 75308,,,                  4966,                335127,               -150277,                -68604,                 -5127,                116085,,                              0,                -85477,                -15120,                -40676,               -141273,                -25188,                 50120,                248753,                  5817,                 -1012,                -39220,                214338,,                              0,                 -7825,,                -57442,                              0,,                 -1492,                -66759,,               -163038,,                   -516,                  2440,,                    464,               -160650,                 -4476,                -17547,              2567832,              2550285,              2550285,,,,,,,,,,,,,,,,
3026,2014年度,,                953010,                953010,,,                330238,                  3616,                  2834,                 20363,                -41675,                   -439,                              0,,,,               -186647,                 89101,                 43112,                240938,                 99297,                285801,,                   -595,               -129636,                 14936,                 86276,                -30310,                255491,                667100,              1620110,                 43578,                -16297,                -94244,              1553147,,                  5330,                -31875,,               -120322,                 16483,                   -386,                -83858,               -118842,,,                 51000,               -616154,,               -635654,                 11431,             -1482713,                 63167,                 14759,              2553073,              2567832,              2567832,,                 95786,                  2215,,                              0,                              0,                 96672,                411609,                 -1291,                              0,               -295551,                              0,                              0,,,
3026,2014年01月01日至2014年09月30日,,                848703,                848703,,,                247961,                  3034,                  9014,                 20363,                -32572,                   -258,                              0,                247542,,,                  7027,               -228108,                 39730,                171951,                 91326,                 81926,,                  1089,                135693,                 13306,                199403,                349491,                431417,                678959,              1527662,                 35389,                -17033,               -120905,              1425113,,                  5330,                -21375,                 95786,               -154878,                 16566,                   -189,                -92659,               -151419,,               -166722,                 51000,               -524003,                  4390,               -625934,                  1134,             -1260135,                  4376,                 17935,              2553073,              2571008,              2571008,,,,,,,,,,,,,,,,
3026,2014年01月01日至2014年06月30日,,                587658,                587658,,,                166769,                  1995,                  9014,                 15481,                -22741,                 17644,                              0,                188162,,,                 79717,                -78929,                -47462,                345904,                 70544,                369774,,                   -595,                172849,                 15253,,                303603,                673377,                861539,              1449197,                 43921,                -13136,                -28543,              1451439,,                  2252,                -15000,,               -103381,                    360,                    -89,                -91645,               -111717,,               -409624,,               -323156,,,                -74027,               -802250,                -13734,                523738,              2553073,              3076811,              3076811,                116096,                 95786,                  4557,,,,,,,,,,,,,
3026,2014年01月01日至2014年03月31日,,                201277,                201277,,,                 83034,                  1136,                 -1321,                  7882,                -10826,                    -38,,                 79867,,,                 53577,                237726,                -20142,                261194,                -53418,                478937,,                   -595,               -118343,                 12411,                -37228,               -143755,                335182,                415049,                616326,                 10837,                 -4403,                  7169,                629929,,                  2252,                -15000,,                -25088,                    363,,                  3760,                -33713,,               -141603,,                -21781,                              0,,                    303,               -163081,                 15386,                448521,              2553073,              3001594,              3001594,,,,,,,,,,,,,,,,
3026,2013年度,,                802285,                802285,,,                332796,                 13054,                 13295,                 24935,                -43983,                  6157,                              0,,,,               -241844,               -451274,                 70269,               -381460,                -30905,             -1035214,,                   -822,                 72147,                  7200,                 85330,                162868,               -872346,               -530517,                271768,                 21923,                -21171,               -115879,                156641,,                131751,                -68356,,               -256782,                 11568,                   -825,                 -8585,                108771,,,                400000,               -130804,,               -638709,                446199,               -748750,                 10601,               -472737,              3025810,              2553073,              2553073,,                              0,                 -1261,,                  5730,                -10155,                              0,                341829,                   -987,                300000,                133889,               -960653,                  2589,,,
3026,2013年01月01日至2013年12月31日,,                802285,                802285,,,                332796,                 13054,                 13295,                 24935,                -43983,                  6157,,,,,               -241844,               -451274,                 70269,               -381460,                -30905,             -1035214,,                   -822,                 72147,                  7200,                 85330,                162868,               -872346,               -530517,                271768,                 21923,                -21171,               -115879,                156641,,                131751,                -68356,,               -256782,                 11568,                   -825,                 -8585,                108771,,,                400000,               -130804,,               -638709,                446199,               -748750,                 10601,               -472737,              3025810,              2553073,              2553073,,                              0,                 -1261,,                  5730,                -10155,                              0,                341829,                   -987,                300000,                133889,               -960653,                  2589,                              0,                              0,
3026,2013年01月01日至2013年09月30日,,                648791,                648791,,,                243460,                 11368,                -12625,                 17290,                -31672,                 -1478,,,,,               -198096,               -604911,                 31727,               -815065,                -62304,             -1648649,,                    404,                420500,                  2284,                 59796,                482984,             -1165665,               -934675,               -285884,                 24895,                -14640,               -105651,               -381280,,                  6619,                -38356,                              0,               -202244,                  4330,                   -943,                 -2564,                 66842,,,                300000,               -129029,,               -638709,                143645,                -98526,                  3921,               -409043,              3025810,              2616767,              2616767,,,                   -264,,                  4647,,,                230990,,                300000,                225831,,,,,
