年季,公司代號,公司名稱,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,貼現及放款－淨額,備供出售金融資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值,Unnamed: 52
2013/01,2801,彰化銀行,38492895.0,102997033.0,37696858.0,94314.00,--,14258585.0,526761.00,--,1126033491.00,52551730.0,186764462.00,--,--,13256082.0,24109822.0,10823891.00,84918.00,4189333.0,2027670.0,1613907845.0,101513903.0,--,2548646.0,--,6228731.00,31768473.0,276951.00,--,1312604835.00,38441365.00,--,--,1804066.00,3614090.0,6216070.00,1728113.0,1506745243.0,72421114.0,--,34772737.0,-31249.0,--,107162602.00,--,--,0.00,107162602.0,0.0,0.0,14.8,
2013/01,2809,京城銀行,4973158.0,41739321.0,2399487.0,--,3183110.00,885823.0,--,--,99239403.00,15997978.0,6104305.00,--,--,20046628.0,2781023.0,--,--,432852.0,358367.0,198141455.0,9973369.0,4033125.00,10710.0,--,16784338.00,2215718.0,532771.00,--,141221128.00,0.00,--,--,3541.00,512646.0,82026.00,259021.0,175628393.0,12012343.0,178746.00,9481809.0,840164.0,0.00,22513062.00,--,--,0.00,22513062.0,0.0,0.0,18.74,
2013/01,2812,台中銀行,9582076.0,67404556.0,12781026.0,0.00,4363781.00,4548945.0,57466.00,0.00,324668418.00,19228078.0,8027954.00,132993.00,99004.00,1132063.0,3444870.0,0.00,83658.00,340195.0,1095897.0,456990980.0,5849839.0,3751408.00,59925.0,0.00,482833.00,8574617.0,398910.00,0.00,394948794.00,13557060.00,0.00,0.00,14555.00,252133.0,111021.00,293307.0,428294402.0,23187442.0,675537.00,4746970.0,86629.0,0.00,28696578.00,--,--,0.00,28696578.0,0.0,0.0,12.38,
2013/01,2820,華票,251310.0,0.0,92708149.0,--,3001026.00,1547652.0,0.00,--,--,73956006.0,6253328.00,--,--,505126.0,165297.0,--,--,107944.0,920399.0,179416237.0,11390788.0,--,8388.0,--,144569578.00,539056.0,117403.00,--,--,--,--,--,--,1268055.0,4199.00,53019.0,157950486.0,13429600.0,2474.00,7618119.0,415558.0,--,--,--,--,--,21465751.0,0.0,0.0,15.98,
2013/01,2834,臺灣企銀,28386593.0,71916035.0,9321714.0,--,6174934.00,14151463.0,615706.00,--,953569238.00,12267138.0,179655362.00,--,--,3546554.0,14388025.0,--,194479.00,1973307.0,1886904.0,1298047452.0,90753087.0,--,234772.0,--,9622035.00,30965950.0,--,--,1047579149.00,48900000.00,--,--,11114035.00,2845429.0,880781.00,711659.0,1243606897.0,48982194.0,0.00,5540985.0,-82624.0,0.00,54440555.00,--,--,0.00,54440555.0,0.0,0.0,11.11,
2013/01,2836,高銀,3114391.0,23492696.0,1024102.0,--,2855036.00,1131803.0,35139.00,--,164242059.00,18952049.0,0.00,--,--,1615974.0,2752635.0,--,49204.00,127475.0,78981.0,219471544.0,14164887.0,--,2911.0,--,67743.00,3681461.0,12456.00,--,185836832.00,4000000.00,--,--,149954.00,762317.0,--,199536.0,208878097.0,7069476.0,2017724.00,1464380.0,41867.0,0.00,10593447.00,--,--,0.00,10593447.0,0.0,0.0,14.98,
2013/01,2838,聯邦銀行,9367275.0,73501977.0,10534114.0,--,11427060.00,13957298.0,124303.00,--,212324019.00,9097953.0,1008124.00,54304.00,--,54155457.0,7720825.0,2788483.00,2084091.00,3302045.0,6533030.0,417980358.0,6323913.0,--,84700.0,--,24942027.00,6994308.0,55492.00,--,343407692.00,5200000.00,--,--,1280249.00,796212.0,488552.00,2248377.0,391821522.0,20264396.0,32413.00,5268024.0,352111.0,--,25916944.00,--,--,241892.00,26158836.0,0.0,0.0,12.79,
2013/01,2845,遠東商銀,6371556.0,74135951.0,16572736.0,155165.00,21401374.00,18992254.0,--,--,294344680.00,11083079.0,2122081.00,2386971.00,--,12861386.0,2850477.0,--,1858762.00,825498.0,243166.0,466205136.0,24883359.0,--,4629395.0,5870.00,--,7067855.0,115634.00,--,374474563.00,25078247.00,--,--,1486268.00,710733.0,--,411749.0,438863673.0,22422596.0,22348.00,5064757.0,-168238.0,--,27341463.00,--,--,--,27341463.0,0.0,0.0,12.19,
2013/01,2847,大眾銀行,4715258.0,11263821.0,27507522.0,--,2612654.00,18352391.0,69141.00,--,273158012.00,95541365.0,--,--,257000.00,459409.0,3264453.0,--,2470623.00,2583338.0,1330006.0,443584993.0,16449811.0,--,8340857.0,7991.00,22961337.00,7935646.0,23054.00,--,334293099.00,15227887.00,0.00,1635380.00,5323711.00,554797.0,195881.00,283220.0,413232671.0,22477734.0,1981931.00,3399197.0,67263.0,-666648.00,27259477.00,--,--,3092845.00,30352322.0,69612536.0,0.0,12.51,
2013/01,2849,安泰銀行,3779148.0,73195614.0,13092210.0,--,3006238.00,6349653.0,184523.00,19472.00,209436472.00,59390348.0,--,--,--,553272.0,927820.0,--,254247.00,3930210.0,1092536.0,375211763.0,2091624.0,--,10431973.0,--,1126302.00,6965058.0,164803.00,--,316867801.00,11190000.00,--,1414865.00,516876.00,481581.0,14325.00,145769.0,351410977.0,16796775.0,1461505.00,5823215.0,-280709.0,0.00,23800786.00,--,--,0.00,23800786.0,0.0,0.0,14.17,
