年,季,公司代號,公司名稱,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,貼現及放款－淨額,備供出售金融資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值
2016,02,2801,彰化銀行,44804793,158096634,37192049,255529,--,21904005,51274,--,1335635512,74312931,193148149,--,--,16788534,22034148,12547833,464227,2214166,630270,1920080054,133177725,0,22771608,--,3844748,26298041,508391,--,1552896075,30261254,--,--,2489622,4224562,6683194,3951854,1787107074,89647626,--,41961806,1363548,0,--,--,--,--,132972980,0,--,0,                 15.72
2016,02,2809,京城銀行,4058494,27567061,2733435,--,2803987,1533641,--,--,126982235,63358520,--,--,--,4125618,2466320,--,--,225831,363592,236218734,13143247,80000,184208,--,19614844,1536797,497595,--,169399768,--,--,--,50000,468204,50135,489901,205514699,11512343,59351,17026222,2298080,-191961,30704035,0,--,0,30704035,7652000,0,0,                 26.85
2016,02,2812,台中銀行,7946753,78226512,24012328,0,5360211,8205241,4634,0,404422207,37117711,13832196,133014,262377,1099214,9428845,0,180073,647851,1832452,592711619,12715763,2988548,327421,0,500000,6836107,154800,0,514136590,12800000,0,0,479588,1095598,111066,541923,552687404,32381307,684156,6526076,432676,0,40024215,--,--,0,40024215,0,0,0,                 12.57
2016,02,2820,華票,579522,187259,115710513,--,5964066,2516625,70487,--,--,89164780,0,--,--,178807,158568,--,--,108884,1178387,215817898,17100000,--,664512,--,166631553,4278790,78337,--,--,--,--,--,2899799,1499907,18916,88651,193260465,13429600,2474,8122393,1002966,0,--,0,--,--,22557433,0,0,0,                 16.80
2016,02,2834,臺灣企銀,42400052,83194811,2088820,--,18383795,20715841,199399,--,1015131151,73791109,206033284,0,--,2144573,14097521,--,181365,1066141,1802822,1481230684,96833430,0,165659,--,1875044,24151958,--,--,1224733800,45600000,--,--,12280971,3245912,893321,1392022,1411172117,59688949,0,9869200,500418,0,70058567,0,--,0,70058567,0,0,0,                 12.32
2016,02,2836,高銀,2658315,9247978,2472861,--,5017289,1455315,47939,--,172075081,37022135,16018354,--,--,1327523,2924260,--,67815,205000,115223,250655088,8261403,--,8428,--,789944,2866119,7289,--,221825192,4000000,--,--,107577,388700,--,110152,238364804,8232238,1872395,2101230,84421,--,12290284,--,--,0,12290284,0,0,0,                 15.78
2016,02,2838,聯邦銀行,6932422,55537393,16655074,--,33393762,15618766,324802,--,270521580,38026873,6225512,53610,--,51446554,7724661,5756331,2140452,1694765,7653924,519706481,7727212,--,113803,--,31263692,4558819,109583,--,421035843,11200000,691618,--,3651442,238752,873434,2665167,484129365,26051524,32413,7267150,1965178,--,35316265,--,--,260851,35577116,0,--,0,                 13.56
2016,02,2845,遠東商銀,5498358,81514378,39249476,0,17828464,22784335,2872,--,330800347,30188146,2486446,1698814,--,13931743,2831075,--,1763309,668982,243140,551489885,19564850,--,9782438,0,12289746,6691200,346125,--,436609958,20290929,--,--,4522541,1154701,--,552655,511805143,31113672,456426,8125954,-11310,--,39684742,--,--,--,39684742,0,--,0,                 13.08
2016,02,2849,安泰銀行,4010128,53444505,35455733,--,1623975,5007607,97722,89967,179022889,19916758,871560,--,--,118334,832510,--,221332,2421272,2810668,305944960,6950733,--,2519425,--,5458496,3749902,147730,--,242426493,10000000,--,1414865,2651825,465310,42100,156847,275983726,16796775,1461505,11635498,67456,0,29961234,--,--,0,29961234,0,0,0,                 17.84
