年季,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,非控制權益,權益總額,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值,Unnamed: 20
2013/01,1409,新纖,76517077.0,35305783.0,111822860.0,70275485.0,10505529.0,80781014.0,17604840.0,1139190.0,5296666.0,456994.0,-355009.0,24142681.0,--,6899165.0,31041846.0,0.0,37163487.0,14.01,
2013/01,1718,中纖,432561601.0,50643908.0,483205509.0,429704645.0,14183674.0,443888319.0,14105902.0,1525405.0,5123608.0,-589765.0,-1612790.0,18552360.0,--,20764830.0,39317190.0,0.0,280172859.0,16.41,
2013/01,2514,龍邦國際,81468242.0,352153896.0,433622138.0,5990224.0,409454613.0,415444837.0,5632143.0,236029.0,2849941.0,-567880.0,-412453.0,7737780.0,--,10439521.0,18177301.0,0.0,43929000.0,14.9,
2013/01,2905,三商,142378652.0,504755831.0,647134483.0,11594165.0,608961771.0,620555936.0,6307332.0,664320.0,4917608.0,938943.0,-532672.0,12295531.0,--,14283016.0,26578547.0,0.0,36440000.0,20.69,
