年季,公司代號,公司名稱,流動資產,非流動資產,資產總額,流動負債,非流動負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,非控制權益,權益總額,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值,Unnamed: 20
2013/02,1409,新纖,82886534.0,35421931.0,118308465.0,75939772.0,11257185.0,87196957.0,17604840.0,1139190.0,5166206.0,767872.0,-355009.0,24323099.0,0.00,6788409.0,31111508.0,0.0,37163487.0,14.11,
2013/02,1718,中纖,454671441.0,46939605.0,501611046.0,444883339.0,16486853.0,461370192.0,14105902.0,1525405.0,5277961.0,-489827.0,-1612790.0,18806651.0,--,21434203.0,40240854.0,0.0,280172859.0,16.64,
2013/02,2514,龍邦國際,75847919.0,361328424.0,437176343.0,7557453.0,415227689.0,422785142.0,5632143.0,240131.0,2495407.0,-1795341.0,-412236.0,6160104.0,--,8231097.0,14391201.0,0.0,43929000.0,11.86,
2013/02,2905,三商,157756606.0,502376997.0,660133603.0,13127471.0,624000176.0,637127647.0,6811919.0,708022.0,4154772.0,-981769.0,-532672.0,10160272.0,--,12845684.0,23005956.0,0.0,36440000.0,17.1,
